O,I,web_name    ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1130 23
x,S,Mustafi     ,ARS ,D,2.53 ,54,8 ,6.8,720 ,90 ,5.4  ,3.7 ,21848    ,       
 ,R,Klavan      ,LIV ,D,2.0  ,25,7 ,3.6,630 ,90 ,4.3  ,1.1 ,-2464    ,       
 ,J,Gomez       ,LIV ,D,1.82 ,44,11,4.0,901 ,82 ,4.6  ,4.7 ,8439     ,       
 ,P,Jones       ,MUN ,D,1.79 ,59,11,5.4,893 ,81 ,5.4  ,7.7 ,-39743   ,       
 ,J,Fonte       ,WHU ,D,1.77 ,34,8 ,4.3,688 ,86 ,4.8  ,1.3 ,-2133    ,       
 ,M,Lowton      ,BUR ,D,1.75 ,53,13,4.1,1170,90 ,4.7  ,4.4 ,-16191   ,       
 ,M,Yoshida     ,SOU ,D,1.71 ,48,11,4.4,904 ,82 ,4.9  ,3.6 ,-4771    ,       
x,J,Lascelles   ,NEW ,D,1.67 ,44,11,4.0,947 ,86 ,4.7  ,7.1 ,-23335   ,       
 ,B,Davies      ,TOT ,D,1.67 ,55,10,5.5,800 ,80 ,5.6  ,16.5,-53203   ,       
 ,F,Kiko Femenía,WAT ,D,1.64 ,49,13,3.8,1118,86 ,4.6  ,5.3 ,7302     ,       
 ,S,Ward        ,BUR ,D,1.63 ,65,14,4.6,1250,89 ,5.1  ,23.3,17709    ,       
 ,M,Suttner     ,BHA ,D,1.63 ,26,8 ,3.3,720 ,90 ,4.3  ,0.5 ,1649     ,       
 ,B,Mee         ,BUR ,D,1.58 ,55,14,3.9,1260,90 ,4.7  ,13.7,28452    ,       
 ,A,Moreno      ,LIV ,D,1.55 ,44,12,3.7,1080,90 ,4.6  ,5.2 ,26470    ,       
 ,K,Trippier    ,TOT ,D,1.55 ,54,10,5.4,813 ,81 ,5.7  ,8.3 ,-23150   ,       
 ,C,Clark       ,NEW ,D,1.5  ,39,11,3.5,935 ,85 ,4.5  ,2.1 ,630      ,       
 ,E,Bailly      ,MUN ,D,1.46 ,46,8 ,5.8,720 ,90 ,6.1  ,8.3 ,-16808   ,       
x,K,Naughton    ,SWA ,D,1.45 ,51,14,3.6,1257,90 ,4.6  ,5.4 ,5603     ,       
 ,S,Kolasinac   ,ARS ,D,1.38 ,73,13,5.6,1132,87 ,6.1  ,14.1,37548    ,       
 ,M,Sakho       ,CRY ,D,1.36 ,31,8 ,3.9,720 ,90 ,4.9  ,0.6 ,11778    ,       
 ,N,Monreal     ,ARS ,D,1.32 ,68,14,4.9,1260,90 ,5.7  ,12.4,15098    ,       
 ,B,Bruno       ,BHA ,D,1.3  ,43,13,3.3,1096,84 ,4.5  ,0.7 ,3057     ,       
 ,S,Duffy       ,BHA ,D,1.27 ,48,14,3.4,1242,89 ,4.6  ,2.9 ,3047     ,       
 ,J,Tarkowski   ,BUR ,D,1.27 ,48,14,3.4,1260,90 ,4.6  ,1.8 ,7827     ,       
x,C,Daniels     ,BOU ,D,1.13 ,52,14,3.7,1260,90 ,5.0  ,13.1,10263    ,       
 ,C,Azpilicueta ,CHE ,D,1.12 ,76,13,5.8,1170,90 ,6.9  ,22.0,17361    ,       
 ,C,Smalling    ,MUN ,D,1.11 ,37,9 ,4.1,735 ,82 ,5.4  ,4.0 ,-2410    ,       
 ,F,Fernández   ,SWA ,D,1.1  ,37,12,3.1,1080,90 ,4.5  ,2.4 ,-9992    ,       
 ,A,Rüdiger     ,CHE ,D,1.09 ,45,10,4.5,834 ,83 ,5.8  ,1.9 ,7629     ,       
x,N,Otamendi    ,MCI ,D,1.09 ,58,13,4.5,1150,88 ,5.8  ,17.2,15873    ,       
 ,M,Zanka       ,HUD ,D,1.0  ,42,14,3.0,1260,90 ,4.5  ,6.8 ,-7256    ,       
 ,A,Mawson      ,SWA ,D,1.0  ,49,14,3.5,1260,90 ,5.0  ,1.2 ,-542     ,       
 ,M,Olsson      ,SWA ,D,1.0  ,42,12,3.5,1076,90 ,5.0  ,0.3 ,-3       ,       
 ,H,Maguire     ,LEI ,D,0.94 ,51,14,3.6,1260,90 ,5.2  ,7.6 ,4809     ,       
 ,A,Valencia    ,MUN ,D,0.94 ,72,14,5.1,1260,90 ,6.8  ,15.7,-11335   ,       
 ,C,Fuchs       ,LEI ,D,0.93 ,36,11,3.3,990 ,90 ,4.9  ,2.6 ,-1801    ,       
 ,C,Löwe        ,HUD ,D,0.9  ,38,13,2.9,877 ,67 ,4.5  ,3.2 ,-4677    ,       
 ,A,Hegazi      ,WBA ,D,0.9  ,40,14,2.9,1226,88 ,4.5  ,18.2,-8573    ,       
 ,L,Koscielny   ,ARS ,D,0.88 ,46,11,4.2,984 ,89 ,6.0  ,1.1 ,1770     ,       
 ,J,Stones      ,MCI ,D,0.86 ,46,12,3.8,884 ,74 ,5.6  ,4.7 ,-18815   ,       
 ,M,Alonso      ,CHE ,D,0.85 ,68,14,4.9,1205,86 ,6.9  ,15.4,18856    ,       
 ,J,Matip       ,LIV ,D,0.85 ,48,13,3.7,1170,90 ,5.5  ,2.8 ,5306     ,       
 ,K,Walker      ,MCI ,D,0.84 ,61,13,4.7,1123,86 ,6.7  ,15.5,-92      ,       
 ,H,Bellerín    ,ARS ,D,0.83 ,56,14,4.0,1260,90 ,5.9  ,9.6 ,-633     ,       
 ,C,Kabasele    ,WAT ,D,0.8  ,37,13,2.8,1076,83 ,4.5  ,0.4 ,1117     ,       
 ,N,Aké         ,BOU ,D,0.79 ,43,14,3.1,1252,89 ,4.9  ,4.1 ,802      ,       
 ,C,Dawson      ,WBA ,D,0.77 ,27,9 ,3.0,810 ,90 ,4.8  ,1.4 ,-2122    ,       
 ,T,Alderweireld,TOT ,D,0.75 ,38,10,3.8,900 ,90 ,5.9  ,6.4 ,-10242   ,       
 ,D,Zappacosta  ,CHE ,D,0.75 ,30,8 ,3.8,471 ,59 ,5.9  ,0.4 ,4267     ,       
 ,R,Bertrand    ,SOU ,D,0.74 ,47,14,3.4,1255,90 ,5.4  ,8.4 ,459      ,       
