O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1130 23
x,M,Salah,LIV,M,0.98,108,14,7.7,1041,74,9.8,51.0,139401,
x,R,Sterling,MCI,M,1.26,87,12,7.3,846,70,8.2,16.2,189774,
,P,Pogba,MUN,M,1.32,51,7,7.3,609,87,8.0,16.8,-71,
,P,Coutinho,LIV,M,0.92,45,7,6.4,570,81,8.8,5.2,-5883,
,K,De Bruyne,MCI,M,0.69,87,14,6.2,1197,86,10.1,21.7,38073,
x,L,Sané,MCI,M,0.86,81,13,6.2,852,66,8.9,25.6,-193649,
,A,Ramsey,ARS,M,1.16,73,13,5.6,1016,78,7.1,6.8,18199,
x,P,Groß,BHA,M,1.7,76,14,5.4,1171,84,6.0,21.6,-2735,
,S,Mané,LIV,M,0.63,49,9,5.4,600,67,9.4,8.0,28782,
,R,Richarlison,WAT,M,1.27,74,14,5.3,1188,85,6.6,20.3,9470,
,A,Sánchez,ARS,M,0.4,56,11,5.1,794,72,11.8,2.9,-1409,
,R,Mahrez,LEI,M,0.66,69,14,4.9,1092,78,8.4,4.5,13734,
,D,David Silva,MCI,M,0.69,69,14,4.9,1156,83,8.2,17.6,-73031,
,C,Eriksen,TOT,M,0.54,69,14,4.9,1179,84,9.4,16.9,-73145,
,M,Özil,ARS,M,0.53,53,11,4.8,830,75,9.3,1.9,10033,
,E,Hazard,CHE,M,0.42,53,11,4.8,640,58,10.7,9.3,21233,
,A,Young,MUN,M,2.8,48,10,4.8,887,89,5.0,2.6,90696,
,X,Shaqiri,STK,M,1.29,61,13,4.7,1079,83,6.1,7.1,24553,
,A,Doucouré,WAT,M,1.86,65,14,4.6,1260,90,5.4,15.8,8334,
,B,Alli,TOT,M,0.48,59,13,4.5,1145,88,9.2,14.9,-28996,
,H,Mkhitaryan,MUN,M,0.63,53,12,4.4,804,67,7.8,9.0,-29780,
,W,Zaha,CRY,M,0.72,33,8,4.1,706,88,6.9,5.3,-7365,
,S,Davis,SOU,M,1.91,53,13,4.1,1044,80,5.1,4.6,-3988,
,E,Choupo-Moting,STK,M,1.24,58,14,4.1,1171,84,5.7,5.9,-6061,
,R,Brady,BUR,M,1.27,55,14,3.9,1247,89,5.5,1.7,7653,
