O,I,web_name        ,team,T,VA/M ,pt,g ,p/g,min ,m/g,price,%   ,net_trans,1207 14
 ,M,Zeegelaar       ,WAT ,D,0.86 ,23,4 ,5.8,360 ,90 ,4.4  ,1.3 ,12907    ,       
x,S,Mustafi         ,ARS ,D,0.74 ,54,9 ,6.0,734 ,82 ,5.4  ,3.7 ,-24807   ,       
 ,P,Jones           ,MUN ,D,0.64 ,59,11,5.4,893 ,81 ,5.3  ,6.1 ,-34765   ,       
 ,E,Bailly          ,MUN ,D,0.62 ,46,8 ,5.8,720 ,90 ,6.1  ,7.6 ,-16213   ,       
 ,B,Davies          ,TOT ,D,0.57 ,57,11,5.2,890 ,81 ,5.6  ,15.4,-21009   ,       
 ,K,Trippier        ,TOT ,D,0.55 ,56,11,5.1,903 ,82 ,5.6  ,7.8 ,-8697    ,       
 ,D,Blind           ,MUN ,D,0.54 ,19,4 ,4.8,271 ,68 ,5.2  ,1.1 ,-1060    ,       
 ,S,Kolasinac       ,ARS ,D,0.53 ,74,14,5.3,1207,86 ,6.2  ,15.3,38161    ,       
 ,C,Azpilicueta     ,CHE ,D,0.52 ,78,14,5.6,1260,90 ,6.9  ,22.3,-4823    ,       
 ,A,Robertson       ,LIV ,D,0.5  ,13,3 ,4.3,270 ,90 ,4.6  ,0.8 ,-216     ,       
 ,S,Ward            ,BUR ,D,0.49 ,67,15,4.5,1340,89 ,5.1  ,23.8,11812    ,       
x,N,Otamendi        ,MCI ,D,0.49 ,69,14,4.9,1240,89 ,5.9  ,18.1,21404    ,       
 ,A,Valencia        ,MUN ,D,0.49 ,80,15,5.3,1350,90 ,6.8  ,15.9,22814    ,       
 ,M,Yoshida         ,SOU ,D,0.49 ,48,11,4.4,904 ,82 ,4.9  ,3.3 ,-10333   ,       
 ,J,Fonte           ,WHU ,D,0.48 ,34,8 ,4.3,688 ,86 ,4.8  ,1.2 ,-2435    ,       
 ,M,Sakho           ,CRY ,D,0.47 ,39,9 ,4.3,810 ,90 ,4.9  ,1.6 ,38539    ,       
 ,N,Monreal         ,ARS ,D,0.46 ,69,15,4.6,1350,90 ,5.7  ,12.8,18061    ,       
 ,M,Lowton          ,BUR ,D,0.45 ,53,13,4.1,1170,90 ,4.7  ,3.7 ,-14633   ,       
 ,J,Gomez           ,LIV ,D,0.43 ,44,11,4.0,901 ,82 ,4.6  ,4.7 ,-12254   ,       
x,J,Lascelles       ,NEW ,D,0.43 ,44,11,4.0,947 ,86 ,4.6  ,6.2 ,-20782   ,       
 ,P,Mertesacker     ,ARS ,D,0.42 ,12,3 ,4.0,270 ,90 ,4.8  ,0.5 ,-491     ,       
 ,A,Rüdiger         ,CHE ,D,0.4  ,47,11,4.3,924 ,84 ,5.8  ,2.1 ,4344     ,       
 ,J,Stephens        ,SOU ,D,0.4  ,15,4 ,3.8,360 ,90 ,4.5  ,0.2 ,-133     ,       
 ,M,Alonso          ,CHE ,D,0.39 ,70,15,4.7,1295,86 ,6.9  ,15.8,-425     ,       
 ,H,Maguire         ,LEI ,D,0.37 ,59,15,3.9,1350,90 ,5.2  ,8.4 ,32338    ,       
 ,R,Klavan          ,LIV ,D,0.37 ,25,7 ,3.6,630 ,90 ,4.3  ,1.0 ,-1608    ,       
 ,K,Walker          ,MCI ,D,0.37 ,63,14,4.5,1213,87 ,6.7  ,15.1,-23316   ,       
 ,B,Mendy           ,MCI ,D,0.37 ,17,4 ,4.3,298 ,74 ,6.3  ,0.4 ,-211     ,       
 ,A,Moreno          ,LIV ,D,0.36 ,44,12,3.7,1080,90 ,4.7  ,5.7 ,-9856    ,       
 ,B,Mee             ,BUR ,D,0.35 ,56,15,3.7,1350,90 ,4.8  ,14.5,13626    ,       
 ,C,Smalling        ,MUN ,D,0.35 ,39,10,3.9,825 ,82 ,5.4  ,3.9 ,208      ,       
 ,F,Kiko Femenía    ,WAT ,D,0.35 ,51,14,3.6,1208,86 ,4.6  ,5.8 ,16950    ,       
x,K,Naughton        ,SWA ,D,0.33 ,52,15,3.5,1347,90 ,4.6  ,5.6 ,5591     ,       
x,C,Daniels         ,BOU ,D,0.32 ,54,15,3.6,1350,90 ,5.0  ,13.3,-960     ,       
 ,J,Stones          ,MCI ,D,0.32 ,46,12,3.8,884 ,74 ,5.6  ,4.1 ,-13993   ,       
 ,D,Danilo          ,MCI ,D,0.32 ,25,7 ,3.6,379 ,54 ,5.0  ,1.8 ,-1326    ,       
 ,V,Moses           ,CHE ,D,0.31 ,32,8 ,4.0,575 ,72 ,6.4  ,0.8 ,8598     ,       
 ,J,Matip           ,LIV ,D,0.31 ,48,13,3.7,1170,90 ,5.5  ,2.4 ,-12796   ,       
 ,T,Alderweireld    ,TOT ,D,0.31 ,38,10,3.8,900 ,90 ,5.9  ,6.0 ,-10208   ,       
 ,D,Zappacosta      ,CHE ,D,0.31 ,30,8 ,3.8,471 ,59 ,5.9  ,0.5 ,-3530    ,       
 ,L,Koscielny       ,ARS ,D,0.3  ,46,12,3.8,1074,90 ,6.0  ,1.2 ,2665     ,       
 ,S,Duffy           ,BHA ,D,0.3  ,51,15,3.4,1332,89 ,4.6  ,3.1 ,8489     ,       
 ,M,van der Hoorn   ,SWA ,D,0.3  ,23,7 ,3.3,549 ,78 ,4.4  ,0.1 ,166      ,       
 ,M,Olsson          ,SWA ,D,0.3  ,46,13,3.5,1166,90 ,5.0  ,0.3 ,467      ,       
 ,M,Suttner         ,BHA ,D,0.3  ,26,8 ,3.3,720 ,90 ,4.3  ,0.5 ,607      ,       
 ,H,Bellerín        ,ARS ,D,0.29 ,56,15,3.7,1350,90 ,5.9  ,9.6 ,-550     ,       
 ,M,Holgate         ,EVE ,D,0.29 ,19,6 ,3.2,540 ,90 ,4.2  ,0.8 ,6018     ,       
 ,C,Clark           ,NEW ,D,0.29 ,39,12,3.3,1025,85 ,4.5  ,2.1 ,-1310    ,       
 ,J,Tarkowski       ,BUR ,D,0.28 ,50,15,3.3,1350,90 ,4.6  ,2.0 ,7786     ,       
