W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf ,120621
o,T,Alexander-Arnold,LIV ,D,0.67 ,0.72 ,5.6,5.9 ,8.3 ,85 ,5.4  ,29.4,77738 ,4  ,      
 ,A,Robertson       ,LIV ,D,0.69 ,0.69 ,6.5,6.5 ,6.3 ,87 ,6.5  ,31.0,-77072,-4 ,      
 ,M,Alonso          ,CHE ,D,0.59 ,0.65 ,6.2,6.6 ,3.8 ,99 ,7.1  ,47.1,-43499,-2 ,      
 ,K,Trippier        ,TOT ,D,0.56 ,0.62 ,5.4,5.8 ,1.8 ,74 ,6.1  ,19.9,6393  ,1  ,      
 ,R,Pereira         ,LEI ,D,0.59 ,0.59 ,5.0,5.0 ,5.0 ,78 ,5.1  ,6.6 ,3036  ,1  ,      
o,M,Keane           ,EVE ,D,0.58 ,0.58 ,4.9,4.9 ,4.3 ,80 ,5.0  ,4.7 ,7404  ,3  ,      
 ,Y,Mina            ,EVE ,D,0.3  ,0.56 ,3.6,5.0 ,4.3 ,27 ,5.4  ,0.9 ,2216  ,4  ,      
 ,J,Jonny           ,WOL ,D,0.41 ,0.5  ,3.8,4.2 ,0.5 ,75 ,4.4  ,1.6 ,-6303 ,-7 ,      
 ,J,Gomez           ,LIV ,D,0.39 ,0.49 ,4.0,4.5 ,2.8 ,78 ,5.1  ,3.4 ,-28990,-14,      
 ,K,Walker          ,MCI ,D,0.49 ,0.49 ,5.2,5.2 ,2.5 ,80 ,6.5  ,13.9,-5669 ,-1 ,      
 ,V,van Dijk        ,LIV ,D,0.48 ,0.48 ,4.9,4.9 ,7.5 ,97 ,6.1  ,19.6,52645 ,5  ,      
o,M,Doherty         ,WOL ,D,0.5  ,0.48 ,4.5,4.4 ,3.5 ,97 ,5.0  ,18.5,51893 ,5  ,      
 ,S,Duffy           ,BHA ,D,0.36 ,0.45 ,3.7,4.1 ,2.5 ,95 ,4.7  ,6.8 ,-69656,-17,      
m,A,Laporte         ,MCI ,D,0.41 ,0.44 ,4.5,4.7 ,2.8 ,93 ,6.1  ,16.5,-9274 ,-1 ,      
 ,J,Foyth           ,TOT ,D,0.36 ,0.44 ,3.8,4.2 ,4.8 ,33 ,5.0  ,0.8 ,4681  ,10 ,      
 ,A,Rüdiger         ,CHE ,D,0.4  ,0.43 ,4.4,4.6 ,3.3 ,98 ,6.0  ,5.2 ,-5000 ,-2 ,      
m,S,Kolasinac       ,ARS ,D,0.29 ,0.41 ,3.4,4.0 ,3.8 ,31 ,4.9  ,1.2 ,31323 ,44 ,      
 ,J,Holebas         ,WAT ,D,0.38 ,0.38 ,3.8,3.8 ,2.5 ,79 ,4.7  ,11.1,-1740 ,0  ,      
 ,C,Azpilicueta     ,CHE ,D,0.33 ,0.37 ,4.1,4.3 ,4.3 ,100,6.3  ,9.8 ,-3848 ,-1 ,      
 ,D,David Luiz      ,CHE ,D,0.37 ,0.37 ,4.1,4.1 ,4.0 ,93 ,5.6  ,6.0 ,-8198 ,-2 ,      
 ,H,Maguire         ,LEI ,D,0.31 ,0.37 ,3.7,4.0 ,0.0 ,69 ,5.4  ,9.3 ,-12132,-2 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.36 ,0.36 ,3.5,3.5 ,3.8 ,92 ,4.2  ,28.6,18917 ,1  ,      
 ,J,Lascelles       ,NEW ,D,0.21 ,0.34 ,3.0,3.6 ,0.5 ,67 ,4.7  ,3.2 ,-632  ,0  ,      
 ,F,Fernández       ,NEW ,D,0.3  ,0.34 ,3.3,3.5 ,2.8 ,80 ,4.4  ,0.5 ,1565  ,5  ,      
 ,L,Dunk            ,BHA ,D,0.31 ,0.33 ,3.4,3.5 ,4.0 ,88 ,4.5  ,4.8 ,9483  ,3  ,      
 ,L,Digne           ,EVE ,D,0.27 ,0.33 ,3.3,3.6 ,4.3 ,79 ,4.9  ,3.4 ,6739  ,3  ,      
 ,B,Chilwell        ,LEI ,D,0.31 ,0.33 ,3.6,3.7 ,4.0 ,100,5.2  ,3.6 ,-3201 ,-2 ,      
 ,P,van Aanholt     ,CRY ,D,0.31 ,0.31 ,3.7,3.7 ,4.0 ,100,5.4  ,4.0 ,75    ,0  ,      
 ,S,Coleman         ,EVE ,D,0.29 ,0.31 ,3.5,3.6 ,4.0 ,73 ,5.2  ,1.6 ,716   ,1  ,      
 ,A,Adam Smith      ,BOU ,D,0.25 ,0.3  ,3.1,3.3 ,0.3 ,71 ,4.4  ,0.5 ,-1529 ,-5 ,      
 ,W,Boly            ,WOL ,D,0.28 ,0.3  ,3.3,3.4 ,1.5 ,100,4.6  ,4.8 ,227   ,0  ,      
 ,M,Zanka           ,HUD ,D,0.27 ,0.27 ,3.2,3.2 ,3.3 ,86 ,4.4  ,3.0 ,1289  ,1  ,      
 ,P,Dummett         ,NEW ,D,0.27 ,0.27 ,3.2,3.2 ,0.5 ,67 ,4.4  ,0.2 ,-224  ,-2 ,      
 ,S,Steve Cook      ,BOU ,D,0.26 ,0.26 ,3.2,3.2 ,1.3 ,100,4.6  ,8.2 ,-4638 ,-1 ,      
m,C,Schindler       ,HUD ,D,0.26 ,0.26 ,3.1,3.1 ,3.0 ,99 ,4.3  ,3.0 ,3612  ,2  ,      
 ,C,Cédric          ,SOU ,D,0.2  ,0.25 ,2.9,3.1 ,3.3 ,97 ,4.4  ,4.7 ,7227  ,3  ,      
 ,T,Alderweireld    ,TOT ,D,0.24 ,0.25 ,3.4,3.5 ,2.8 ,86 ,5.9  ,3.1 ,2770  ,2  ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.25 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,S,Bamba           ,CAR ,D,0.24 ,0.24 ,3.1,3.1 ,3.5 ,93 ,4.5  ,1.3 ,868   ,1  ,      
 ,H,Bellerín        ,ARS ,D,0.15 ,0.22 ,2.8,3.2 ,1.0 ,97 ,5.4  ,11.0,31731 ,5  ,      
 ,N,Aké             ,BOU ,D,0.22 ,0.22 ,3.1,3.1 ,1.0 ,100,5.0  ,4.7 ,-2719 ,-1 ,      
 ,M,Sakho           ,CRY ,D,0.22 ,0.22 ,3.1,3.1 ,3.8 ,100,4.9  ,1.4 ,18    ,0  ,      
 ,S,Francis         ,BOU ,D,0.09 ,0.2  ,2.4,2.9 ,1.8 ,74 ,4.4  ,0.5 ,-205  ,-1 ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.2  ,2.7,2.9 ,0.3 ,68 ,4.4  ,0.1 ,-115  ,-2 ,      
 ,C,Smalling        ,MUN ,D,0.14 ,0.18 ,2.8,3.0 ,2.0 ,80 ,5.7  ,1.7 ,-402  ,0  ,      
 ,D,Yedlin          ,NEW ,D,0.16 ,0.18 ,2.7,2.8 ,1.3 ,93 ,4.5  ,1.5 ,-165  ,0  ,      
 ,J,Tarkowski       ,BUR ,D,0.11 ,0.17 ,2.5,2.8 ,0.3 ,75 ,4.7  ,4.1 ,-1716 ,-1 ,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,0.3 ,80 ,4.8  ,2.9 ,-5349 ,-3 ,      
 ,R,Bennett         ,WOL ,D,0.14 ,0.17 ,2.6,2.7 ,1.3 ,93 ,4.2  ,11.0,-5173 ,-1 ,      
