O,I,web_name,team,T,VA/M,pt,g,p/g,min,m/g,price,%,net_trans,1207 14
,S,Agüero,MCI,F,0.44,79,11,7.2,861,78,11.7,18.6,-63650,
x,H,Kane,TOT,F,0.3,82,14,5.9,1209,86,12.8,37.4,-42741,
x,Á,Morata,CHE,F,0.36,83,14,5.9,1076,77,10.8,35.8,121061,
x,O,Niasse,EVE,F,0.72,39,7,5.6,377,54,5.0,5.5,-21926,
,G,Jesus,MCI,F,0.32,74,14,5.3,816,58,10.4,13.9,-58409,
,R,Lukaku,MUN,F,0.29,79,15,5.3,1350,90,11.4,34.7,-131236,
,W,Rooney,EVE,F,0.38,62,13,4.8,986,76,7.3,11.1,17978,
,R,Firmino,LIV,F,0.33,67,14,4.8,1051,75,8.5,18.8,112296,
,J,Vardy,LEI,F,0.3,69,15,4.6,1322,88,8.6,16.6,9595,
,A,Lacazette,ARS,F,0.22,64,15,4.3,1029,69,10.3,8.7,33863,
,C,Callum Wilson,BOU,F,0.36,25,6,4.2,371,62,6.1,5.1,-27249,
,M,Diouf,STK,F,0.34,54,14,3.9,1238,88,5.6,5.5,12617,
,T,Abraham,SWA,F,0.31,53,14,3.8,1072,77,5.9,11.3,-20944,
,C,Wood,BUR,F,0.28,42,11,3.8,736,67,6.4,1.6,3958,
,J,Chicharito,WHU,F,0.25,41,11,3.7,900,82,6.7,7.3,-14706,
,D,Welbeck,ARS,F,0.22,32,9,3.6,508,56,7.3,0.8,-1077,
,M,Rashford,MUN,F,0.21,54,15,3.6,892,59,7.6,7.8,-34630,
~,~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.55,~~~,~~~,~~~~~,~,~~~~~~~~~,~~~~~~~
,G,Murray,BHA,F,0.24,44,13,3.4,809,62,5.8,3.7,10866,
,D,Calvert-Lewin,EVE,F,0.25,50,15,3.3,1038,69,5.2,5.3,100818,
,T,Hemed,BHA,F,0.25,29,9,3.2,467,52,4.8,1.3,-3045,
,S,Okazaki,LEI,F,0.2,37,12,3.1,597,50,5.5,3.9,-9020,
,L,Depoitre,HUD,F,0.19,36,12,3.0,902,75,5.2,0.6,-110,
,J,King,BOU,F,0.13,38,13,2.9,1153,89,7.0,1.5,-317,
,A,Gray,WAT,F,0.14,43,15,2.9,893,60,6.3,2.4,-2459,
,M,Gabbiadini,SOU,F,0.12,36,13,2.8,676,52,6.5,1.8,-5609,
,J,Ayew,SWA,F,0.12,39,15,2.6,1251,83,5.1,3.7,-6753,
,J,Joselu,NEW,F,0.11,34,13,2.6,924,71,5.5,0.7,-3438,
,S,Mounie,HUD,F,0.07,24,10,2.4,537,54,5.7,0.8,-699,
,A,Pérez,NEW,F,0.08,34,14,2.4,1002,72,5.3,0.9,-985,
,J,Rodriguez,WBA,F,0.07,34,14,2.4,1202,86,5.6,0.8,-1855,
,J,Defoe,BOU,F,0.01,25,12,2.1,599,50,7.6,1.5,-669,
,W,Bony,SWA,F,0.02,17,8,2.1,483,60,5.7,0.2,3395,
,S,Rondón,WBA,F,0.0,28,14,2.0,878,63,6.0,0.9,-1680,
,S,Long,SOU,F,-0.04,23,13,1.8,670,52,5.7,0.3,-1163,
,C,Benteke,CRY,F,-0.07,15,10,1.5,761,76,7.6,2.1,675,
,A,Carroll,WHU,F,-0.17,8,8,1.0,539,67,5.9,0.2,-1474,
