W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120621
 ,S,Agüero    ,MCI ,F,0.38,0.38 ,6.3,6.3 ,2.3 ,71 ,11.3 ,33.3,-245522,-12,      
o,C,Wilson    ,BOU ,F,0.59,0.59 ,6.1,6.1 ,5.5 ,98 ,7.0  ,39.6,99433  ,4  ,      
 ,A,Lacazette ,ARS ,F,0.32,0.42 ,5.1,6.0 ,3.3 ,71 ,9.6  ,9.6 ,40056  ,7  ,      
 ,J,Chicharito,WHU ,F,0.17,0.56 ,3.1,5.5 ,4.3 ,37 ,6.3  ,2.5 ,35085  ,24 ,      
o,P,Aubameyang,ARS ,F,0.37,0.29 ,6.2,5.3 ,7.0 ,83 ,11.3 ,28.7,268404 ,16 ,      
 ,G,Murray    ,BHA ,F,0.37,0.48 ,4.5,5.2 ,4.5 ,77 ,6.7  ,5.6 ,-21991 ,-7 ,      
o,H,Kane      ,TOT ,F,0.3 ,0.26 ,5.7,5.2 ,7.3 ,99 ,12.5 ,28.3,66064  ,4  ,      
 ,M,Arnautovic,WHU ,F,0.35,0.41 ,4.5,4.9 ,2.3 ,75 ,7.1  ,17.4,-341788,-33,      
m,A,Mitrovic  ,FUL ,F,0.4 ,0.4  ,4.7,4.7 ,5.5 ,100,6.7  ,19.0,37017  ,3  ,      
 ,R,Lukaku    ,MUN ,F,0.18,0.25 ,3.9,4.7 ,4.0 ,74 ,10.7 ,4.4 ,-1751  ,-1 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.68,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,J,King      ,BOU ,F,0.41,0.41 ,4.6,4.6 ,2.8 ,77 ,6.3  ,2.6 ,-2280  ,-1 ,      
m,R,Jiménez   ,WOL ,F,0.45,0.42 ,4.7,4.5 ,5.3 ,92 ,6.0  ,16.0,72813  ,8  ,      
 ,R,Firmino   ,LIV ,F,0.23,0.24 ,4.1,4.2 ,5.8 ,82 ,9.2  ,16.7,-1777  ,0  ,      
 ,S,Rondón    ,NEW ,F,0.29,0.38 ,3.7,4.2 ,6.3 ,48 ,5.8  ,1.8 ,21272  ,20 ,      
 ,J,Vardy     ,LEI ,F,0.26,0.22 ,4.3,4.0 ,4.5 ,63 ,8.9  ,3.9 ,-18106 ,-8 ,      
 ,W,Zaha      ,CRY ,F,0.22,0.22 ,3.5,3.5 ,2.0 ,87 ,6.7  ,14.0,-3516  ,0  ,      
 ,T,Deeney    ,WAT ,F,0.17,0.2  ,3.0,3.2 ,1.5 ,73 ,5.9  ,2.4 ,-460   ,0  ,      
 ,A,Pérez     ,NEW ,F,0.08,0.03 ,2.5,2.2 ,1.8 ,79 ,6.1  ,1.2 ,-936   ,-1 ,      
