W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,120621
m,L,Sané           ,MCI ,M,0.44 ,0.75 ,6.2,9.1 ,8.0 ,57 ,9.5  ,11.7,70867  ,10 ,      
o,R,Sterling       ,MCI ,M,0.58 ,0.58 ,8.7,8.7 ,6.8 ,76 ,11.6 ,21.1,25447  ,2  ,      
 ,R,Loftus-Cheek   ,CHE ,M,0.62 ,1.15 ,5.2,8.0 ,4.0 ,15 ,5.2  ,0.7 ,6863   ,17 ,      
 ,E,Hazard         ,CHE ,M,0.43 ,0.52 ,6.7,7.7 ,3.8 ,78 ,11.0 ,34.5,-35895 ,-2 ,      
 ,A,Martial        ,MUN ,M,0.5  ,0.71 ,5.8,7.4 ,4.5 ,58 ,7.6  ,12.1,-16154 ,-2 ,      
 ,I,Gündogan       ,MCI ,M,0.52 ,0.83 ,4.8,6.5 ,5.0 ,40 ,5.4  ,2.4 ,394    ,0  ,      
m,S,Mané           ,LIV ,M,0.43 ,0.43 ,6.2,6.2 ,3.8 ,85 ,9.7  ,27.9,-130606,-8 ,      
 ,M,Salah          ,LIV ,M,0.31 ,0.32 ,6.0,6.1 ,5.8 ,90 ,13.0 ,34.7,-26641 ,-1 ,      
 ,R,Mahrez         ,MCI ,M,0.28 ,0.48 ,4.4,6.1 ,5.0 ,50 ,8.5  ,3.0 ,9671   ,5  ,      
o,R,Richarlison    ,EVE ,M,0.52 ,0.56 ,5.7,6.0 ,4.5 ,82 ,7.1  ,32.0,42832  ,2  ,      
m,S,Armstrong      ,SOU ,M,0.18 ,0.78 ,2.9,6.0 ,6.3 ,35 ,5.1  ,0.7 ,10770  ,26 ,      
 ,D,David Silva    ,MCI ,M,0.39 ,0.44 ,5.4,5.8 ,5.5 ,75 ,8.7  ,11.5,-15068 ,-2 ,      
o,R,Fraser         ,BOU ,M,0.59 ,0.59 ,5.7,5.7 ,5.5 ,94 ,6.3  ,27.5,62005  ,4  ,      
 ,G,Sigurdsson     ,EVE ,M,0.41 ,0.48 ,5.1,5.6 ,4.5 ,93 ,7.5  ,8.8 ,4421   ,1  ,      
m,B,Alli           ,TOT ,M,0.21 ,0.35 ,3.9,5.1 ,4.5 ,47 ,8.9  ,3.3 ,-823   ,0  ,      
 ,J,Milner         ,LIV ,M,0.34 ,0.54 ,3.9,5.0 ,3.0 ,65 ,5.6  ,4.4 ,4754   ,2  ,      
 ,B,Bernardo Silva ,MCI ,M,0.36 ,0.4  ,4.7,5.0 ,5.0 ,84 ,7.5  ,6.7 ,4416   ,1  ,      
 ,J,Gudmundsson    ,BUR ,M,0.39 ,0.47 ,4.3,4.8 ,1.8 ,79 ,5.9  ,2.7 ,-446   ,0  ,      
