W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,120818
,L,Torreira,ARS,M,0.24,0.32,3.2,3.6,5.4,79,5.0,4.4,28068,11,
o,F,Felipe Anderson,WHU,M,0.4,0.42,4.9,5.0,7.0,92,7.2,14.3,26329,3,
,M,Salah,LIV,M,0.38,0.38,6.9,6.9,8.8,91,13.0,35.0,25070,1,
o,P,Aubameyang,ARS,F,0.36,0.27,6.1,5.1,6.6,84,11.4,34.9,22970,1,
m,J,Chicharito,WHU,F,0.25,0.67,3.6,6.2,5.2,40,6.3,3.7,18978,9,
,M,Rashford,MUN,F,0.22,0.32,3.5,4.2,5.2,52,6.8,6.1,17758,5,
o,H,Son,TOT,M,0.31,0.36,4.6,5.0,7.2,45,8.4,4.4,13770,5,
,A,Robertson,LIV,D,0.75,0.72,6.8,6.6,7.2,88,6.4,31.1,12729,1,
m,R,Jiménez,WOL,F,0.44,0.49,4.7,5.0,4.2,86,6.1,18.0,12021,1,
,V,van Dijk,LIV,D,0.49,0.54,5.0,5.3,7.2,98,6.1,20.4,8700,1,
m,A,Mitrovic,FUL,F,0.37,0.4,4.5,4.7,4.6,97,6.7,19.6,8653,1,
o,H,Kane,TOT,F,0.27,0.3,5.4,5.7,6.0,94,12.5,29.9,7919,0,
,D,David Luiz,CHE,D,0.52,0.37,4.9,4.1,6.2,94,5.6,6.0,7313,2,
m,S,Kolasinac,ARS,D,0.44,0.36,4.2,3.8,4.6,36,5.0,2.4,7273,5,
o,R,Fraser,BOU,M,0.56,0.56,5.5,5.5,4.8,94,6.3,28.2,7074,0,
o,M,Doherty,WOL,D,0.5,0.5,4.5,4.5,2.8,91,5.0,19.6,5672,0,
,H,Bellerín,ARS,D,0.19,0.2,3.0,3.1,2.0,97,5.4,12.0,5136,1,
m,L,Sané,MCI,M,0.41,0.75,5.9,9.1,6.6,57,9.5,13.3,4775,1,
,R,Firmino,LIV,F,0.26,0.26,4.4,4.4,6.4,83,9.2,17.0,4280,0,
,N,Kanté,CHE,M,0.29,0.2,3.4,3.0,4.2,99,4.9,16.2,3879,0,
m,R,Snodgrass,WHU,M,0.09,0.32,2.5,3.7,5.0,63,5.3,0.9,3851,7,
,J,McArthur,CRY,M,0.28,0.23,3.3,3.1,5.4,89,4.7,1.6,3795,4,
,A,Alisson,LIV,G,0.54,0.54,5.1,5.1,6.2,100,5.7,21.0,3021,0,
,S,Rondón,NEW,F,0.29,0.5,3.7,4.9,5.0,45,5.8,2.5,2928,2,
o,L,Fabianski,WHU,G,0.41,0.41,3.9,3.9,4.6,100,4.6,15.5,2818,0,
o,A,Wan-Bissaka,CRY,D,0.3,0.3,3.3,3.3,3.2,93,4.3,29.0,2772,0,
,E,Hazard,CHE,M,0.45,0.5,6.9,7.5,4.8,79,10.9,33.9,2641,0,
m,C,Schindler,HUD,D,0.26,0.26,3.1,3.1,2.8,99,4.3,3.1,2581,1,
,R,Pereira,LEI,D,0.53,0.59,4.7,5.0,4.2,79,5.1,6.7,2281,1,
,S,Bamba,CAR,D,0.33,0.29,3.5,3.3,4.6,94,4.5,1.4,2019,2,
,B,Bernardo Silva,MCI,M,0.33,0.39,4.5,4.9,4.4,85,7.5,6.9,2017,0,
,J,King,BOU,F,0.38,0.38,4.4,4.4,2.6,78,6.3,2.6,1744,1,
m,K,Kepa,CHE,G,0.44,0.42,4.4,4.3,5.2,100,5.5,5.4,1710,1,
,J,Maddison,LEI,M,0.37,0.47,4.5,5.2,3.6,82,6.8,6.1,1458,0,
,A,Rüdiger,CHE,D,0.42,0.4,4.5,4.4,3.8,98,6.0,5.1,1432,0,
,R,Mahrez,MCI,M,0.26,0.59,4.2,7.0,4.4,52,8.5,3.1,1186,1,
,A,Young,MUN,D,0.14,0.12,2.8,2.7,3.6,69,5.7,1.2,1184,2,
,T,Alderweireld,TOT,D,0.27,0.24,3.6,3.4,3.4,87,5.9,3.2,1087,1,
,A,Masuaku,WHU,M,0.02,0.07,2.1,2.3,1.8,68,4.3,1.9,1018,1,
,C,Azpilicueta,CHE,D,0.37,0.33,4.3,4.1,5.0,100,6.3,9.8,950,0,
,C,Paterson,CAR,M,0.34,0.42,3.8,4.2,5.2,72,5.3,1.4,800,1,
,T,Kongolo,HUD,D,0.12,0.14,2.5,2.6,3.6,74,4.3,0.3,736,4,
m,H,Lloris,TOT,G,0.46,0.43,4.5,4.3,4.2,75,5.4,4.3,669,0,
,J,Tarkowski,BUR,D,0.3,0.28,3.4,3.3,3.0,77,4.7,4.1,577,0,
,J,Holebas,WAT,D,0.38,0.38,3.8,3.8,2.0,75,4.7,11.0,566,0,
,M,Zanka,HUD,D,0.25,0.25,3.1,3.1,3.0,87,4.4,3.0,491,0,
,L,Digne,EVE,D,0.27,0.31,3.3,3.5,3.4,74,4.9,3.6,414,0,
,J,Cork,BUR,M,0.13,0.13,2.6,2.6,4.0,92,4.6,0.4,406,2,
,J,Lössl,HUD,G,0.23,0.23,3.0,3.0,2.6,87,4.4,1.6,395,0,
m,A,Laporte,MCI,D,0.38,0.44,4.3,4.7,2.4,94,6.1,16.4,394,0,
,S,Morrison,CAR,D,0.17,0.17,2.8,2.8,4.0,99,4.7,0.5,392,1,
,T,Deeney,WAT,F,0.17,0.24,3.0,3.4,1.2,68,5.8,2.4,380,0,
,J,Milner,LIV,M,0.34,0.59,3.9,5.3,3.0,68,5.6,4.6,373,0,
,R,Lukaku,MUN,F,0.19,0.26,4.0,4.8,4.4,76,10.7,4.5,359,0,
m,B,Alli,TOT,M,0.27,0.35,4.4,5.1,5.4,51,8.9,3.4,290,0,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,~~~~,~~~~,~~,~~~~~,~,276.55,~~,~~~~~~
,J,Tomkins,CRY,D,0.16,0.23,2.7,3.0,3.0,85,4.3,2.8,275,0,
,A,Doucouré,WAT,M,0.25,0.25,3.5,3.5,2.8,94,5.9,1.5,251,0,
,C,Taylor,BUR,D,-0.02,0.02,1.9,2.1,3.2,88,4.4,0.3,144,1,
,F,Fernández,NEW,D,0.3,0.3,3.3,3.3,2.2,75,4.4,0.6,138,0,
,D,Rice,WHU,D,0.02,0.05,2.1,2.2,2.2,78,4.4,0.4,137,1,
,A,Herrera,MUN,M,0.16,0.64,2.8,5.2,4.2,32,5.0,0.3,124,1,
,W,Morgan,LEI,D,0.09,0.11,2.4,2.5,3.2,72,4.5,0.9,119,0,
,M,Sakho,CRY,D,0.18,0.18,2.9,2.9,3.2,100,4.9,1.4,118,0,
,B,Chilwell,LEI,D,0.27,0.31,3.4,3.6,3.4,100,5.2,3.5,85,0,
,J,Hart,BUR,G,0.47,0.44,4.1,4.0,4.8,100,4.5,8.6,84,0,
,S,Francis,BOU,D,0.07,0.14,2.3,2.6,1.4,76,4.4,0.5,81,0,
,F,Balbuena,WHU,D,0.11,0.11,2.5,2.5,1.8,94,4.4,1.2,79,0,
,B,Ecuele Manga,CAR,D,0.07,0.05,2.3,2.2,2.6,100,4.4,0.1,47,1,
,B,Foster,WAT,G,0.2,0.2,2.9,2.9,1.6,94,4.5,3.9,37,0,
,E,Dier,TOT,M,0.21,0.23,3.0,3.1,2.6,78,4.8,1.8,31,0,
,S,Armstrong,SOU,M,0.16,0.67,2.8,5.4,5.4,39,5.1,1.0,23,0,
,M,Le Marchand,FUL,D,-0.17,-0.17,1.3,1.3,1.6,72,4.2,0.2,20,0,
,D,Odoi,FUL,D,-0.27,-0.27,0.8,0.8,0.8,84,4.4,0.1,15,0,
,I,Diop,WHU,D,-0.02,-0.02,1.9,1.9,2.0,88,4.3,0.8,8,0,
,C,Cathcart,WAT,D,0.16,0.16,2.7,2.7,1.0,93,4.5,0.9,5,0,
,F,Hadergjonaj,HUD,D,0.05,0.09,2.2,2.4,2.2,73,4.4,0.1,3,0,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,1.6,73,4.8,0.1,2,0,
,J,Lerma,BOU,M,0.11,0.0,2.5,2.0,2.0,71,4.5,0.4,-1,0,
o,C,Chambers,FUL,D,-0.26,-0.21,0.9,1.1,0.8,48,4.2,0.9,-1,0,
,M,Lemina,SOU,M,0.08,0.08,2.4,2.4,2.2,92,4.8,0.2,-2,0,
,C,Coady,WOL,D,0.13,0.13,2.6,2.6,1.0,94,4.5,0.6,-6,0,
,A,Pritchard,HUD,M,0.06,0.15,2.3,2.7,3.0,66,4.8,0.1,-7,0,
,J,Ralls,CAR,M,-0.11,-0.04,1.5,1.8,1.2,69,4.7,0.1,-9,0,
,M,Diamé,NEW,M,0.02,0.02,2.1,2.1,1.4,92,4.9,0.1,-10,0,
,H,Arter,CAR,M,-0.04,-0.04,1.8,1.8,1.8,75,4.9,0.2,-11,0,
,M,Dubravka,NEW,G,0.32,0.32,3.6,3.6,1.8,94,5.0,0.6,-15,0,
,C,Löwe,HUD,D,0.16,0.18,2.7,2.8,0.6,70,4.4,0.1,-23,0,
,N,Mendy,LEI,M,0.09,0.11,2.4,2.5,2.2,85,4.5,1.3,-23,0,
,M,Ritchie,NEW,M,0.05,0.09,2.3,2.5,1.2,71,5.8,0.4,-29,0,
,D,Yedlin,NEW,D,0.16,0.16,2.7,2.7,1.0,87,4.5,1.5,-33,0,
,I,Gueye,EVE,M,0.02,0.02,2.1,2.1,2.0,87,4.8,0.3,-36,0,
,J,Bennett,CAR,D,0.16,0.16,2.7,2.7,1.2,69,4.5,0.6,-53,0,
,G,Bong,BHA,D,0.07,0.07,2.3,2.3,0.2,73,4.5,0.2,-57,0,
,A,Mooy,HUD,M,0.18,0.18,2.9,2.9,4.6,92,5.1,2.0,-57,0,
,B,Mee,BUR,D,0.13,0.09,2.6,2.4,3.4,100,4.7,2.1,-70,0,
,M,Lowton,BUR,D,-0.04,-0.04,1.8,1.8,1.6,75,4.7,0.3,-71,0,
,W,Hoedt,SOU,D,0.05,0.05,2.2,2.2,0.4,81,4.3,0.3,-73,0,
,A,Pérez,NEW,F,0.08,0.03,2.5,2.2,1.4,74,6.1,1.2,-78,0,
,H,Costa,WOL,M,0.0,0.04,2.0,2.2,1.4,71,4.8,0.5,-83,0,
,N,Redmond,SOU,M,0.06,0.04,2.3,2.2,2.0,99,5.2,0.3,-91,-1,
,N,Matic,MUN,M,-0.06,-0.06,1.7,1.7,2.0,79,5.0,0.6,-102,0,
o,W,Hennessey,CRY,G,0.44,0.44,4.0,4.0,4.2,100,4.5,6.7,-123,0,
,P,Zabaleta,WHU,D,0.12,0.12,2.5,2.5,1.6,74,4.3,2.6,-133,0,
,L,Milivojevic,CRY,M,0.22,0.2,3.3,3.2,3.6,100,6.0,2.8,-183,0,
,W,Boly,WOL,D,0.28,0.28,3.3,3.3,1.2,94,4.6,4.8,-203,0,
,S,Coleman,EVE,D,0.29,0.29,3.5,3.5,3.2,69,5.2,1.6,-283,0,
,J,Hogg,HUD,M,0.07,0.11,2.3,2.5,3.0,69,4.4,0.5,-293,-1,
,A,Begovic,BOU,G,0.22,0.22,3.0,3.0,1.8,100,4.5,4.0,-300,0,
,C,Eriksen,TOT,M,0.16,0.28,3.5,4.6,4.6,60,9.3,6.0,-302,0,
,K,Schmeichel,LEI,G,0.28,0.3,3.4,3.5,4.0,100,5.0,5.0,-317,0,
,L,Dunk,BHA,D,0.29,0.31,3.3,3.4,3.6,89,4.5,5.0,-320,0,
,A,Adam Smith,BOU,D,0.25,0.3,3.1,3.3,0.2,67,4.4,0.5,-323,-1,
