W,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn    ,gf ,121421
 ,A,Robertson       ,LIV ,D,0.74 ,0.74 ,6.8,6.8 ,6.0 ,88 ,6.5  ,32.4,85751  ,4  ,      
 ,T,Alexander-Arnold,LIV ,D,0.68 ,0.68 ,5.6,5.6 ,5.5 ,79 ,5.3  ,26.1,-235015,-15,      
 ,K,Trippier        ,TOT ,D,0.56 ,0.62 ,5.4,5.8 ,1.5 ,69 ,6.1  ,17.3,-88224 ,-9 ,      
 ,M,Alonso          ,CHE ,D,0.6  ,0.6  ,6.2,6.2 ,3.3 ,99 ,7.0  ,46.1,1721   ,0  ,      
 ,R,Pereira         ,LEI ,D,0.53 ,0.53 ,4.7,4.7 ,3.0 ,79 ,5.1  ,6.8 ,7413   ,2  ,      
 ,V,van Dijk        ,LIV ,D,0.48 ,0.53 ,5.0,5.3 ,7.3 ,98 ,6.2  ,21.2,51663  ,4  ,      
m,D,David Luiz      ,CHE ,D,0.51 ,0.51 ,4.9,4.9 ,5.5 ,94 ,5.7  ,8.1 ,118166 ,24 ,      
o,M,Keane           ,EVE ,D,0.51 ,0.51 ,4.6,4.6 ,2.8 ,81 ,5.1  ,4.6 ,-17982 ,-7 ,      
o,M,Doherty         ,WOL ,D,0.51 ,0.51 ,4.6,4.6 ,5.0 ,97 ,5.1  ,21.4,107917 ,8  ,      
 ,J,Jonny           ,WOL ,D,0.42 ,0.51 ,3.8,4.2 ,0.0 ,70 ,4.3  ,1.3 ,-8309  ,-11,      
 ,J,Gomez           ,LIV ,D,0.4  ,0.5  ,4.0,4.5 ,1.5 ,73 ,5.0  ,1.9 ,-35178 ,-31,      
 ,S,Duffy           ,BHA ,D,0.37 ,0.46 ,3.7,4.1 ,2.3 ,89 ,4.6  ,4.9 ,-50621 ,-17,      
o,S,Kolasinac       ,ARS ,D,0.43 ,0.43 ,4.2,4.2 ,5.3 ,36 ,5.1  ,4.1 ,98922  ,40 ,      
 ,K,Walker          ,MCI ,D,0.43 ,0.43 ,4.8,4.8 ,2.3 ,81 ,6.5  ,13.6,-8565  ,-1 ,      
 ,A,Rüdiger         ,CHE ,D,0.42 ,0.42 ,4.5,4.5 ,3.5 ,98 ,6.0  ,5.2 ,8010   ,3  ,      
 ,L,Digne           ,EVE ,D,0.37 ,0.41 ,3.8,4.0 ,5.0 ,80 ,4.9  ,4.0 ,18075  ,8  ,      
m,A,Laporte         ,MCI ,D,0.38 ,0.41 ,4.3,4.5 ,2.5 ,94 ,6.1  ,16.3,-6444  ,-1 ,      
 ,C,Azpilicueta     ,CHE ,D,0.37 ,0.37 ,4.3,4.3 ,4.8 ,100,6.3  ,10.0,12603  ,2  ,      
 ,J,Tarkowski       ,BUR ,D,0.3  ,0.34 ,3.4,3.6 ,3.8 ,77 ,4.7  ,4.2 ,6179   ,2  ,      
 ,J,Holebas         ,WAT ,D,0.34 ,0.34 ,3.6,3.6 ,0.8 ,81 ,4.7  ,11.3,16785  ,2  ,      
 ,S,Bamba           ,CAR ,D,0.33 ,0.33 ,3.5,3.5 ,3.3 ,94 ,4.5  ,1.8 ,24856  ,23 ,      
 ,L,Dunk            ,BHA ,D,0.29 ,0.31 ,3.3,3.4 ,2.3 ,89 ,4.5  ,4.8 ,-9414  ,-3 ,      
 ,P,van Aanholt     ,CRY ,D,0.28 ,0.31 ,3.5,3.7 ,3.8 ,98 ,5.4  ,3.6 ,-18903 ,-9 ,      
 ,A,Adam Smith      ,BOU ,D,0.25 ,0.3  ,3.1,3.3 ,0.0 ,67 ,4.4  ,0.5 ,-2188  ,-7 ,      
o,A,Wan-Bissaka     ,CRY ,D,0.3  ,0.3  ,3.3,3.3 ,3.5 ,93 ,4.3  ,29.3,21849  ,1  ,      
 ,F,Fernández       ,NEW ,D,0.27 ,0.3  ,3.2,3.3 ,2.5 ,78 ,4.4  ,0.5 ,-3347  ,-11,      
 ,B,Chilwell        ,LEI ,D,0.27 ,0.27 ,3.4,3.4 ,2.8 ,100,5.2  ,3.2 ,-16336 ,-9 ,      
 ,T,Alderweireld    ,TOT ,D,0.27 ,0.27 ,3.6,3.6 ,2.5 ,87 ,5.9  ,3.6 ,20489  ,10 ,      
 ,J,Lascelles       ,NEW ,D,0.17 ,0.26 ,2.8,3.2 ,0.8 ,69 ,4.7  ,3.2 ,-1087  ,-1 ,      
 ,W,Boly            ,WOL ,D,0.26 ,0.26 ,3.2,3.2 ,1.5 ,100,4.6  ,4.8 ,-3579  ,-1 ,      
m,C,Schindler       ,HUD ,D,0.25 ,0.25 ,3.1,3.1 ,3.0 ,99 ,4.4  ,3.4 ,19251  ,9  ,      
 ,M,Zanka           ,HUD ,D,0.25 ,0.25 ,3.1,3.1 ,3.5 ,87 ,4.4  ,3.1 ,6963   ,4  ,      
~,~,~~~~~~~~        ,~~~~,~,~~~~ ,0.24 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,S,Coleman         ,EVE ,D,0.21 ,0.21 ,3.1,3.1 ,2.3 ,75 ,5.2  ,1.5 ,-6643  ,-7 ,      
 ,H,Bellerín        ,ARS ,D,0.18 ,0.2  ,3.0,3.1 ,2.3 ,97 ,5.5  ,12.6,39159  ,5  ,      
 ,S,Steve Cook      ,BOU ,D,0.2  ,0.2  ,2.9,2.9 ,0.5 ,100,4.6  ,7.8 ,-14444 ,-3 ,      
 ,C,Cédric          ,SOU ,D,0.2  ,0.2  ,2.9,2.9 ,3.0 ,91 ,4.4  ,4.5 ,-18797 ,-7 ,      
 ,M,Sakho           ,CRY ,D,0.18 ,0.18 ,2.9,2.9 ,3.5 ,100,4.9  ,1.4 ,459    ,1  ,      
 ,C,Löwe            ,HUD ,D,0.16 ,0.18 ,2.7,2.8 ,0.5 ,70 ,4.4  ,0.1 ,881    ,15 ,      
 ,S,Mustafi         ,ARS ,D,0.17 ,0.17 ,2.9,2.9 ,3.5 ,97 ,5.4  ,1.4 ,-23938 ,-29,      
 ,S,Morrison        ,CAR ,D,0.17 ,0.17 ,2.8,2.8 ,4.5 ,99 ,4.7  ,0.5 ,3681   ,12 ,      
 ,R,Bertrand        ,SOU ,D,0.17 ,0.17 ,2.8,2.8 ,0.0 ,75 ,4.8  ,2.7 ,-7337  ,-5 ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.16 ,2.8,2.8 ,0.5 ,100,5.0  ,4.6 ,-6140  ,-2 ,      
 ,J,Bennett         ,CAR ,D,0.16 ,0.16 ,2.7,2.7 ,1.5 ,69 ,4.5  ,0.6 ,-228   ,-1 ,      
 ,J,Tomkins         ,CRY ,D,0.16 ,0.16 ,2.7,2.7 ,3.8 ,85 ,4.3  ,2.6 ,-11291 ,-7 ,      
m,B,Davies          ,TOT ,D,0.11 ,0.16 ,2.6,2.9 ,2.5 ,62 ,5.6  ,2.4 ,11444  ,8  ,      
 ,S,Francis         ,BOU ,D,0.07 ,0.14 ,2.3,2.6 ,1.5 ,76 ,4.4  ,0.5 ,600    ,2  ,      
 ,T,Kongolo         ,HUD ,D,0.12 ,0.14 ,2.5,2.6 ,4.0 ,74 ,4.3  ,0.3 ,1133   ,6  ,      
 ,A,Young           ,MUN ,D,0.14 ,0.14 ,2.8,2.8 ,4.3 ,69 ,5.7  ,1.3 ,6137   ,8  ,      
 ,B,Mee             ,BUR ,D,0.13 ,0.13 ,2.6,2.6 ,2.8 ,100,4.7  ,2.1 ,-1494  ,-1 ,      
