W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%   ,txn    ,gf ,121421
 ,S,Agüero    ,MCI ,F,0.38,0.38 ,6.3,6.2 ,0.5 ,66,11.2 ,23.0,-197318,-14,      
m,J,Chicharito,WHU ,F,0.25,0.66 ,3.6,6.2 ,6.3 ,40,6.4  ,6.6 ,184435 ,47 ,      
o,C,Wilson    ,BOU ,F,0.59,0.59 ,6.1,6.1 ,5.0 ,92,6.9  ,36.6,-221656,-10,      
 ,A,Lacazette ,ARS ,F,0.29,0.42 ,4.8,6.0 ,3.0 ,70,9.6  ,10.5,-28162 ,-4 ,      
o,H,Kane      ,TOT ,F,0.27,0.29 ,5.4,5.7 ,6.3 ,94,12.6 ,30.9,61317  ,3  ,      
 ,G,Murray    ,BHA ,F,0.35,0.48 ,4.3,5.2 ,4.3 ,74,6.6  ,4.7 ,-20499 ,-7 ,      
o,P,Aubameyang,ARS ,F,0.36,0.27 ,6.1,5.1 ,7.8 ,84,11.5 ,36.8,123775 ,6  ,      
 ,F,Andone    ,BHA ,F,0.2 ,0.6  ,3.0,5.0 ,4.0 ,17,5.0  ,0.4 ,2158   ,9  ,      
 ,S,Rondón    ,NEW ,F,0.31,0.5  ,3.8,4.9 ,4.5 ,51,5.8  ,3.0 ,31794  ,18 ,      
 ,M,Arnautovic,WHU ,F,0.36,0.42 ,4.5,4.9 ,1.8 ,70,6.9  ,8.5 ,-157616,-31,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.82,~~~~,~~,~~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,R,Lukaku    ,MUN ,F,0.19,0.26 ,4.0,4.8 ,4.5 ,76,10.7 ,4.5 ,-2403  ,-1 ,      
m,A,Mitrovic  ,FUL ,F,0.37,0.4  ,4.5,4.7 ,5.3 ,97,6.8  ,21.0,92272  ,7  ,      
m,R,Jiménez   ,WOL ,F,0.4 ,0.44 ,4.5,4.7 ,4.0 ,88,6.2  ,19.0,68818  ,6  ,      
 ,R,Firmino   ,LIV ,F,0.26,0.27 ,4.4,4.5 ,7.5 ,83,9.2  ,17.2,15595  ,2  ,      
 ,M,Rashford  ,MUN ,F,0.22,0.36 ,3.5,4.5 ,6.0 ,52,6.9  ,7.8 ,114385 ,25 ,      
 ,J,King      ,BOU ,F,0.38,0.38 ,4.4,4.4 ,3.3 ,78,6.3  ,3.0 ,22587  ,13 ,      
 ,J,Vardy     ,LEI ,F,0.26,0.23 ,4.3,4.0 ,4.0 ,59,8.8  ,3.1 ,-18864 ,-10,      
 ,W,Zaha      ,CRY ,F,0.21,0.21 ,3.4,3.4 ,2.3 ,88,6.7  ,12.1,-106030,-15,      
 ,T,Deeney    ,WAT ,F,0.16,0.22 ,2.9,3.3 ,1.8 ,75,5.8  ,2.7 ,12988  ,8  ,      
 ,A,Pérez     ,NEW ,F,0.15,0.13 ,2.9,2.8 ,3.5 ,80,6.1  ,1.3 ,9501   ,12 ,      
