W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,120818
,A,Alisson,LIV,G,0.54,0.54,5.1,5.1,6.2,100,5.7,21.0,3021,0,
,J,Pickford,EVE,G,0.48,0.48,4.4,4.4,3.6,94,5.0,15.8,-1280,0,
m,E,Ederson,MCI,G,0.45,0.48,4.6,4.8,2.8,100,5.8,26.1,-1916,0,
,J,Hart,BUR,G,0.47,0.44,4.1,4.0,4.8,100,4.5,8.6,84,0,
o,W,Hennessey,CRY,G,0.44,0.44,4.0,4.0,4.2,100,4.5,6.7,-123,0,
m,H,Lloris,TOT,G,0.46,0.43,4.5,4.3,4.2,75,5.4,4.3,669,0,
m,K,Kepa,CHE,G,0.44,0.42,4.4,4.3,5.2,100,5.5,5.4,1710,1,
o,L,Fabianski,WHU,G,0.41,0.41,3.9,3.9,4.6,100,4.6,15.5,2818,0,
,N,Etheridge,CAR,G,0.4,0.36,3.8,3.6,3.8,100,4.5,5.6,-505,0,
~,~,~~~~~~~~,~~~~,~,~~~~,0.36,~~~,~~~~,~~~~,~~,~~~~~,~,~~~,~~,~~~~~~
,M,Ryan,BHA,G,0.35,0.35,3.6,3.6,2.4,100,4.6,5.8,-2243,-1,
,R,Patrício,WOL,G,0.33,0.33,3.5,3.5,1.4,94,4.6,9.2,-1088,0,
,M,Dubravka,NEW,G,0.32,0.32,3.6,3.6,1.8,94,5.0,0.6,-15,0,
,K,Schmeichel,LEI,G,0.28,0.3,3.4,3.5,4.0,100,5.0,5.0,-317,0,
,A,McCarthy,SOU,G,0.29,0.29,3.3,3.3,2.6,100,4.5,3.2,-438,0,
,J,Lössl,HUD,G,0.23,0.23,3.0,3.0,2.6,87,4.4,1.6,395,0,
,A,Begovic,BOU,G,0.22,0.22,3.0,3.0,1.8,100,4.5,4.0,-300,0,
,B,Foster,WAT,G,0.2,0.2,2.9,2.9,1.6,94,4.5,3.9,37,0,
,D,De Gea,MUN,G,0.16,0.16,2.9,2.9,2.8,100,5.7,15.3,-2046,0,
