O,I,web_name     ,team,T,VA/M ,VA/ML,pt ,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121213
x,M,Salah        ,LIV ,M,0.59 ,0.65 ,124,16,7.8,8.4 ,1186,74 ,9.9  ,56.4,81710  ,      
x,P,Coutinho     ,LIV ,M,0.57 ,0.66 ,64 ,9 ,7.1,7.9 ,672 ,75 ,9.0  ,11.3,32202  ,      
 ,P,Pogba        ,MUN ,M,0.63 ,0.63 ,56 ,8 ,7.0,7.0 ,682 ,85 ,7.9  ,9.8 ,-43769 ,      
 ,R,Sterling     ,MCI ,M,0.54 ,0.61 ,91 ,14,6.5,7.1 ,1026,73 ,8.3  ,19.6,29928  ,      
 ,K,De Bruyne    ,MCI ,M,0.37 ,0.37 ,93 ,16,5.8,5.8 ,1377,86 ,10.2 ,22.0,11543  ,      
 ,L,Sané         ,MCI ,M,0.43 ,0.49 ,85 ,15,5.7,6.3 ,1029,69 ,8.7  ,18.6,-59463 ,      
 ,A,Ramsey       ,ARS ,M,0.47 ,0.51 ,81 ,15,5.4,5.7 ,1196,80 ,7.2  ,7.5 ,-165790,      
x,E,Hazard       ,CHE ,M,0.31 ,0.49 ,70 ,13,5.4,7.3 ,807 ,62 ,10.9 ,15.1,18120  ,      
 ,D,David Silva  ,MCI ,M,0.42 ,0.46 ,86 ,16,5.4,5.7 ,1336,84 ,8.1  ,15.9,75388  ,      
 ,R,Mahrez       ,LEI ,M,0.39 ,0.41 ,84 ,16,5.3,5.5 ,1270,79 ,8.5  ,5.9 ,32694  ,      
 ,C,Eriksen      ,TOT ,M,0.35 ,0.35 ,85 ,16,5.3,5.3 ,1332,83 ,9.3  ,15.2,6043   ,      
 ,S,Mané         ,LIV ,M,0.33 ,0.48 ,51 ,10,5.1,6.5 ,690 ,69 ,9.4  ,8.0 ,-13314 ,      
x,P,Groß         ,BHA ,M,0.5  ,0.5  ,80 ,16,5.0,5.0 ,1323,83 ,6.0  ,20.0,-66096 ,      
 ,A,Sánchez      ,ARS ,M,0.24 ,0.3  ,62 ,13,4.8,5.5 ,974 ,75 ,11.8 ,2.8 ,-515   ,      
 ,R,Richarlison  ,WAT ,M,0.42 ,0.44 ,77 ,16,4.8,4.9 ,1368,86 ,6.6  ,20.6,4988   ,      
 ,X,Shaqiri      ,STK ,M,0.44 ,0.49 ,71 ,15,4.7,5.0 ,1243,83 ,6.1  ,9.2 ,28722  ,      
 ,B,Alli         ,TOT ,M,0.27 ,0.27 ,67 ,15,4.5,4.5 ,1296,86 ,9.1  ,13.2,-15536 ,      
 ,M,Özil         ,ARS ,M,0.26 ,0.32 ,57 ,13,4.4,5.0 ,1010,78 ,9.3  ,2.2 ,-3821  ,      
 ,H,Mkhitaryan   ,MUN ,M,0.31 ,0.4  ,53 ,12,4.4,5.1 ,804 ,67 ,7.7  ,7.4 ,-16323 ,      
 ,A,Young        ,MUN ,M,0.45 ,0.43 ,51 ,12,4.3,4.2 ,1067,89 ,5.1  ,5.8 ,40831  ,      
 ,A,Doucouré     ,WAT ,M,0.43 ,0.43 ,69 ,16,4.3,4.3 ,1440,90 ,5.4  ,15.9,-2182  ,      
 ,A,Surman       ,BOU ,M,0.44 ,0.44 ,62 ,15,4.1,4.1 ,1350,90 ,4.8  ,9.3 ,23055  ,      
 ,W,Zaha         ,CRY ,M,0.29 ,0.29 ,40 ,10,4.0,4.0 ,886 ,89 ,6.9  ,5.1 ,-106   ,      
 ,H,Son          ,TOT ,M,0.25 ,0.5  ,60 ,15,4.0,6.0 ,796 ,53 ,8.0  ,3.4 ,93097  ,      
 ,E,Choupo-Moting,STK ,M,0.34 ,0.37 ,62 ,16,3.9,4.1 ,1330,83 ,5.6  ,4.5 ,-13793 ,      
 ,R,Brady        ,BUR ,M,0.31 ,0.35 ,56 ,15,3.7,3.9 ,1277,85 ,5.5  ,0.9 ,-13954 ,      
 ,M,Ritchie      ,NEW ,M,0.3  ,0.3  ,59 ,16,3.7,3.7 ,1373,86 ,5.7  ,3.0 ,-5066  ,      
 ,S,Davis        ,SOU ,M,0.33 ,0.43 ,56 ,15,3.7,4.2 ,1130,75 ,5.1  ,4.0 ,-11676 ,      
 ,J,Stanislas    ,BOU ,M,0.27 ,0.27 ,25 ,7 ,3.6,3.6 ,535 ,76 ,5.9  ,0.1 ,-163   ,      
 ,N,Kanté        ,CHE ,M,0.31 ,0.31 ,45 ,13,3.5,3.5 ,1156,89 ,4.9  ,12.3,1463   ,      
 ,F,Fernandinho  ,MCI ,M,0.29 ,0.33 ,56 ,16,3.5,3.7 ,1324,83 ,5.2  ,7.0 ,-12526 ,      
 ,D,Tadic        ,SOU ,M,0.24 ,0.29 ,52 ,15,3.5,3.8 ,1183,79 ,6.3  ,1.9 ,6518   ,      
 ,S,Arfield      ,BUR ,M,0.29 ,0.57 ,31 ,9 ,3.4,4.8 ,645 ,72 ,4.9  ,0.2 ,3196   ,      
 ,J,Hendrick     ,BUR ,M,0.24 ,0.31 ,43 ,13,3.3,3.7 ,1012,78 ,5.4  ,0.3 ,-493   ,      
 ,J,Mata         ,MUN ,M,0.19 ,0.31 ,36 ,11,3.3,4.1 ,642 ,58 ,6.8  ,1.9 ,-901   ,      
 ,S,Field        ,WBA ,M,0.29 ,0.44 ,20 ,6 ,3.3,4.0 ,438 ,73 ,4.5  ,0.2 ,-229   ,      
 ,A,Mooy         ,HUD ,M,0.22 ,0.24 ,51 ,16,3.2,3.3 ,1348,84 ,5.4  ,5.8 ,-12027 ,      
 ,C,Atsu         ,NEW ,M,0.24 ,0.33 ,38 ,12,3.2,3.6 ,939 ,78 ,4.9  ,1.3 ,-2544  ,      
 ,G,Sigurdsson   ,EVE ,M,0.15 ,0.19 ,48 ,15,3.2,3.5 ,1209,81 ,8.0  ,2.4 ,1113   ,      
 ,C,Brunt        ,WBA ,M,0.24 ,0.35 ,19 ,6 ,3.2,3.8 ,410 ,68 ,5.1  ,0.6 ,-610   ,      
 ,G,Xhaka        ,ARS ,M,0.21 ,0.21 ,50 ,16,3.1,3.1 ,1364,85 ,5.3  ,8.4 ,-14788 ,      
 ,C,Fàbregas     ,CHE ,M,0.16 ,0.22 ,47 ,15,3.1,3.5 ,1136,76 ,6.9  ,4.6 ,-6532  ,      
 ,M,Albrighton   ,LEI ,M,0.2  ,0.33 ,49 ,16,3.1,3.8 ,1121,70 ,5.5  ,1.9 ,8964   ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~ ,~ ,3.1,~~~~,~~~ ,~~~,~~~~~,~   ,~~~    ,~~~~~~
x,R,Loftus-Cheek ,CRY ,M,0.22 ,0.26 ,36 ,12,3.0,3.2 ,990 ,82 ,4.6  ,8.0 ,1686   ,      
 ,J,Henderson    ,LIV ,M,0.18 ,0.22 ,42 ,14,3.0,3.2 ,1170,84 ,5.5  ,1.6 ,-1496  ,      
 ,E,Can          ,LIV ,M,0.21 ,0.29 ,36 ,12,3.0,3.4 ,905 ,75 ,4.8  ,4.5 ,-4663  ,      
 ,T,Cleverley    ,WAT ,M,0.2  ,0.2  ,48 ,16,3.0,3.0 ,1410,88 ,5.0  ,1.1 ,-1038  ,      
 ,M,Phillips     ,WBA ,M,0.18 ,0.22 ,39 ,13,3.0,3.2 ,801 ,62 ,5.5  ,0.5 ,-2434  ,      
 ,A,Iwobi        ,ARS ,M,0.18 ,0.29 ,23 ,8 ,2.9,3.5 ,474 ,59 ,5.1  ,0.5 ,-869   ,      
 ,A,Knockaert    ,BHA ,M,0.16 ,0.23 ,43 ,15,2.9,3.3 ,1066,71 ,5.7  ,0.7 ,-3113  ,      
 ,J,Gudmundsson  ,BUR ,M,0.18 ,0.32 ,44 ,15,2.9,3.6 ,1064,71 ,5.0  ,0.3 ,6445   ,      
 ,J,Cork         ,BUR ,M,0.2  ,0.2  ,46 ,16,2.9,2.9 ,1440,90 ,4.6  ,3.9 ,5106   ,      
 ,D,Gray         ,LEI ,M,0.17 ,0.49 ,43 ,15,2.9,4.6 ,746 ,50 ,5.3  ,1.5 ,20282  ,      
 ,F,Delph        ,MCI ,M,0.2  ,0.13 ,32 ,11,2.9,2.6 ,920 ,84 ,4.5  ,0.9 ,1026   ,      
 ,M,Lanzini      ,WHU ,M,0.13 ,0.19 ,32 ,11,2.9,3.3 ,858 ,78 ,6.8  ,0.6 ,2664   ,      
 ,T,Bakayoko     ,CHE ,M,0.18 ,0.32 ,40 ,14,2.9,3.6 ,985 ,70 ,5.0  ,2.4 ,-13135 ,      
 ,J,Jesé         ,STK ,M,0.16 ,0.24 ,26 ,9 ,2.9,3.3 ,482 ,54 ,5.5  ,2.5 ,-7148  ,      
 ,W,Ndidi        ,LEI ,M,0.16 ,0.16 ,45 ,16,2.8,2.8 ,1440,90 ,4.9  ,0.5 ,2236   ,      
 ,V,Iborra       ,LEI ,M,0.14 ,0.17 ,28 ,10,2.8,3.0 ,822 ,82 ,5.8  ,0.1 ,-118   ,      
 ,G,Wijnaldum    ,LIV ,M,0.12 ,0.18 ,37 ,13,2.8,3.2 ,1051,81 ,6.7  ,2.3 ,-2008  ,      
 ,D,Fletcher     ,STK ,M,0.16 ,0.16 ,45 ,16,2.8,2.8 ,1413,88 ,4.9  ,0.6 ,-296   ,      
 ,C,Kouyaté      ,WHU ,M,0.16 ,0.28 ,37 ,13,2.8,3.4 ,1006,77 ,5.0  ,0.3 ,-2953  ,      
 ,M,Antonio      ,WHU ,M,0.11 ,0.18 ,33 ,12,2.8,3.3 ,855 ,71 ,7.4  ,0.3 ,495    ,      
 ,N,Matic        ,MUN ,M,0.14 ,0.16 ,43 ,16,2.7,2.8 ,1403,88 ,4.9  ,10.0,-8705  ,      
 ,L,Milivojevic  ,CRY ,M,0.15 ,0.24 ,40 ,15,2.7,3.1 ,1189,79 ,4.6  ,0.5 ,7985   ,      
 ,N,Redmond      ,SOU ,M,0.12 ,0.08 ,40 ,15,2.7,2.5 ,1083,72 ,6.0  ,2.1 ,-1158  ,      
 ,A,Ayew         ,WHU ,M,0.1  ,0.19 ,38 ,14,2.7,3.3 ,716 ,51 ,6.8  ,1.1 ,-1037  ,      
 ,D,Pröpper      ,BHA ,M,0.13 ,0.13 ,43 ,16,2.7,2.7 ,1440,90 ,5.4  ,0.1 ,-255   ,      
 ,R,Fraser       ,BOU ,M,0.12 ,0.31 ,21 ,8 ,2.6,3.6 ,467 ,58 ,5.1  ,0.3 ,-426   ,      
 ,S,Defour       ,BUR ,M,0.11 ,0.11 ,41 ,16,2.6,2.6 ,1325,83 ,5.4  ,0.3 ,143    ,      
 ,Y,Cabaye       ,CRY ,M,0.11 ,0.19 ,34 ,13,2.6,3.0 ,1016,78 ,5.4  ,0.3 ,617    ,      
 ,T,Ince         ,HUD ,M,0.11 ,0.11 ,39 ,15,2.6,2.6 ,1337,89 ,5.6  ,0.5 ,-710   ,      
 ,M,Merino       ,NEW ,M,0.12 ,0.08 ,34 ,13,2.6,2.4 ,883 ,68 ,5.0  ,0.1 ,150    ,      
 ,G,Krychowiak   ,WBA ,M,0.12 ,0.26 ,26 ,10,2.6,3.3 ,729 ,73 ,5.0  ,0.2 ,-1000  ,      
 ,D,Stephens     ,BHA ,M,0.11 ,0.11 ,40 ,16,2.5,2.5 ,1440,90 ,4.5  ,1.5 ,-686   ,      
 ,A,Townsend     ,CRY ,M,0.09 ,0.11 ,40 ,16,2.5,2.6 ,1378,86 ,5.7  ,0.9 ,-1123  ,      
 ,J,Allen        ,STK ,M,0.1  ,0.1  ,38 ,15,2.5,2.5 ,1332,89 ,5.2  ,1.3 ,-969   ,      
 ,T,Carroll      ,SWA ,M,0.11 ,0.16 ,37 ,15,2.5,2.7 ,1218,81 ,4.4  ,4.5 ,-9295  ,      
 ,N,Chalobah     ,WAT ,M,0.09 ,0.09 ,12 ,5 ,2.4,2.4 ,429 ,86 ,4.3  ,0.9 ,-1622  ,      
 ,E,Kachunga     ,HUD ,M,0.07 ,0.1  ,36 ,15,2.4,2.6 ,1145,76 ,5.8  ,0.2 ,-195   ,      
 ,P,Obiang       ,WHU ,M,0.09 ,0.23 ,29 ,12,2.4,3.0 ,914 ,76 ,4.4  ,1.1 ,-582   ,      
 ,H,Arter        ,BOU ,M,0.06 ,0.12 ,23 ,10,2.3,2.6 ,787 ,79 ,4.9  ,0.4 ,-725   ,      
 ,G,Barry        ,WBA ,M,0.07 ,0.11 ,32 ,14,2.3,2.5 ,1125,80 ,4.5  ,1.1 ,-4523  ,      
 ,O,Oriol Romeu  ,SOU ,M,0.07 ,0.07 ,34 ,15,2.3,2.3 ,1304,87 ,4.4  ,2.6 ,-460   ,      
 ,S,Boufal       ,SOU ,M,0.05 ,0.0  ,28 ,12,2.3,2.0 ,605 ,50 ,5.7  ,0.2 ,-316   ,      
 ,S,Clucas       ,SWA ,M,0.06 ,0.18 ,23 ,10,2.3,2.9 ,654 ,65 ,4.9  ,0.0 ,-120   ,      
 ,S,March        ,BHA ,M,0.04 ,0.22 ,35 ,16,2.2,3.1 ,890 ,56 ,5.0  ,0.3 ,-856   ,      
 ,J,Livermore    ,WBA ,M,0.04 ,0.08 ,33 ,15,2.2,2.4 ,1240,83 ,4.9  ,0.2 ,-242   ,      
 ,A,Lennon       ,EVE ,M,0.02 ,0.09 ,17 ,8 ,2.1,2.5 ,425 ,53 ,5.4  ,0.1 ,-6     ,      
 ,E,Dier         ,TOT ,M,0.02 ,0.04 ,34 ,16,2.1,2.2 ,1336,84 ,4.8  ,2.6 ,-2949  ,      
 ,J,Ibe          ,BOU ,M,0.0  ,0.04 ,30 ,15,2.0,2.2 ,756 ,50 ,4.9  ,0.4 ,-928   ,      
 ,J,McArthur     ,CRY ,M,0.0  ,0.21 ,24 ,12,2.0,2.9 ,706 ,59 ,4.3  ,2.5 ,9963   ,      
 ,M,Noble        ,WHU ,M,0.0  ,0.0  ,18 ,9 ,2.0,2.0 ,701 ,78 ,5.3  ,0.1 ,5      ,      
 ,M,Lemina       ,SOU ,M,0.0  ,0.08 ,20 ,10,2.0,2.4 ,690 ,69 ,4.9  ,0.1 ,-259   ,      
