W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf,120818
m,L,Sané           ,MCI ,M,0.41 ,0.75 ,5.9,9.1 ,6.6 ,57 ,9.5  ,13.3,4775  ,1 ,      
o,R,Sterling       ,MCI ,M,0.53 ,0.58 ,8.2,8.7 ,5.8 ,77 ,11.6 ,21.6,-1430 ,0 ,      
 ,E,Hazard         ,CHE ,M,0.45 ,0.5  ,6.9,7.5 ,4.8 ,79 ,10.9 ,33.9,2641  ,0 ,      
 ,R,Mahrez         ,MCI ,M,0.26 ,0.59 ,4.2,7.0 ,4.4 ,52 ,8.5  ,3.1 ,1186  ,1 ,      
 ,M,Salah          ,LIV ,M,0.38 ,0.38 ,6.9,6.9 ,8.8 ,91 ,13.0 ,35.0,25070 ,1 ,      
 ,I,Gündogan       ,MCI ,M,0.46 ,0.83 ,4.5,6.5 ,4.2 ,39 ,5.4  ,2.4 ,-565  ,0 ,      
o,R,Richarlison    ,EVE ,M,0.52 ,0.61 ,5.7,6.3 ,3.6 ,77 ,7.1  ,33.1,-4584 ,0 ,      
m,S,Mané           ,LIV ,M,0.39 ,0.43 ,5.8,6.2 ,3.2 ,82 ,9.7  ,22.9,-20517,-2,      
 ,D,David Silva    ,MCI ,M,0.36 ,0.44 ,5.1,5.8 ,4.8 ,75 ,8.7  ,11.1,-11436,-2,      
o,R,Fraser         ,BOU ,M,0.56 ,0.56 ,5.5,5.5 ,4.8 ,94 ,6.3  ,28.2,7074  ,0 ,      
 ,G,Sigurdsson     ,EVE ,M,0.41 ,0.45 ,5.1,5.4 ,3.6 ,87 ,7.5  ,8.9 ,-5145 ,-1,      
 ,S,Armstrong      ,SOU ,M,0.16 ,0.67 ,2.8,5.4 ,5.4 ,39 ,5.1  ,1.0 ,23    ,0 ,      
 ,J,Milner         ,LIV ,M,0.34 ,0.59 ,3.9,5.3 ,3.0 ,68 ,5.6  ,4.6 ,373   ,0 ,      
 ,J,Maddison       ,LEI ,M,0.37 ,0.47 ,4.5,5.2 ,3.6 ,82 ,6.8  ,6.1 ,1458  ,0 ,      
 ,A,Herrera        ,MUN ,M,0.16 ,0.64 ,2.8,5.2 ,4.2 ,32 ,5.0  ,0.3 ,124   ,1 ,      
m,B,Alli           ,TOT ,M,0.27 ,0.35 ,4.4,5.1 ,5.4 ,51 ,8.9  ,3.4 ,290   ,0 ,      
 ,X,Shaqiri        ,LIV ,M,0.31 ,0.43 ,4.2,5.0 ,4.8 ,42 ,7.0  ,3.4 ,-1439 ,-1,      
o,H,Son            ,TOT ,M,0.31 ,0.36 ,4.6,5.0 ,7.2 ,45 ,8.4  ,4.4 ,13770 ,5 ,      
o,F,Felipe Anderson,WHU ,M,0.4  ,0.42 ,4.9,5.0 ,7.0 ,92 ,7.2  ,14.3,26329 ,3 ,      
 ,B,Bernardo Silva ,MCI ,M,0.33 ,0.39 ,4.5,4.9 ,4.4 ,85 ,7.5  ,6.9 ,2017  ,0 ,      
 ,L,Lucas Moura    ,TOT ,M,0.36 ,0.41 ,4.5,4.9 ,3.0 ,80 ,7.0  ,10.1,-675  ,0 ,      
 ,C,Eriksen        ,TOT ,M,0.16 ,0.28 ,3.5,4.6 ,4.6 ,60 ,9.3  ,6.0 ,-302  ,0 ,      
 ,J,Gudmundsson    ,BUR ,M,0.37 ,0.42 ,4.2,4.5 ,2.0 ,79 ,5.9  ,2.7 ,-1495 ,-1,      
 ,R,Pereyra        ,WAT ,M,0.37 ,0.4  ,4.3,4.5 ,1.4 ,88 ,6.3  ,14.8,-5206 ,-1,      
 ,C,Paterson       ,CAR ,M,0.34 ,0.42 ,3.8,4.2 ,5.2 ,72 ,5.3  ,1.4 ,800   ,1 ,      
 ,T,Walcott        ,EVE ,M,0.27 ,0.33 ,3.7,4.1 ,2.6 ,79 ,6.3  ,4.3 ,-1868 ,-1,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.86,~~~~,~~ ,~~~~~,~   ,~~~   ,~~,~~~~~~
 ,A,Schürrle       ,FUL ,M,0.28 ,0.31 ,3.6,3.8 ,2.2 ,76 ,5.8  ,4.2 ,-1460 ,-1,      
 ,P,Pogba          ,MUN ,M,0.2  ,0.23 ,3.6,3.8 ,1.0 ,79 ,7.9  ,10.2,-5538 ,-1,      
m,R,Snodgrass      ,WHU ,M,0.09 ,0.32 ,2.5,3.7 ,5.0 ,63 ,5.3  ,0.9 ,3851  ,7 ,      
 ,L,Torreira       ,ARS ,M,0.24 ,0.32 ,3.2,3.6 ,5.4 ,79 ,5.0  ,4.4 ,28068 ,11,      
 ,A,Knockaert      ,BHA ,M,0.18 ,0.29 ,3.0,3.6 ,2.2 ,68 ,5.5  ,0.9 ,-495  ,-1,      
 ,D,Brooks         ,BOU ,M,0.25 ,0.29 ,3.3,3.5 ,2.4 ,71 ,5.2  ,3.1 ,-1554 ,-1,      
 ,W,Willian        ,CHE ,M,0.23 ,0.21 ,3.7,3.5 ,2.0 ,68 ,7.3  ,5.2 ,-924  ,0 ,      
 ,A,Doucouré       ,WAT ,M,0.25 ,0.25 ,3.5,3.5 ,2.8 ,94 ,5.9  ,1.5 ,251   ,0 ,      
 ,S,March          ,BHA ,M,0.25 ,0.27 ,3.3,3.4 ,4.0 ,82 ,5.1  ,1.5 ,-988  ,-1,      
 ,G,Wijnaldum      ,LIV ,M,0.22 ,0.25 ,3.2,3.4 ,2.4 ,88 ,5.5  ,1.3 ,-574  ,-1,      
 ,F,Fernandinho    ,MCI ,M,0.24 ,0.24 ,3.3,3.3 ,2.2 ,98 ,5.4  ,5.3 ,-841  ,0 ,      
 ,A,Townsend       ,CRY ,M,0.23 ,0.21 ,3.3,3.2 ,4.6 ,97 ,5.7  ,2.1 ,-852  ,-1,      
 ,L,Milivojevic    ,CRY ,M,0.22 ,0.2  ,3.3,3.2 ,3.6 ,100,6.0  ,2.8 ,-183  ,0 ,      
 ,R,Sessegnon      ,FUL ,M,0.13 ,0.2  ,2.8,3.2 ,3.2 ,86 ,6.0  ,2.5 ,-413  ,0 ,      
 ,G,Xhaka          ,ARS ,M,0.17 ,0.21 ,2.9,3.1 ,2.0 ,89 ,5.3  ,3.0 ,-476  ,0 ,      
 ,J,McArthur       ,CRY ,M,0.28 ,0.23 ,3.3,3.1 ,5.4 ,89 ,4.7  ,1.6 ,3795  ,4 ,      
 ,R,Kenedy         ,NEW ,M,0.16 ,0.22 ,2.8,3.1 ,2.0 ,70 ,4.9  ,1.5 ,-616  ,-1,      
 ,E,Dier           ,TOT ,M,0.21 ,0.23 ,3.0,3.1 ,2.6 ,78 ,4.8  ,1.8 ,31    ,0 ,      
 ,E,Capoue         ,WAT ,M,0.22 ,0.22 ,3.1,3.1 ,0.2 ,81 ,5.0  ,0.8 ,-1304 ,-3,      
 ,A,Lennon         ,BUR ,M,0.12 ,0.2  ,2.6,3.0 ,1.6 ,78 ,5.0  ,0.8 ,-512  ,-1,      
 ,N,Kanté          ,CHE ,M,0.29 ,0.2  ,3.4,3.0 ,4.2 ,99 ,4.9  ,16.2,3879  ,0 ,      
 ,J,Seri           ,FUL ,M,0.15 ,0.19 ,2.8,3.0 ,1.6 ,87 ,5.2  ,2.1 ,-753  ,-1,      
 ,R,Neves          ,WOL ,M,0.2  ,0.2  ,3.0,3.0 ,0.8 ,88 ,5.0  ,13.8,-3256 ,0 ,      
 ,J,Moutinho       ,WOL ,M,0.17 ,0.19 ,2.9,3.0 ,1.2 ,87 ,5.3  ,2.6 ,-875  ,-1,      
 ,A,Mooy           ,HUD ,M,0.18 ,0.18 ,2.9,2.9 ,4.6 ,92 ,5.1  ,2.0 ,-57   ,0 ,      
 ,W,Hughes         ,WAT ,M,0.1  ,0.18 ,2.5,2.9 ,1.2 ,79 ,5.0  ,1.0 ,-789  ,-1,      
 ,J,Jorginho       ,CHE ,M,0.14 ,0.16 ,2.7,2.8 ,1.6 ,90 ,4.9  ,7.8 ,-2515 ,-1,      
 ,W,Ndidi          ,LEI ,M,0.12 ,0.16 ,2.6,2.8 ,2.0 ,98 ,4.9  ,0.9 ,-386  ,-1,      
 ,V,Camarasa       ,CAR ,M,0.15 ,0.15 ,2.7,2.7 ,2.0 ,91 ,4.6  ,1.7 ,-549  ,-1,      
 ,A,Pritchard      ,HUD ,M,0.06 ,0.15 ,2.3,2.7 ,3.0 ,66 ,4.8  ,0.1 ,-7    ,0 ,      
 ,P,Højbjerg       ,SOU ,M,0.16 ,0.16 ,2.7,2.7 ,1.4 ,80 ,4.4  ,4.1 ,-360  ,0 ,      
 ,J,Cork           ,BUR ,M,0.13 ,0.13 ,2.6,2.6 ,4.0 ,92 ,4.6  ,0.4 ,406   ,2 ,      
 ,J,Hogg           ,HUD ,M,0.07 ,0.11 ,2.3,2.5 ,3.0 ,69 ,4.4  ,0.5 ,-293  ,-1,      
 ,N,Mendy          ,LEI ,M,0.09 ,0.11 ,2.4,2.5 ,2.2 ,85 ,4.5  ,1.3 ,-23   ,0 ,      
 ,M,Ritchie        ,NEW ,M,0.05 ,0.09 ,2.3,2.5 ,1.2 ,71 ,5.8  ,0.4 ,-29   ,0 ,      
 ,P,Billing        ,HUD ,M,0.09 ,0.09 ,2.4,2.4 ,1.6 ,90 ,4.5  ,2.0 ,-1810 ,-2,      
 ,M,Lemina         ,SOU ,M,0.08 ,0.08 ,2.4,2.4 ,2.2 ,92 ,4.8  ,0.2 ,-2    ,0 ,      
 ,A,Masuaku        ,WHU ,M,0.02 ,0.07 ,2.1,2.3 ,1.8 ,68 ,4.3  ,1.9 ,1018  ,1 ,      
 ,N,Redmond        ,SOU ,M,0.06 ,0.04 ,2.3,2.2 ,2.0 ,99 ,5.2  ,0.3 ,-91   ,-1,      
 ,H,Costa          ,WOL ,M,0.0  ,0.04 ,2.0,2.2 ,1.4 ,71 ,4.8  ,0.5 ,-83   ,0 ,      
 ,I,Gueye          ,EVE ,M,0.02 ,0.02 ,2.1,2.1 ,2.0 ,87 ,4.8  ,0.3 ,-36   ,0 ,      
 ,M,Diamé          ,NEW ,M,0.02 ,0.02 ,2.1,2.1 ,1.4 ,92 ,4.9  ,0.1 ,-10   ,0 ,      
 ,J,Lerma          ,BOU ,M,0.11 ,0.0  ,2.5,2.0 ,2.0 ,71 ,4.5  ,0.4 ,-1    ,0 ,      
 ,D,Pröpper        ,BHA ,M,0.0  ,0.0  ,2.0,2.0 ,1.6 ,73 ,4.8  ,0.1 ,2     ,0 ,      
 ,H,Arter          ,CAR ,M,-0.04,-0.04,1.8,1.8 ,1.8 ,75 ,4.9  ,0.2 ,-11   ,0 ,      
 ,J,Ralls          ,CAR ,M,-0.11,-0.04,1.5,1.8 ,1.2 ,69 ,4.7  ,0.1 ,-9    ,0 ,      
 ,N,Matic          ,MUN ,M,-0.06,-0.06,1.7,1.7 ,2.0 ,79 ,5.0  ,0.6 ,-102  ,0 ,      
