O,I,web_name        ,team,T,VA/M ,VA/ML,pt ,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,D,David Silva     ,MCI ,M,0.49 ,0.52 ,102,17,6.0,6.3 ,1426,84 ,8.2  ,19.9,214722 ,      
 ,W,Rooney          ,EVE ,F,0.43 ,0.47 ,78 ,15,5.2,5.5 ,1144,76 ,7.5  ,16.9,201969 ,      
 ,R,Mahrez          ,LEI ,M,0.4  ,0.43 ,92 ,17,5.4,5.7 ,1341,79 ,8.6  ,8.2 ,124363 ,      
 ,S,Okazaki         ,LEI ,F,0.39 ,0.67 ,57 ,14,4.1,5.6 ,704 ,50 ,5.4  ,5.5 ,92183  ,      
 ,J,Tarkowski       ,BUR ,D,0.34 ,0.34 ,62 ,17,3.6,3.6 ,1530,90 ,4.7  ,5.3 ,89762  ,      
 ,P,Jones           ,MUN ,D,0.67 ,0.74 ,67 ,12,5.6,6.0 ,983 ,82 ,5.4  ,8.0 ,79951  ,      
x,N,Otamendi        ,MCI ,D,0.56 ,0.56 ,86 ,16,5.4,5.4 ,1420,89 ,6.1  ,23.0,77541  ,      
 ,J,Vardy           ,LEI ,F,0.29 ,0.29 ,76 ,17,4.5,4.5 ,1482,87 ,8.7  ,17.9,62782  ,      
 ,W,Willian         ,CHE ,M,0.2  ,0.36 ,56 ,17,3.3,4.4 ,801 ,47 ,6.6  ,6.8 ,59848  ,      
 ,N,Monreal         ,ARS ,D,0.46 ,0.46 ,79 ,17,4.6,4.6 ,1530,90 ,5.7  ,14.0,49697  ,      
 ,D,de Gea          ,MUN ,G,0.61 ,0.61 ,96 ,17,5.6,5.6 ,1530,90 ,5.9  ,43.7,42594  ,      
 ,K,Long            ,BUR ,D,1.41 ,1.41 ,15 ,2 ,7.5,7.5 ,180 ,90 ,3.9  ,4.1 ,42316  ,      
x,N,Pope            ,BUR ,G,0.72 ,0.72 ,76 ,14,5.4,5.4 ,1224,87 ,4.7  ,5.8 ,40286  ,      
 ,J,Kenny           ,EVE ,D,0.18 ,0.23 ,28 ,10,2.8,3.0 ,824 ,82 ,4.4  ,2.4 ,39666  ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.25 ,0.36 ,56 ,17,3.3,3.9 ,1218,72 ,5.3  ,9.9 ,38504  ,      
 ,H,Maguire         ,LEI ,D,0.36 ,0.36 ,67 ,17,3.9,3.9 ,1530,90 ,5.3  ,9.4 ,38053  ,      
 ,A,Lacazette       ,ARS ,F,0.18 ,0.22 ,67 ,17,3.9,4.3 ,1108,65 ,10.4 ,10.8,36480  ,      
 ,R,Lukaku          ,MUN ,F,0.27 ,0.27 ,86 ,17,5.1,5.1 ,1530,90 ,11.3 ,33.0,33625  ,      
 ,A,Valencia        ,MUN ,D,0.46 ,0.46 ,87 ,17,5.1,5.1 ,1530,90 ,6.8  ,17.3,33611  ,      
x,M,Salah           ,LIV ,M,0.55 ,0.6  ,127,17,7.5,8.0 ,1276,75 ,10.0 ,57.1,32623  ,      
 ,A,Ogbonna         ,WHU ,D,0.09 ,0.09 ,29 ,12,2.4,2.4 ,1080,90 ,4.3  ,1.7 ,32598  ,      
 ,X,Shaqiri         ,STK ,M,0.42 ,0.47 ,74 ,16,4.6,4.9 ,1326,83 ,6.2  ,9.8 ,30546  ,      
 ,K,De Bruyne       ,MCI ,M,0.4  ,0.4  ,103,17,6.1,6.1 ,1453,85 ,10.2 ,22.5,29489  ,      
x,A,Christensen     ,CHE ,D,0.25 ,0.32 ,44 ,13,3.4,3.8 ,953 ,73 ,5.6  ,3.9 ,22342  ,      
 ,R,Sterling        ,MCI ,M,0.57 ,0.63 ,100,15,6.7,7.2 ,1116,74 ,8.3  ,20.0,17456  ,      
 ,C,Kabasele        ,WAT ,D,0.22 ,0.24 ,48 ,16,3.0,3.1 ,1319,82 ,4.6  ,2.5 ,16906  ,      
 ,A,Williams        ,EVE ,D,0.19 ,0.27 ,42 ,14,3.0,3.4 ,1113,80 ,5.2  ,2.7 ,16755  ,      
 ,J,McArthur        ,CRY ,M,0.12 ,0.21 ,33 ,13,2.5,2.9 ,719 ,55 ,4.3  ,2.8 ,14105  ,      
 ,M,Holgate         ,EVE ,D,0.31 ,0.29 ,26 ,8 ,3.3,3.2 ,720 ,90 ,4.2  ,1.4 ,14061  ,      
x,E,Hazard          ,CHE ,M,0.29 ,0.45 ,73 ,14,5.2,6.9 ,875 ,62 ,10.9 ,15.4,14054  ,      
 ,L,Koscielny       ,ARS ,D,0.35 ,0.35 ,57 ,14,4.1,4.1 ,1254,90 ,6.0  ,1.7 ,12657  ,      
 ,J,Pickford        ,EVE ,G,0.35 ,0.35 ,63 ,17,3.7,3.7 ,1530,90 ,4.8  ,6.5 ,12338  ,      
 ,C,Smalling        ,MUN ,D,0.33 ,0.39 ,46 ,12,3.8,4.1 ,1005,84 ,5.4  ,4.5 ,11590  ,      
