O,I,web_name        ,team,T,VA/M ,VA/ML,pt,g ,p/g,p/gl,min ,m/g,price,%   ,txn    ,121517
 ,K,Long            ,BUR ,D,1.41 ,1.41 ,15,2 ,7.5,7.5 ,180 ,90 ,3.9  ,4.1 ,42316  ,      
x,S,Mustafi         ,ARS ,D,0.74 ,0.89 ,54,9 ,6.0,6.8 ,734 ,82 ,5.4  ,2.3 ,-11246 ,      
 ,M,Zeegelaar       ,WAT ,D,0.5  ,0.86 ,21,5 ,4.2,5.8 ,398 ,80 ,4.4  ,0.8 ,-9784  ,      
 ,D,Blind           ,MUN ,D,0.54 ,0.77 ,19,4 ,4.8,6.0 ,271 ,68 ,5.2  ,1.0 ,-657   ,      
 ,D,Danilo          ,MCI ,D,0.4  ,0.76 ,32,8 ,4.0,5.8 ,469 ,59 ,5.0  ,1.8 ,-69    ,      
 ,P,Jones           ,MUN ,D,0.67 ,0.74 ,67,12,5.6,6.0 ,983 ,82 ,5.4  ,8.0 ,79951  ,      
 ,E,Bailly          ,MUN ,D,0.63 ,0.63 ,46,8 ,5.8,5.8 ,720 ,90 ,6.0  ,6.8 ,-13645 ,      
 ,B,Davies          ,TOT ,D,0.5  ,0.62 ,63,13,4.8,5.5 ,981 ,75 ,5.6  ,14.7,-47083 ,      
 ,B,Mendy           ,MCI ,D,0.37 ,0.59 ,17,4 ,4.3,5.7 ,298 ,74 ,6.3  ,0.4 ,-119   ,      
 ,K,Trippier        ,TOT ,D,0.5  ,0.57 ,58,12,4.8,5.2 ,993 ,83 ,5.6  ,7.0 ,-39878 ,      
x,N,Otamendi        ,MCI ,D,0.56 ,0.56 ,86,16,5.4,5.4 ,1420,89 ,6.1  ,23.0,77541  ,      
 ,M,Yoshida         ,SOU ,D,0.48 ,0.54 ,56,13,4.3,4.6 ,1084,83 ,4.8  ,3.1 ,-1209  ,      
 ,J,Gomez           ,LIV ,D,0.4  ,0.53 ,51,13,3.9,4.5 ,1001,77 ,4.7  ,5.8 ,-6852  ,      
 ,S,Ward            ,BUR ,D,0.48 ,0.52 ,76,17,4.5,4.7 ,1470,86 ,5.2  ,22.9,-138960,      
 ,S,Kolasinac       ,ARS ,D,0.5  ,0.5  ,76,15,5.1,5.1 ,1297,86 ,6.2  ,15.5,-8851  ,      
 ,A,Robertson       ,LIV ,D,0.48 ,0.48 ,21,5 ,4.2,4.2 ,450 ,90 ,4.6  ,0.9 ,1002   ,      
 ,R,Klavan          ,LIV ,D,0.47 ,0.47 ,36,9 ,4.0,4.0 ,810 ,90 ,4.3  ,1.3 ,8612   ,      
 ,M,Sakho           ,CRY ,D,0.41 ,0.47 ,40,10,4.0,4.3 ,834 ,83 ,4.9  ,1.1 ,-19216 ,      
 ,N,Monreal         ,ARS ,D,0.46 ,0.46 ,79,17,4.6,4.6 ,1530,90 ,5.7  ,14.0,49697  ,      
 ,M,Lowton          ,BUR ,D,0.46 ,0.46 ,53,13,4.1,4.1 ,1170,90 ,4.6  ,2.7 ,-8118  ,      
 ,A,Valencia        ,MUN ,D,0.46 ,0.46 ,87,17,5.1,5.1 ,1530,90 ,6.8  ,17.3,33611  ,      
 ,J,Fonte           ,WHU ,D,0.48 ,0.46 ,34,8 ,4.3,4.2 ,688 ,86 ,4.8  ,1.0 ,-1489  ,      
 ,C,Azpilicueta     ,CHE ,D,0.45 ,0.45 ,82,16,5.1,5.1 ,1440,90 ,6.9  ,21.6,-12915 ,      
 ,J,Stones          ,MCI ,D,0.33 ,0.44 ,46,12,3.8,4.4 ,884 ,74 ,5.5  ,3.6 ,-7023  ,      
 ,V,Moses           ,CHE ,D,0.23 ,0.41 ,35,10,3.5,4.6 ,700 ,70 ,6.4  ,0.9 ,266    ,      
 ,A,Rüdiger         ,CHE ,D,0.36 ,0.41 ,49,12,4.1,4.4 ,1014,84 ,5.8  ,2.1 ,-479   ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.41 ,64,15,4.3,4.7 ,1303,87 ,6.6  ,13.8,-28161 ,      
 ,C,Smalling        ,MUN ,D,0.33 ,0.39 ,46,12,3.8,4.1 ,1005,84 ,5.4  ,4.5 ,11590  ,      
x,J,Lascelles       ,NEW ,D,0.39 ,0.39 ,46,12,3.8,3.8 ,1037,86 ,4.6  ,5.7 ,-7680  ,      
 ,D,Zappacosta      ,CHE ,D,0.27 ,0.39 ,32,9 ,3.6,4.3 ,534 ,59 ,5.9  ,0.4 ,-2625  ,      
 ,A,Moreno          ,LIV ,D,0.37 ,0.37 ,44,12,3.7,3.7 ,1080,90 ,4.6  ,3.0 ,-27336 ,      
 ,B,Mee             ,BUR ,D,0.36 ,0.36 ,56,15,3.7,3.7 ,1350,90 ,4.7  ,11.8,-31679 ,      
 ,M,Alonso          ,CHE ,D,0.36 ,0.36 ,76,17,4.5,4.5 ,1439,85 ,6.9  ,15.5,11268  ,      
 ,H,Maguire         ,LEI ,D,0.36 ,0.36 ,67,17,3.9,3.9 ,1530,90 ,5.3  ,9.4 ,38053  ,      
 ,L,Koscielny       ,ARS ,D,0.35 ,0.35 ,57,14,4.1,4.1 ,1254,90 ,6.0  ,1.7 ,12657  ,      
 ,P,Bardsley        ,BUR ,D,0.35 ,0.35 ,14,4 ,3.5,3.5 ,360 ,90 ,4.3  ,0.2 ,1501   ,      
 ,F,Kiko Femenía    ,WAT ,D,0.3  ,0.35 ,51,15,3.4,3.6 ,1214,81 ,4.6  ,4.9 ,-33008 ,      
 ,J,Tarkowski       ,BUR ,D,0.34 ,0.34 ,62,17,3.6,3.6 ,1530,90 ,4.7  ,5.3 ,89762  ,      
 ,M,van der Hoorn   ,SWA ,D,0.27 ,0.34 ,29,9 ,3.2,3.5 ,729 ,81 ,4.4  ,0.2 ,-145   ,      
 ,S,Aurier          ,TOT ,D,0.27 ,0.34 ,25,7 ,3.6,4.0 ,546 ,78 ,5.9  ,0.3 ,1661   ,      
 ,C,Löwe            ,HUD ,D,0.22 ,0.33 ,45,15,3.0,3.5 ,1033,69 ,4.5  ,2.8 ,-3330  ,      
x,K,Naughton        ,SWA ,D,0.33 ,0.33 ,59,17,3.5,3.5 ,1527,90 ,4.6  ,6.1 ,-3057  ,      
x,A,Christensen     ,CHE ,D,0.25 ,0.32 ,44,13,3.4,3.8 ,953 ,73 ,5.6  ,3.9 ,22342  ,      
 ,P,Mertesacker     ,ARS ,D,0.31 ,0.31 ,14,4 ,3.5,3.5 ,333 ,83 ,4.8  ,0.5 ,-423   ,      
 ,J,Matip           ,LIV ,D,0.31 ,0.31 ,48,13,3.7,3.7 ,1170,90 ,5.4  ,2.0 ,-5156  ,      
