W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%   ,txn   ,gf ,122112
o,C,Wilson    ,BOU ,F,0.55,0.59 ,5.8,6.1 ,4.2 ,88,6.9  ,36.4,35735 ,2  ,      
 ,A,Lacazette ,ARS ,F,0.29,0.42 ,4.8,6.0 ,3.2 ,69,9.6  ,9.6 ,-40850,-7 ,      
m,J,Chicharito,WHU ,F,0.26,0.62 ,3.7,6.0 ,6.0 ,42,6.5  ,7.8 ,32347 ,7  ,      
 ,G,Jesus     ,MCI ,F,0.09,0.36 ,2.9,5.6 ,5.0 ,39,10.1 ,2.0 ,20716 ,17 ,      
o,H,Kane      ,TOT ,F,0.27,0.29 ,5.4,5.6 ,6.0 ,95,12.6 ,29.7,-78953,-4 ,      
 ,S,Rondón    ,NEW ,F,0.36,0.53 ,4.1,5.1 ,5.0 ,53,5.9  ,3.9 ,45503 ,19 ,      
m,D,Ings      ,SOU ,F,0.51,0.55 ,4.8,5.0 ,2.6 ,58,5.5  ,5.1 ,130249,43 ,      
m,R,Jiménez   ,WOL ,F,0.45,0.48 ,4.8,5.0 ,5.0 ,89,6.2  ,19.4,14986 ,1  ,      
o,P,Aubameyang,ARS ,F,0.34,0.25 ,5.9,4.9 ,6.6 ,85,11.5 ,36.1,-47929,-2 ,      
 ,M,Arnautovic,WHU ,F,0.36,0.42 ,4.5,4.9 ,1.4 ,66,6.9  ,7.2 ,-47451,-11,      
 ,G,Murray    ,BHA ,F,0.32,0.42 ,4.1,4.8 ,3.6 ,73,6.6  ,4.2 ,-23440,-9 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,~~~~~,~~~,4.74,~~~~,~~,~~~~~,~   ,~~~   ,~~ ,~~~~~~
m,A,Mitrovic  ,FUL ,F,0.35,0.38 ,4.4,4.6 ,4.6 ,97,6.8  ,20.1,-70294,-6 ,      
 ,R,Lukaku    ,MUN ,F,0.17,0.23 ,3.8,4.5 ,3.8 ,77,10.7 ,4.4 ,-1417 ,-1 ,      
 ,R,Firmino   ,LIV ,F,0.25,0.25 ,4.3,4.3 ,6.4 ,84,9.2  ,17.1,-4689 ,0  ,      
 ,J,King      ,BOU ,F,0.35,0.35 ,4.2,4.2 ,3.0 ,79,6.3  ,3.0 ,-3896 ,-2 ,      
m,M,Rashford  ,MUN ,F,0.2 ,0.32 ,3.4,4.2 ,5.2 ,55,6.9  ,9.7 ,95173 ,16 ,      
 ,W,Zaha      ,CRY ,F,0.21,0.21 ,3.4,3.4 ,1.8 ,82,6.7  ,11.4,-19770,-3 ,      
 ,T,Deeney    ,WAT ,F,0.16,0.21 ,2.9,3.2 ,1.8 ,75,5.8  ,2.6 ,-7790 ,-5 ,      
 ,A,Pérez     ,NEW ,F,0.13,0.11 ,2.8,2.7 ,3.2 ,81,6.1  ,1.3 ,-2143 ,-3 ,      
