W,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf ,122112
 ,A,Alisson   ,LIV ,G,0.5 ,0.5  ,4.9,4.9 ,5.2 ,100,5.8  ,21.8,22391 ,2  ,      
m,H,Lloris    ,TOT ,G,0.48,0.48 ,4.6,4.6 ,3.6 ,76 ,5.4  ,4.5 ,-1019 ,0  ,      
o,L,Fabianski ,WHU ,G,0.47,0.47 ,4.2,4.2 ,5.4 ,100,4.7  ,17.3,83631 ,8  ,      
o,W,Hennessey ,CRY ,G,0.44,0.44 ,4.0,4.0 ,3.8 ,94 ,4.5  ,5.9 ,-45066,-13,      
m,E,Ederson   ,MCI ,G,0.43,0.43 ,4.5,4.5 ,2.8 ,100,5.8  ,25.6,-13924,-1 ,      
 ,J,Hart      ,BUR ,G,0.42,0.42 ,3.9,3.9 ,3.2 ,100,4.5  ,8.7 ,2118  ,0  ,      
 ,J,Pickford  ,EVE ,G,0.42,0.42 ,4.1,4.1 ,2.8 ,100,5.0  ,15.0,-14840,-2 ,      
m,K,Kepa      ,CHE ,G,0.39,0.39 ,4.2,4.2 ,4.2 ,100,5.6  ,5.9 ,903   ,0  ,      
 ,R,Patrício  ,WOL ,G,0.37,0.37 ,3.7,3.7 ,3.0 ,100,4.6  ,8.9 ,-8275 ,-2 ,      
 ,N,Etheridge ,CAR ,G,0.36,0.36 ,3.6,3.6 ,3.8 ,100,4.5  ,5.4 ,-4538 ,-1 ,      
 ,M,Dubravka  ,NEW ,G,0.36,0.36 ,3.8,3.8 ,3.4 ,100,5.0  ,0.6 ,2681  ,7  ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.35 ,~~~,~~~~,~~~~,~~ ,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,M,Ryan      ,BHA ,G,0.33,0.33 ,3.5,3.5 ,2.2 ,100,4.5  ,5.3 ,-11246,-4 ,      
 ,A,McCarthy  ,SOU ,G,0.27,0.27 ,3.2,3.2 ,1.8 ,100,4.5  ,3.1 ,-423  ,0  ,      
 ,K,Schmeichel,LEI ,G,0.26,0.26 ,3.3,3.3 ,3.2 ,100,5.0  ,4.8 ,-8293 ,-3 ,      
 ,B,Foster    ,WAT ,G,0.24,0.24 ,3.1,3.1 ,3.0 ,100,4.5  ,4.0 ,-4182 ,-2 ,      
 ,J,Lössl     ,HUD ,G,0.23,0.23 ,3.0,3.0 ,2.8 ,87 ,4.4  ,1.7 ,2254  ,2  ,      
 ,A,Begovic   ,BOU ,G,0.2 ,0.2  ,2.9,2.9 ,1.6 ,100,4.5  ,3.9 ,-176  ,0  ,      
 ,D,De Gea    ,MUN ,G,0.16,0.16 ,2.9,2.9 ,3.2 ,100,5.7  ,14.8,-6191 ,-1 ,      
