W,I,web_name       ,team,T,VA/M ,VA/ML,p/g,p/gl,form,m% ,price,%   ,txn   ,gf ,122112
m,L,Sané           ,MCI ,M,0.42 ,0.74 ,6.1,9.2 ,8.4 ,58 ,9.7  ,17.2,147282,14 ,      
o,R,Sterling       ,MCI ,M,0.52 ,0.53 ,8.0,8.2 ,6.6 ,74 ,11.6 ,21.8,4648  ,0  ,      
m,E,Hazard         ,CHE ,M,0.48 ,0.55 ,7.3,8.0 ,6.8 ,80 ,11.0 ,35.7,37458 ,2  ,      
m,P,Pedro          ,CHE ,M,0.4  ,0.79 ,4.5,7.0 ,4.8 ,53 ,6.3  ,5.2 ,32923 ,11 ,      
 ,M,Salah          ,LIV ,M,0.35 ,0.37 ,6.6,6.8 ,7.6 ,91 ,13.1 ,36.6,28928 ,1  ,      
m,S,Mané           ,LIV ,M,0.42 ,0.46 ,6.0,6.4 ,4.4 ,82 ,9.6  ,22.1,19716 ,1  ,      
o,H,Son            ,TOT ,M,0.27 ,0.51 ,4.3,6.3 ,7.2 ,43 ,8.5  ,7.4 ,-42567,-10,      
o,R,Richarlison    ,EVE ,M,0.49 ,0.58 ,5.5,6.1 ,4.8 ,84 ,7.1  ,31.3,-32169,-2 ,      
 ,D,David Silva    ,MCI ,M,0.36 ,0.41 ,5.1,5.5 ,3.0 ,70 ,8.5  ,4.4 ,-76281,-29,      
o,R,Fraser         ,BOU ,M,0.52 ,0.52 ,5.3,5.3 ,4.0 ,95 ,6.3  ,28.8,-6599 ,0  ,      
 ,B,Alli           ,TOT ,M,0.26 ,0.37 ,4.3,5.3 ,5.4 ,54 ,8.9  ,3.6 ,-6964 ,-3 ,      
 ,X,Shaqiri        ,LIV ,M,0.41 ,0.42 ,4.9,5.0 ,6.0 ,41 ,7.1  ,3.6 ,33931 ,16 ,      
 ,J,Maddison       ,LEI ,M,0.34 ,0.43 ,4.3,4.9 ,3.8 ,80 ,6.8  ,5.4 ,-39258,-12,      
o,F,Felipe Anderson,WHU ,M,0.39 ,0.39 ,4.9,4.9 ,6.4 ,92 ,7.4  ,20.0,94009 ,8  ,      
 ,G,Sigurdsson     ,EVE ,M,0.35 ,0.38 ,4.6,4.8 ,3.4 ,93 ,7.4  ,6.4 ,-51162,-13,      
 ,L,Lucas Moura    ,TOT ,M,0.34 ,0.39 ,4.4,4.7 ,3.0 ,79 ,7.0  ,9.7 ,-29812,-5 ,      
 ,B,Bernardo Silva ,MCI ,M,0.32 ,0.35 ,4.4,4.6 ,2.8 ,86 ,7.5  ,7.3 ,-17540,-4 ,      
 ,A,Herrera        ,MUN ,M,0.14 ,0.52 ,2.7,4.6 ,4.2 ,35 ,5.0  ,0.3 ,284   ,2  ,      
 ,C,Eriksen        ,TOT ,M,0.18 ,0.28 ,3.7,4.6 ,6.0 ,58 ,9.3  ,5.7 ,-11282,-3 ,      
 ,R,Pereyra        ,WAT ,M,0.39 ,0.42 ,4.4,4.6 ,3.0 ,95 ,6.2  ,14.8,-41938,-5 ,      
 ,J,Gudmundsson    ,BUR ,M,0.39 ,0.44 ,4.2,4.5 ,1.4 ,74 ,5.7  ,1.9 ,-21734,-19,      
m,R,Snodgrass      ,WHU ,M,0.19 ,0.46 ,3.0,4.5 ,7.0 ,65 ,5.4  ,3.4 ,111273,55 ,      
 ,C,Paterson       ,CAR ,M,0.32 ,0.4  ,3.7,4.1 ,3.2 ,74 ,5.3  ,1.4 ,-6822 ,-8 ,      
 ,S,Armstrong      ,SOU ,M,0.14 ,0.41 ,2.7,4.1 ,5.0 ,43 ,5.1  ,0.9 ,190   ,0  ,      
 ,A,Doucouré       ,WAT ,M,0.32 ,0.32 ,3.9,3.9 ,5.0 ,100,5.9  ,2.1 ,12543 ,10 ,      
 ,D,Jota           ,WOL ,M,0.17 ,0.32 ,3.0,3.9 ,5.0 ,67 ,5.9  ,1.0 ,-5102 ,-9 ,      
 ,L,Torreira       ,ARS ,M,0.21 ,0.35 ,3.1,3.8 ,5.4 ,81 ,5.2  ,8.9 ,41798 ,8  ,      
 ,P,Pogba          ,MUN ,M,0.21 ,0.23 ,3.6,3.8 ,1.0 ,74 ,7.8  ,9.8 ,13087 ,2  ,      
~,~,~~~~~~~~       ,~~~~,~,~~~~ ,~~~~~,~~~,3.8 ,~~~~,~~ ,~~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,S,March          ,BHA ,M,0.3  ,0.34 ,3.5,3.7 ,4.8 ,83 ,5.0  ,1.6 ,17455 ,18 ,      
 ,L,Milivojevic    ,CRY ,M,0.28 ,0.28 ,3.7,3.7 ,5.4 ,100,6.0  ,2.9 ,7344  ,4  ,      
 ,T,Walcott        ,EVE ,M,0.23 ,0.27 ,3.4,3.7 ,2.6 ,80 ,6.2  ,3.6 ,-15777,-7 ,      
 ,W,Willian        ,CHE ,M,0.25 ,0.22 ,3.8,3.6 ,2.4 ,70 ,7.3  ,5.0 ,-4125 ,-1 ,      
 ,A,Schürrle       ,FUL ,M,0.26 ,0.28 ,3.5,3.6 ,2.2 ,76 ,5.8  ,3.8 ,-13437,-6 ,      
 ,D,Brooks         ,BOU ,M,0.25 ,0.29 ,3.3,3.5 ,2.0 ,67 ,5.1  ,2.5 ,-17655,-12,      
 ,A,Knockaert      ,BHA ,M,0.17 ,0.28 ,2.9,3.5 ,2.2 ,69 ,5.4  ,0.7 ,-3091 ,-7 ,      
 ,A,Townsend       ,CRY ,M,0.25 ,0.25 ,3.4,3.4 ,5.4 ,97 ,5.7  ,1.9 ,-5623 ,-5 ,      
 ,F,Fernandinho    ,MCI ,M,0.26 ,0.26 ,3.4,3.4 ,3.0 ,98 ,5.4  ,5.2 ,7041  ,2  ,      
 ,N,Kanté          ,CHE ,M,0.27 ,0.27 ,3.3,3.3 ,4.2 ,99 ,4.9  ,17.2,11192 ,1  ,      
 ,G,Wijnaldum      ,LIV ,M,0.2  ,0.24 ,3.1,3.3 ,2.2 ,88 ,5.5  ,1.3 ,-1173 ,-2 ,      
 ,J,McArthur       ,CRY ,M,0.25 ,0.25 ,3.2,3.2 ,5.4 ,89 ,4.8  ,2.2 ,1528  ,1  ,      
 ,R,Sessegnon      ,FUL ,M,0.13 ,0.2  ,2.8,3.2 ,2.8 ,81 ,6.0  ,2.3 ,-9918 ,-7 ,      
 ,G,Xhaka          ,ARS ,M,0.17 ,0.21 ,2.9,3.1 ,2.0 ,90 ,5.3  ,2.8 ,-4742 ,-3 ,      
 ,R,Kenedy         ,NEW ,M,0.14 ,0.22 ,2.7,3.1 ,1.6 ,72 ,4.9  ,1.2 ,-9175 ,-13,      
 ,E,Capoue         ,WAT ,M,0.22 ,0.22 ,3.1,3.1 ,0.2 ,76 ,4.9  ,0.6 ,-1579 ,-4 ,      
 ,E,Dier           ,TOT ,M,0.21 ,0.21 ,3.0,3.0 ,2.6 ,73 ,4.8  ,1.5 ,-17499,-19,      
 ,R,Neves          ,WOL ,M,0.2  ,0.2  ,3.0,3.0 ,1.6 ,94 ,5.0  ,12.7,-26187,-3 ,      
 ,J,Moutinho       ,WOL ,M,0.15 ,0.19 ,2.8,3.0 ,1.6 ,89 ,5.2  ,2.3 ,-7717 ,-6 ,      
 ,A,Westwood       ,BUR ,M,0.11 ,0.2  ,2.5,2.9 ,1.4 ,67 ,4.5  ,1.5 ,-2806 ,-3 ,      
 ,A,Lennon         ,BUR ,M,0.12 ,0.18 ,2.6,2.9 ,1.4 ,79 ,5.0  ,0.7 ,-4795 ,-11,      
 ,A,Mooy           ,HUD ,M,0.18 ,0.18 ,2.9,2.9 ,4.2 ,86 ,5.1  ,1.4 ,-13501,-16,      
 ,W,Hughes         ,WAT ,M,0.1  ,0.18 ,2.5,2.9 ,1.0 ,74 ,5.0  ,0.7 ,-6854 ,-16,      
 ,V,Camarasa       ,CAR ,M,0.17 ,0.17 ,2.8,2.8 ,2.6 ,92 ,4.6  ,1.7 ,1723  ,2  ,      
 ,J,Seri           ,FUL ,M,0.14 ,0.16 ,2.7,2.8 ,1.6 ,86 ,5.1  ,1.9 ,-5078 ,-4 ,      
 ,J,Jorginho       ,CHE ,M,0.15 ,0.15 ,2.7,2.7 ,1.6 ,91 ,4.8  ,7.3 ,-11178,-3 ,      
 ,J,Cork           ,BUR ,M,0.13 ,0.13 ,2.6,2.6 ,3.8 ,93 ,4.6  ,0.5 ,2656  ,9  ,      
 ,A,Pritchard      ,HUD ,M,0.06 ,0.13 ,2.3,2.6 ,1.8 ,68 ,4.8  ,0.1 ,-305  ,-5 ,      
 ,P,Højbjerg       ,SOU ,M,0.14 ,0.14 ,2.6,2.6 ,1.6 ,81 ,4.4  ,3.9 ,-1987 ,-1 ,      
 ,W,Ndidi          ,LEI ,M,0.1  ,0.1  ,2.5,2.5 ,1.8 ,98 ,4.9  ,0.8 ,-3812 ,-8 ,      
 ,M,Ritchie        ,NEW ,M,0.03 ,0.09 ,2.2,2.5 ,1.4 ,73 ,5.8  ,0.4 ,-263  ,-1 ,      
 ,P,Billing        ,HUD ,M,0.09 ,0.09 ,2.4,2.4 ,1.6 ,91 ,4.5  ,1.9 ,-2050 ,-2 ,      
 ,N,Mendy          ,LEI ,M,0.09 ,0.09 ,2.4,2.4 ,2.0 ,86 ,4.5  ,1.2 ,-2269 ,-3 ,      
 ,N,Redmond        ,SOU ,M,0.08 ,0.08 ,2.4,2.4 ,2.6 ,97 ,5.2  ,0.3 ,-420  ,-2 ,      
 ,M,Lemina         ,SOU ,M,0.08 ,0.08 ,2.4,2.4 ,1.8 ,87 ,4.8  ,0.2 ,-523  ,-4 ,      
 ,A,Masuaku        ,WHU ,M,0.05 ,0.09 ,2.2,2.4 ,2.4 ,70 ,4.3  ,2.1 ,4922  ,4  ,      
 ,H,Costa          ,WOL ,M,0.04 ,0.08 ,2.2,2.4 ,2.4 ,75 ,4.8  ,0.5 ,-48   ,0  ,      
 ,J,Hogg           ,HUD ,M,0.05 ,0.07 ,2.2,2.3 ,1.6 ,70 ,4.4  ,0.4 ,-995  ,-4 ,      
