W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
m,M,Rashford        ,MUN ,F,7.0 ,57 ,0.23 ,0.31 ,3.6,4.2 ,6.2 ,14.3,239871 ,28 ,      
m,J,Lingard         ,MUN ,M,6.8 ,50 ,0.24 ,0.16 ,3.6,3.1 ,7.2 ,5.4 ,177637 ,55 ,      
o,A,Martial         ,MUN ,M,7.4 ,54 ,0.47 ,0.72 ,5.5,7.3 ,3.2 ,10.1,156551 ,26 ,      
m,P,Pogba           ,MUN ,M,7.9 ,76 ,0.29 ,0.23 ,4.3,3.8 ,3.0 ,11.9,116768 ,16 ,      
 ,V,van Dijk        ,LIV ,D,6.3 ,98 ,0.54 ,0.57 ,5.4,5.6 ,8.0 ,24.6,115224 ,8  ,      
o,H,Son             ,TOT ,M,8.5 ,45 ,0.42 ,0.51 ,5.6,6.3 ,9.8 ,9.2 ,106855 ,19 ,      
o,D,Ings            ,SOU ,F,5.6 ,59 ,0.54 ,0.54 ,5.0,5.0 ,4.2 ,7.1 ,105358 ,25 ,      
 ,M,Salah           ,LIV ,M,13.2,92 ,0.37 ,0.39 ,6.9,7.1 ,8.4 ,38.5,104983 ,5  ,      
 ,A,Alisson         ,LIV ,G,5.8 ,100,0.53 ,0.53 ,5.1,5.1 ,5.8 ,23.0,62389  ,5  ,      
o,M,Doherty         ,WOL ,D,5.2 ,97 ,0.48 ,0.48 ,4.5,4.5 ,4.5 ,23.7,48341  ,3  ,      
o,P,Aubameyang      ,ARS ,F,11.5,86 ,0.37 ,0.28 ,6.3,5.2 ,7.7 ,36.8,45653  ,2  ,      
o,A,Wan-Bissaka     ,CRY ,D,4.3 ,93 ,0.33 ,0.35 ,3.4,3.5 ,3.0 ,30.5,42446  ,2  ,      
o,S,Kolasinac       ,ARS ,D,5.0 ,37 ,0.48 ,0.46 ,4.4,4.3 ,4.5 ,4.2 ,36690  ,15 ,      
 ,L,Milivojevic     ,CRY ,M,6.0 ,100,0.35 ,0.28 ,4.1,3.7 ,7.0 ,3.5 ,36509  ,17 ,      
m,A,Robertson       ,LIV ,D,6.6 ,89 ,0.67 ,0.67 ,6.4,6.4 ,5.0 ,34.9,36378  ,2  ,      
m,R,Jiménez         ,WOL ,F,6.2 ,89 ,0.42 ,0.45 ,4.6,4.8 ,4.5 ,19.9,33284  ,3  ,      
 ,K,Trippier        ,TOT ,D,6.1 ,72 ,0.54 ,0.62 ,5.3,5.8 ,3.0 ,18.6,28956  ,3  ,      
 ,L,Shaw            ,MUN ,D,4.9 ,71 ,0.1  ,0.12 ,2.5,2.6 ,0.4 ,5.1 ,27267  ,9  ,      
 ,A,Townsend        ,CRY ,M,5.7 ,98 ,0.3  ,0.25 ,3.7,3.4 ,6.6 ,2.4 ,26657  ,18 ,      
 ,D,Brooks          ,BOU ,M,5.0 ,69 ,0.42 ,0.3  ,4.1,3.5 ,4.2 ,3.0 ,25961  ,14 ,      
o,H,Kane            ,TOT ,F,12.5,95 ,0.31 ,0.29 ,5.9,5.6 ,7.8 ,30.1,25783  ,1  ,      
 ,L,Digne           ,EVE ,D,5.0 ,83 ,0.28 ,0.38 ,3.4,3.9 ,3.2 ,5.8 ,21957  ,6  ,      
o,L,Fabianski       ,WHU ,G,4.7 ,100,0.45 ,0.47 ,4.1,4.2 ,5.8 ,17.7,20466  ,2  ,      
 ,J,Holebas         ,WAT ,D,4.7 ,83 ,0.4  ,0.4  ,3.9,3.9 ,3.0 ,12.3,17120  ,2  ,      
 ,A,Herrera         ,MUN ,M,5.0 ,39 ,0.24 ,0.52 ,3.2,4.6 ,5.8 ,0.6 ,16774  ,47 ,      
 ,J,McArthur        ,CRY ,M,4.8 ,90 ,0.27 ,0.25 ,3.3,3.2 ,5.6 ,2.5 ,13868  ,9  ,      
m,D,Lovren          ,LIV ,D,4.9 ,33 ,0.76 ,0.76 ,5.7,5.7 ,1.6 ,2.7 ,13678  ,8  ,      
 ,A,Young           ,MUN ,D,5.7 ,72 ,0.11 ,0.12 ,2.6,2.7 ,3.0 ,2.0 ,10731  ,9  ,      
 ,N,Redmond         ,SOU ,M,5.2 ,97 ,0.19 ,0.08 ,3.0,2.4 ,4.8 ,0.5 ,10405  ,35 ,      
 ,G,Deulofeu        ,WAT ,M,5.4 ,40 ,0.37 ,0.59 ,4.0,5.2 ,5.0 ,1.0 ,10152  ,17 ,      
