W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,122417
m,D,Lovren          ,LIV ,D,4.9,33 ,0.76 ,0.76 ,5.7,5.7 ,1.6 ,2.7 ,13678 ,8  ,      
 ,T,Alexander-Arnold,LIV ,D,5.2,70 ,0.69 ,0.69 ,5.6,5.6 ,1.6 ,18.4,-89076,-8 ,      
m,A,Robertson       ,LIV ,D,6.6,89 ,0.67 ,0.67 ,6.4,6.4 ,5.0 ,34.9,36378 ,2  ,      
 ,K,Trippier        ,TOT ,D,6.1,72 ,0.54 ,0.62 ,5.3,5.8 ,3.0 ,18.6,28956 ,3  ,      
 ,V,van Dijk        ,LIV ,D,6.3,98 ,0.54 ,0.57 ,5.4,5.6 ,8.0 ,24.6,115224,8  ,      
m,M,Alonso          ,CHE ,D,7.0,99 ,0.53 ,0.56 ,5.7,5.9 ,3.0 ,44.4,-69344,-3 ,      
 ,J,Jonny           ,WOL ,D,4.3,73 ,0.44 ,0.51 ,3.9,4.2 ,1.3 ,1.7 ,9128  ,9  ,      
o,M,Doherty         ,WOL ,D,5.2,97 ,0.48 ,0.48 ,4.5,4.5 ,4.5 ,23.7,48341 ,3  ,      
m,D,David Luiz      ,CHE ,D,5.8,94 ,0.43 ,0.47 ,4.5,4.7 ,5.0 ,10.0,6753  ,1  ,      
o,M,Keane           ,EVE ,D,5.1,83 ,0.39 ,0.47 ,4.0,4.4 ,0.6 ,4.3 ,-5395 ,-2 ,      
 ,R,Pereira         ,LEI ,D,5.1,82 ,0.51 ,0.47 ,4.6,4.4 ,3.6 ,6.4 ,6029  ,2  ,      
o,S,Kolasinac       ,ARS ,D,5.0,37 ,0.48 ,0.46 ,4.4,4.3 ,4.5 ,4.2 ,36690 ,15 ,      
 ,S,Duffy           ,BHA ,D,4.6,79 ,0.37 ,0.46 ,3.7,4.1 ,1.6 ,4.2 ,-4414 ,-2 ,      
 ,A,Rüdiger         ,CHE ,D,6.0,99 ,0.37 ,0.4  ,4.2,4.4 ,3.6 ,5.1 ,-6987 ,-2 ,      
 ,K,Walker          ,MCI ,D,6.5,83 ,0.37 ,0.4  ,4.4,4.6 ,1.2 ,13.1,-25459,-3 ,      
 ,J,Holebas         ,WAT ,D,4.7,83 ,0.4  ,0.4  ,3.9,3.9 ,3.0 ,12.3,17120 ,2  ,      
 ,L,Digne           ,EVE ,D,5.0,83 ,0.28 ,0.38 ,3.4,3.9 ,3.2 ,5.8 ,21957 ,6  ,      
m,A,Laporte         ,MCI ,D,6.1,95 ,0.31 ,0.38 ,3.9,4.3 ,1.4 ,15.6,-46817,-5 ,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.33 ,0.35 ,4.1,4.2 ,3.6 ,9.9 ,-8246 ,-1 ,      
o,A,Wan-Bissaka     ,CRY ,D,4.3,93 ,0.33 ,0.35 ,3.4,3.5 ,3.0 ,30.5,42446 ,2  ,      
 ,P,van Aanholt     ,CRY ,D,5.4,98 ,0.26 ,0.33 ,3.4,3.8 ,3.0 ,3.8 ,5542  ,2  ,      
 ,H,Maguire         ,LEI ,D,5.4,68 ,0.33 ,0.33 ,3.8,3.8 ,1.6 ,9.1 ,786   ,0  ,      
 ,T,Alderweireld    ,TOT ,D,6.0,88 ,0.3  ,0.32 ,3.8,3.9 ,3.6 ,4.0 ,1487  ,1  ,      
 ,S,Bamba           ,CAR ,D,4.5,94 ,0.27 ,0.31 ,3.2,3.4 ,2.4 ,1.8 ,-1559 ,-1 ,      
 ,J,Lascelles       ,NEW ,D,4.7,72 ,0.26 ,0.3  ,3.2,3.4 ,2.3 ,3.2 ,-2072 ,-1 ,      
 ,F,Fernández       ,NEW ,D,4.4,69 ,0.27 ,0.3  ,3.2,3.3 ,1.7 ,0.4 ,-836  ,-3 ,      
 ,J,Tarkowski       ,BUR ,D,4.7,79 ,0.23 ,0.28 ,3.1,3.3 ,3.0 ,4.2 ,794   ,0  ,      
 ,L,Dunk            ,BHA ,D,4.5,89 ,0.18 ,0.27 ,2.8,3.2 ,0.8 ,3.9 ,-38838,-17,      
