W,I,web_name  ,team,T,px  ,m%,VA/M,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,C,Wilson    ,BOU ,F,6.9 ,89,0.52,0.59 ,5.6,6.1 ,3.8 ,34.6,-104676,-5 ,      
m,J,Chicharito,WHU ,F,6.5 ,44,0.25,0.62 ,3.6,6.0 ,6.2 ,7.1 ,-39411 ,-9 ,      
 ,A,Lacazette ,ARS ,F,9.6 ,70,0.29,0.41 ,4.8,5.9 ,3.5 ,8.9 ,-39278 ,-7 ,      
 ,G,Jesus     ,MCI ,F,10.1,42,0.08,0.36 ,2.8,5.6 ,4.6 ,1.9 ,-7661  ,-7 ,      
o,H,Kane      ,TOT ,F,12.5,95,0.31,0.29 ,5.9,5.6 ,7.8 ,30.1,25783  ,1  ,      
o,P,Aubameyang,ARS ,F,11.5,86,0.37,0.28 ,6.3,5.2 ,7.7 ,36.8,45653  ,2  ,      
 ,S,Rondón    ,NEW ,F,5.9 ,55,0.32,0.53 ,3.9,5.1 ,4.5 ,3.4 ,-28303 ,-14,      
o,D,Ings      ,SOU ,F,5.6 ,59,0.54,0.54 ,5.0,5.0 ,4.2 ,7.1 ,105358 ,25 ,      
 ,G,Murray    ,BHA ,F,6.5 ,70,0.29,0.43 ,3.9,4.8 ,2.2 ,3.7 ,-28500 ,-13,      
m,R,Jiménez   ,WOL ,F,6.2 ,89,0.42,0.45 ,4.6,4.8 ,4.5 ,19.9,33284  ,3  ,      
~,~,~~~~~~~~  ,~~~~,~,~~  ,~~,~~~~,~~~~~,~~~,4.65,~~~~,~   ,~~~    ,~~ ,~~~~~~
m,A,Mitrovic  ,FUL ,F,6.7 ,97,0.33,0.39 ,4.2,4.6 ,2.4 ,18.6,-79804 ,-7 ,      
 ,R,Lukaku    ,MUN ,F,10.7,73,0.17,0.23 ,3.8,4.5 ,3.4 ,4.2 ,-12208 ,-5 ,      
 ,J,King      ,BOU ,F,6.3 ,80,0.37,0.35 ,4.3,4.2 ,3.3 ,2.9 ,-6017  ,-3 ,      
 ,R,Firmino   ,LIV ,F,9.2 ,84,0.24,0.24 ,4.2,4.2 ,4.4 ,16.4,-37212 ,-4 ,      
m,M,Rashford  ,MUN ,F,7.0 ,57,0.23,0.31 ,3.6,4.2 ,6.2 ,14.3,239871 ,28 ,      
 ,W,Zaha      ,CRY ,F,6.7 ,83,0.18,0.21 ,3.2,3.4 ,1.6 ,11.4,3689   ,1  ,      
m,A,Kamara    ,FUL ,F,4.4 ,33,0.05,0.27 ,2.2,3.2 ,3.2 ,9.8 ,5442   ,1  ,      
 ,T,Deeney    ,WAT ,F,5.8 ,76,0.19,0.21 ,3.1,3.2 ,2.6 ,2.6 ,738    ,0  ,      
 ,A,Pérez     ,NEW ,F,6.1 ,82,0.13,0.11 ,2.8,2.7 ,3.0 ,1.3 ,-4569  ,-6 ,      
