W,I,web_name  ,team,T,px ,VA/M,VA/ML,p/g,p/gl,form,m% ,%   ,txn   ,gf,122318
 ,A,Alisson   ,LIV ,G,5.8,0.53,0.53 ,5.1,5.1 ,5.8 ,100,22.7,44113 ,3 ,      
m,H,Lloris    ,TOT ,G,5.4,0.44,0.48 ,4.4,4.6 ,3.2 ,78 ,4.5 ,1202  ,0 ,      
o,L,Fabianski ,WHU ,G,4.7,0.45,0.47 ,4.1,4.2 ,4.8 ,100,17.6,14056 ,1 ,      
 ,W,Hennessey ,CRY ,G,4.5,0.44,0.44 ,4.0,4.0 ,3.2 ,89 ,5.6 ,-15257,-5,      
m,E,Ederson   ,MCI ,G,5.8,0.4 ,0.43 ,4.3,4.5 ,2.5 ,100,24.9,-38027,-3,      
 ,J,Pickford  ,EVE ,G,5.0,0.36,0.42 ,3.8,4.1 ,2.2 ,100,14.9,-6130 ,-1,      
o,J,Hart      ,BUR ,G,4.5,0.4 ,0.4  ,3.8,3.8 ,3.0 ,100,8.8 ,4021  ,1 ,      
 ,K,Kepa      ,CHE ,G,5.6,0.37,0.39 ,4.1,4.2 ,3.8 ,100,5.9 ,-2296 ,-1,      
 ,N,Etheridge ,CAR ,G,4.5,0.33,0.36 ,3.5,3.6 ,3.3 ,100,5.4 ,-2326 ,-1,      
 ,M,Dubravka  ,NEW ,G,5.0,0.38,0.36 ,3.9,3.8 ,3.8 ,100,0.6 ,-399  ,-1,      
 ,R,Patrício  ,WOL ,G,4.6,0.35,0.35 ,3.6,3.6 ,2.8 ,100,8.9 ,-38   ,0 ,      
~,~,~~~~~~~~  ,~~~~,~,~~ ,~~~~,0.35 ,~~~,~~~~,~~~~,~~ ,~   ,~~~   ,~~,~~~~~~
 ,M,Ryan      ,BHA ,G,4.5,0.29,0.33 ,3.3,3.5 ,2.0 ,100,5.2 ,-4969 ,-2,      
 ,A,McCarthy  ,SOU ,G,4.5,0.27,0.27 ,3.2,3.2 ,2.0 ,100,3.1 ,-994  ,-1,      
 ,K,Schmeichel,LEI ,G,5.0,0.34,0.26 ,3.7,3.3 ,4.3 ,100,4.8 ,553   ,0 ,      
 ,B,Foster    ,WAT ,G,4.5,0.36,0.24 ,3.6,3.1 ,4.3 ,100,4.0 ,4171  ,2 ,      
 ,J,Lössl     ,HUD ,G,4.4,0.2 ,0.23 ,2.9,3.0 ,2.7 ,88 ,1.7 ,-8    ,0 ,      
 ,A,Begovic   ,BOU ,G,4.5,0.27,0.2  ,3.2,2.9 ,2.8 ,100,3.9 ,-761  ,0 ,      
 ,D,De Gea    ,MUN ,G,5.7,0.14,0.16 ,2.8,2.9 ,3.0 ,100,14.8,-1067 ,0 ,      
