W,I,web_name       ,team,T,px  ,VA/M ,VA/ML,p/g,p/gl,form,m% ,%   ,txn   ,gf,122318
m,L,Sané           ,MCI ,M,9.7 ,0.4  ,0.74 ,5.9,9.2 ,7.3 ,60 ,16.9,-28156,-3,      
o,R,Sterling       ,MCI ,M,11.6,0.48 ,0.53 ,7.6,8.2 ,5.8 ,74 ,20.2,-93340,-8,      
m,E,Hazard         ,CHE ,M,11.0,0.45 ,0.55 ,6.9,8.0 ,6.0 ,81 ,35.6,-10520,0 ,      
o,A,Martial        ,MUN ,M,7.3 ,0.48 ,0.73 ,5.5,7.3 ,3.2 ,54 ,9.1 ,102559,19,      
 ,M,Salah          ,LIV ,M,13.1,0.37 ,0.39 ,6.9,7.1 ,8.3 ,92 ,38.0,77245 ,3 ,      
m,P,Pedro          ,CHE ,M,6.3 ,0.38 ,0.79 ,4.4,7.0 ,4.3 ,55 ,5.2 ,-3803 ,-1,      
o,H,Son            ,TOT ,M,8.5 ,0.42 ,0.51 ,5.6,6.3 ,9.5 ,45 ,8.1 ,45466 ,9 ,      
o,R,Richarlison    ,EVE ,M,7.0 ,0.5  ,0.59 ,5.5,6.1 ,4.8 ,84 ,31.0,-11153,-1,      
 ,S,Mané           ,LIV ,M,9.6 ,0.4  ,0.43 ,5.8,6.1 ,4.2 ,83 ,21.7,-20742,-2,      
 ,I,Gündogan       ,MCI ,M,5.4 ,0.46 ,0.72 ,4.5,5.9 ,4.0 ,46 ,2.4 ,6261  ,4 ,      
 ,D,David Silva    ,MCI ,M,8.5 ,0.36 ,0.41 ,5.1,5.5 ,2.5 ,66 ,4.0 ,-15311,-6,      
 ,R,Fraser         ,BOU ,M,6.3 ,0.51 ,0.52 ,5.2,5.3 ,4.0 ,91 ,27.9,-57339,-3,      
 ,B,Alli           ,TOT ,M,8.9 ,0.27 ,0.37 ,4.4,5.3 ,5.5 ,53 ,3.6 ,-1681 ,-1,      
 ,G,Deulofeu       ,WAT ,M,5.4 ,0.37 ,0.59 ,4.0,5.2 ,4.3 ,40 ,0.9 ,7061  ,13,      
 ,J,Milner         ,LIV ,M,5.6 ,0.32 ,0.55 ,3.8,5.1 ,2.8 ,66 ,3.9 ,-2554 ,-1,      
 ,X,Shaqiri        ,LIV ,M,7.1 ,0.41 ,0.42 ,4.9,5.0 ,5.0 ,38 ,3.5 ,-9517 ,-5,      
 ,J,Maddison       ,LEI ,M,6.8 ,0.35 ,0.43 ,4.4,4.9 ,4.2 ,81 ,5.3 ,-4438 ,-1,      
o,F,Felipe Anderson,WHU ,M,7.4 ,0.38 ,0.39 ,4.8,4.9 ,5.7 ,93 ,19.2,-52352,-5,      
 ,G,Sigurdsson     ,EVE ,M,7.3 ,0.37 ,0.38 ,4.7,4.8 ,4.0 ,93 ,6.1 ,-13728,-4,      
 ,L,Lucas Moura    ,TOT ,M,7.0 ,0.31 ,0.39 ,4.2,4.7 ,2.7 ,75 ,9.2 ,-21536,-4,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,0.32 ,0.35 ,4.4,4.6 ,3.2 ,87 ,7.0 ,-15792,-4,      
 ,A,Herrera        ,MUN ,M,5.0 ,0.24 ,0.52 ,3.2,4.6 ,4.8 ,39 ,0.5 ,9954  ,33,      
 ,C,Eriksen        ,TOT ,M,9.3 ,0.2  ,0.28 ,3.9,4.6 ,6.0 ,60 ,5.6 ,-3069 ,-1,      
m,R,Pereyra        ,WAT ,M,6.2 ,0.45 ,0.42 ,4.8,4.6 ,4.5 ,95 ,14.9,5689  ,1 ,      
 ,J,Gudmundsson    ,BUR ,M,5.7 ,0.39 ,0.44 ,4.2,4.5 ,1.2 ,70 ,1.7 ,-6455 ,-6,      
 ,R,Snodgrass      ,WHU ,M,5.4 ,0.17 ,0.46 ,2.9,4.5 ,6.2 ,67 ,3.6 ,3780  ,2 ,      
 ,C,Paterson       ,CAR ,M,5.3 ,0.3  ,0.4  ,3.6,4.1 ,3.0 ,75 ,1.3 ,-3841 ,-5,      
 ,S,Armstrong      ,SOU ,M,5.1 ,0.12 ,0.41 ,2.6,4.1 ,4.5 ,45 ,0.9 ,-2498 ,-5,      
 ,A,Doucouré       ,WAT ,M,5.9 ,0.31 ,0.32 ,3.8,3.9 ,4.7 ,100,2.1 ,-1163 ,-1,      
 ,D,Jota           ,WOL ,M,5.9 ,0.17 ,0.32 ,3.0,3.9 ,4.2 ,64 ,0.9 ,-2226 ,-4,      
~,~,~~~~~~~~       ,~~~~,~,~~  ,~~~~ ,~~~~~,~~~,3.89,~~~~,~~ ,~   ,~~~   ,~~,~~~~~~
 ,L,Torreira       ,ARS ,M,5.2 ,0.19 ,0.35 ,3.0,3.8 ,4.7 ,78 ,8.7 ,-19736,-4,      
m,P,Pogba          ,MUN ,M,7.8 ,0.29 ,0.23 ,4.3,3.8 ,3.0 ,76 ,11.3,81594 ,12,      
