O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn  ,122610
x,H,Kane            ,TOT ,F,0.36 ,0.33 ,6.7,6.3 ,1659,12.9 ,41.1,12813,      
 ,L,Depoitre        ,HUD ,F,0.37 ,0.5  ,4.0,4.7 ,1094,5.4  ,6.0 ,3794 ,      
 ,H,Son             ,TOT ,M,0.31 ,0.45 ,4.5,5.6 ,1113,8.0  ,3.9 ,3266 ,      
x,R,Sterling        ,MCI ,M,0.62 ,0.69 ,7.4,8.0 ,1296,8.7  ,30.3,3221 ,      
x,N,Otamendi        ,MCI ,D,0.51 ,0.51 ,5.2,5.2 ,1600,6.3  ,29.1,2896 ,      
 ,H,Maguire         ,LEI ,D,0.32 ,0.36 ,3.7,3.9 ,1714,5.3  ,10.4,2668 ,      
 ,B,Mee             ,BUR ,D,0.33 ,0.35 ,3.6,3.7 ,1535,4.8  ,13.7,2468 ,      
 ,D,Calvert-Lewin   ,EVE ,F,0.22 ,0.35 ,3.2,3.9 ,1401,5.5  ,13.4,2383 ,      
 ,J,Kenny           ,EVE ,D,0.22 ,0.31 ,3.0,3.4 ,1007,4.5  ,5.0 ,2271 ,      
 ,P,Jones           ,MUN ,D,0.49 ,0.6  ,4.7,5.3 ,1168,5.5  ,11.7,2259 ,      
x,R,Firmino         ,LIV ,F,0.36 ,0.42 ,5.2,5.7 ,1330,8.8  ,29.4,2012 ,      
 ,P,Groß            ,BHA ,M,0.51 ,0.54 ,5.0,5.2 ,1491,5.9  ,18.2,1794 ,      
x,A,Christensen     ,CHE ,D,0.33 ,0.4  ,3.9,4.3 ,1133,5.7  ,6.7 ,1590 ,      
 ,M,Alonso          ,CHE ,D,0.39 ,0.44 ,4.8,5.1 ,1625,7.1  ,19.6,1315 ,      
 ,H,Bellerín        ,ARS ,D,0.32 ,0.32 ,3.9,3.9 ,1710,5.9  ,10.7,1273 ,      
 ,S,Agüero          ,MCI ,F,0.46 ,0.5  ,7.3,7.8 ,1098,11.5 ,17.9,1214 ,      
 ,J,Lingard         ,MUN ,M,0.37 ,0.83 ,4.2,7.0 ,696 ,6.0  ,5.1 ,1193 ,      
 ,J,Gomez           ,LIV ,D,0.4  ,0.49 ,3.9,4.3 ,1181,4.7  ,6.9 ,1087 ,      
x,M,Salah           ,LIV ,M,0.55 ,0.6  ,7.6,8.1 ,1436,10.1 ,58.9,1002 ,      
 ,C,Mbemba          ,NEW ,D,0.08 ,0.1  ,2.3,2.4 ,594 ,3.9  ,11.2,960  ,      
x,R,Loftus-Cheek    ,CRY ,M,0.3  ,0.35 ,3.4,3.6 ,1260,4.6  ,8.6 ,832  ,      
x,A,Ogbonna         ,WHU ,D,0.11 ,0.14 ,2.5,2.6 ,1266,4.4  ,5.3 ,778  ,      
 ,T,Carroll         ,SWA ,M,0.16 ,0.21 ,2.7,2.9 ,1433,4.3  ,4.4 ,748  ,      
 ,P,Crouch          ,STK ,F,0.13 ,0.25 ,2.6,3.2 ,669 ,4.8  ,3.4 ,689  ,      
 ,S,Duffy           ,BHA ,D,0.24 ,0.26 ,3.1,3.2 ,1608,4.6  ,2.5 ,663  ,      
 ,D,David Silva     ,MCI ,M,0.46 ,0.5  ,5.8,6.1 ,1516,8.2  ,15.7,645  ,      
 ,C,Martina         ,EVE ,D,0.19 ,0.28 ,2.8,3.2 ,933 ,4.3  ,1.0 ,643  ,      
 ,K,Long            ,BUR ,D,0.75 ,0.82 ,5.0,5.3 ,275 ,4.0  ,4.6 ,639  ,      
 ,B,Bruno           ,BHA ,D,0.31 ,0.36 ,3.4,3.6 ,1442,4.5  ,1.1 ,628  ,      
 ,M,Zanka           ,HUD ,D,0.22 ,0.24 ,3.0,3.1 ,1716,4.6  ,8.4 ,626  ,      
x,N,Pope            ,BUR ,G,0.62 ,0.67 ,5.0,5.2 ,1409,4.8  ,6.4 ,626  ,      
 ,J,Ayew            ,SWA ,F,0.14 ,0.14 ,2.7,2.7 ,1415,5.0  ,3.3 ,625  ,      
 ,R,Klavan          ,LIV ,D,0.44 ,0.44 ,3.9,3.9 ,990 ,4.3  ,2.1 ,551  ,      
 ,A,Doucouré        ,WAT ,M,0.42 ,0.43 ,4.2,4.3 ,1624,5.3  ,11.9,536  ,      
 ,J,Mata            ,MUN ,M,0.34 ,0.51 ,4.3,5.5 ,909 ,6.8  ,2.3 ,505  ,      
 ,J,Pickford        ,EVE ,G,0.38 ,0.4  ,3.8,3.9 ,1713,4.8  ,7.1 ,493  ,      
 ,E,Choupo-Moting   ,STK ,M,0.39 ,0.48 ,4.1,4.6 ,1432,5.4  ,4.0 ,473  ,      
 ,C,Atsu            ,NEW ,M,0.35 ,0.46 ,3.7,4.2 ,1172,4.8  ,1.3 ,456  ,      
 ,R,Elliot          ,NEW ,G,0.39 ,0.39 ,3.6,3.6 ,1350,4.1  ,23.3,366  ,      
 ,M,Arnautovic      ,WHU ,M,0.07 ,0.25 ,2.5,3.7 ,921 ,6.8  ,1.8 ,361  ,      
x,P,Coutinho        ,LIV ,M,0.58 ,0.65 ,7.3,7.9 ,931 ,9.1  ,12.8,359  ,      
 ,P,Pogba           ,MUN ,M,0.49 ,0.56 ,5.9,6.4 ,777 ,7.9  ,12.5,358  ,      
 ,A,Robertson       ,LIV ,D,0.52 ,0.52 ,4.4,4.4 ,630 ,4.6  ,1.7 ,353  ,      
 ,A,Mooy            ,HUD ,M,0.28 ,0.33 ,3.5,3.8 ,1624,5.4  ,7.5 ,351  ,      
 ,L,Dunk            ,BHA ,D,0.13 ,0.16 ,2.6,2.7 ,1716,4.5  ,3.0 ,339  ,      
 ,L,Koscielny       ,ARS ,D,0.35 ,0.35 ,4.1,4.1 ,1434,6.0  ,2.3 ,329  ,      
 ,B,Alli            ,TOT ,M,0.3  ,0.28 ,4.7,4.5 ,1564,9.0  ,11.4,297  ,      
 ,S,Aurier          ,TOT ,D,0.31 ,0.44 ,3.8,4.6 ,726 ,5.9  ,0.5 ,291  ,      
 ,S,Mustafi         ,ARS ,D,0.63 ,0.89 ,5.4,6.8 ,779 ,5.4  ,2.2 ,285  ,      
 ,M,Holgate         ,EVE ,D,0.19 ,0.24 ,2.8,3.0 ,813 ,4.2  ,1.8 ,270  ,      
 ,A,Williams        ,EVE ,D,0.13 ,0.25 ,2.7,3.3 ,1251,5.2  ,3.0 ,251  ,      
 ,D,Lovren          ,LIV ,D,0.26 ,0.4  ,3.4,4.1 ,1115,5.3  ,1.3 ,249  ,      
 ,J,Allen           ,STK ,M,0.18 ,0.2  ,2.9,3.0 ,1608,5.1  ,1.4 ,240  ,      
 ,M,Ryan            ,BHA ,G,0.42 ,0.44 ,3.9,4.0 ,1716,4.5  ,1.3 ,224  ,      
 ,C,Schindler       ,HUD ,D,0.2  ,0.22 ,2.9,3.0 ,1592,4.6  ,3.4 ,207  ,      
 ,P,Bardsley        ,BUR ,D,0.26 ,0.35 ,3.1,3.5 ,545 ,4.3  ,0.4 ,173  ,      
 ,F,Fernandinho     ,MCI ,M,0.27 ,0.31 ,3.4,3.6 ,1561,5.1  ,6.4 ,166  ,      
 ,D,Gayle           ,NEW ,F,0.1  ,0.33 ,2.6,4.0 ,833 ,6.1  ,1.1 ,165  ,      
 ,E,Can             ,LIV ,M,0.27 ,0.35 ,3.3,3.7 ,1085,4.8  ,4.1 ,159  ,      
 ,C,Quaner          ,HUD ,F,-0.07,0.11 ,1.7,2.5 ,506 ,4.6  ,5.5 ,153  ,      
 ,G,Xhaka           ,ARS ,M,0.25 ,0.25 ,3.3,3.3 ,1634,5.3  ,8.1 ,152  ,      
 ,A,Adrián          ,WHU ,G,0.42 ,0.56 ,3.8,4.4 ,456 ,4.3  ,1.4 ,146  ,      
 ,A,Masuaku         ,WHU ,D,0.04 ,0.13 ,2.2,2.6 ,897 ,4.5  ,1.8 ,138  ,      
 ,W,Morgan          ,LEI ,D,0.04 ,0.07 ,2.2,2.3 ,1714,4.5  ,3.0 ,129  ,      
 ,P,Zabaleta        ,WHU ,D,0.12 ,0.14 ,2.6,2.7 ,1597,4.9  ,2.1 ,129  ,      
 ,A,Rüdiger         ,CHE ,D,0.34 ,0.43 ,4.0,4.5 ,1110,5.8  ,2.0 ,118  ,      
 ,C,Benteke         ,CRY ,F,0.01 ,0.04 ,2.1,2.3 ,1028,7.6  ,2.0 ,111  ,      
 ,E,Ederson         ,MCI ,G,0.33 ,0.35 ,3.8,3.9 ,1665,5.5  ,5.2 ,110  ,      
 ,L,Milivojevic     ,CRY ,M,0.17 ,0.24 ,2.8,3.1 ,1369,4.6  ,0.5 ,107  ,      
 ,C,Azpilicueta     ,CHE ,D,0.45 ,0.48 ,5.1,5.3 ,1626,6.9  ,21.8,104  ,      
 ,A,Hegazi          ,WBA ,D,0.2  ,0.22 ,2.9,3.0 ,1679,4.5  ,18.2,103  ,      
 ,J,McArthur        ,CRY ,M,0.12 ,0.16 ,2.5,2.7 ,899 ,4.3  ,3.1 ,97   ,      
 ,J,Speroni         ,CRY ,G,0.32 ,0.32 ,3.3,3.3 ,900 ,4.1  ,5.2 ,93   ,      
 ,J,Joselu          ,NEW ,F,0.15 ,0.2  ,2.8,3.1 ,1214,5.5  ,0.6 ,89   ,      
 ,V,Moses           ,CHE ,D,0.28 ,0.47 ,3.8,5.0 ,867 ,6.4  ,1.1 ,86   ,      
 ,D,Danilo          ,MCI ,D,0.46 ,0.76 ,4.3,5.8 ,478 ,5.0  ,1.9 ,85   ,      
 ,V,Kompany         ,MCI ,D,0.16 ,0.19 ,2.9,3.1 ,664 ,5.8  ,2.0 ,84   ,      
x,L,Fabianski       ,SWA ,G,0.52 ,0.52 ,4.4,4.4 ,1710,4.6  ,8.4 ,83   ,      
 ,A,Mawson          ,SWA ,D,0.24 ,0.24 ,3.2,3.2 ,1710,5.0  ,1.2 ,80   ,      
 ,S,Rondón          ,WBA ,F,0.02 ,0.08 ,2.1,2.5 ,1241,6.0  ,0.8 ,76   ,      
 ,T,Hemed           ,BHA ,F,0.17 ,0.54 ,2.8,4.6 ,674 ,4.8  ,1.2 ,73   ,      
 ,D,Sánchez         ,TOT ,D,0.18 ,0.25 ,3.1,3.5 ,1132,6.0  ,0.4 ,61   ,      
 ,F,Delph           ,MCI ,M,0.18 ,0.11 ,2.8,2.5 ,1162,4.5  ,1.0 ,58   ,      
 ,M,Suttner         ,BHA ,D,0.3  ,0.35 ,3.3,3.5 ,906 ,4.3  ,0.5 ,58   ,      
 ,A,Cresswell       ,WHU ,D,0.22 ,0.27 ,3.1,3.4 ,1500,5.1  ,2.6 ,56   ,      
 ,P,Jagielka        ,EVE ,D,0.0  ,0.04 ,2.0,2.2 ,994 ,4.7  ,2.7 ,51   ,      
 ,J,Evans           ,WBA ,D,0.06 ,0.1  ,2.3,2.5 ,1384,4.9  ,0.8 ,49   ,      
 ,M,Lowton          ,BUR ,D,0.47 ,0.47 ,4.1,4.1 ,1170,4.5  ,2.5 ,48   ,      
 ,C,Clark           ,NEW ,D,0.2  ,0.25 ,2.9,3.1 ,1205,4.4  ,1.7 ,46   ,      
 ,R,Sobhi           ,STK ,M,0.04 ,0.02 ,2.2,2.1 ,707 ,4.5  ,0.4 ,41   ,      
 ,B,Chilwell        ,LEI ,D,0.02 ,0.14 ,2.1,2.6 ,754 ,4.3  ,0.5 ,40   ,      
 ,M,Kelly           ,CRY ,D,0.43 ,0.71 ,3.8,5.0 ,319 ,4.2  ,0.3 ,37   ,      
 ,J,Schlupp         ,CRY ,D,0.02 ,0.04 ,2.1,2.2 ,1407,4.7  ,0.4 ,33   ,      
 ,D,Yedlin          ,NEW ,D,-0.02,-0.02,1.9,1.9 ,1265,4.4  ,0.6 ,28   ,      
 ,S,Boufal          ,SOU ,M,0.07 ,0.0  ,2.4,2.0 ,792 ,5.7  ,0.2 ,27   ,      
 ,S,Long            ,SOU ,F,-0.05,0.07 ,1.7,2.4 ,760 ,5.6  ,0.3 ,26   ,      
 ,C,Kabasele        ,WAT ,D,0.15 ,0.2  ,2.7,2.9 ,1503,4.6  ,2.4 ,26   ,      
 ,J,Vertonghen      ,TOT ,D,0.23 ,0.25 ,3.4,3.5 ,1769,6.0  ,8.2 ,24   ,      
 ,S,Arfield         ,BUR ,M,0.27 ,0.43 ,3.3,4.1 ,915 ,4.9  ,0.3 ,22   ,      
 ,J,Tomkins         ,CRY ,D,0.07 ,0.14 ,2.3,2.6 ,772 ,4.3  ,0.5 ,22   ,      
 ,S,Dann            ,CRY ,D,0.02 ,0.02 ,2.1,2.1 ,1325,4.7  ,0.6 ,18   ,      
 ,M,Özil            ,ARS ,M,0.31 ,0.37 ,4.9,5.4 ,1280,9.3  ,2.8 ,16   ,      
 ,N,Kanté           ,CHE ,M,0.24 ,0.29 ,3.2,3.4 ,1412,4.9  ,12.2,16   ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.11 ,2.5,2.6 ,1511,5.4  ,2.0 ,15   ,      
 ,A,Carroll         ,WHU ,F,-0.12,-0.09,1.3,1.5 ,570 ,5.8  ,0.2 ,15   ,      
 ,D,Janmaat         ,WAT ,D,0.1  ,0.04 ,2.5,2.2 ,499 ,4.8  ,0.3 ,14   ,      
 ,W,Reid            ,WHU ,D,0.13 ,0.13 ,2.6,2.6 ,1246,4.8  ,0.7 ,14   ,      
