O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,min,price,%,txn,122610
x,N,Pope,BUR,G,0.62,0.67,5.0,5.2,1409,4.8,6.4,626,
,D,de Gea,MUN,G,0.51,0.56,5.0,5.3,1715,5.9,44.2,-46,
,A,Adrián,WHU,G,0.42,0.56,3.8,4.4,456,4.3,1.4,146,
x,L,Fabianski,SWA,G,0.52,0.52,4.4,4.4,1710,4.6,8.4,83,
,M,Ryan,BHA,G,0.42,0.44,3.9,4.0,1716,4.5,1.3,224,
,T,Courtois,CHE,G,0.36,0.4,4.0,4.2,1716,5.5,13.4,-48,
,J,Pickford,EVE,G,0.38,0.4,3.8,3.9,1713,4.8,7.1,493,
,P,Cech,ARS,G,0.39,0.39,4.1,4.1,1710,5.4,5.1,-57,
,R,Elliot,NEW,G,0.39,0.39,3.6,3.6,1350,4.1,23.3,366,
,J,Lössl,HUD,G,0.35,0.37,3.6,3.7,1716,4.6,8.7,-220,
,F,Forster,SOU,G,0.33,0.37,3.6,3.8,1800,4.9,6.7,-743,
~,~,~~~~~~~~,~~~~,~,~~~~,0.37,~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,E,Ederson,MCI,G,0.33,0.35,3.8,3.9,1665,5.5,5.2,110,
,K,Schmeichel,LEI,G,0.3,0.34,3.5,3.7,1714,5.0,4.1,-108,
,J,Speroni,CRY,G,0.32,0.32,3.3,3.3,900,4.1,5.2,93,
,A,Begovic,BOU,G,0.29,0.31,3.3,3.4,1716,4.5,4.6,-107,
,H,Lloris,TOT,G,0.29,0.31,3.6,3.7,1710,5.5,8.5,-300,
,W,Hennessey,CRY,G,0.3,0.3,3.3,3.3,810,4.3,0.9,-27,
,S,Mignolet,LIV,G,0.29,0.29,3.4,3.4,1530,4.9,1.6,-51,
,J,Hart,WHU,G,0.27,0.27,3.2,3.2,1260,4.4,6.2,-263,
,B,Foster,WBA,G,0.23,0.25,3.0,3.1,1623,4.4,9.9,-314,
,H,Gomes,WAT,G,0.18,0.2,2.8,2.9,1682,4.5,2.5,-65,
,J,Butland,STK,G,0.12,0.14,2.6,2.7,1446,5.0,2.3,-29,
