W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,m%,price,%,txn,gf,122313
m,L,Sané,MCI,M,0.4,0.67,5.9,8.5,7.3,57,9.7,17.0,-18872,-2,
o,H,Son,TOT,M,0.4,0.68,5.4,7.8,9.0,43,8.5,7.5,11982,3,
o,R,Sterling,MCI,M,0.48,0.49,7.6,7.7,5.8,70,11.6,20.6,-70698,-6,
m,E,Hazard,CHE,M,0.45,0.51,6.9,7.6,6.0,77,11.0,35.7,-5678,0,
m,A,Martial,MUN,M,0.48,0.73,5.5,7.3,3.2,51,7.3,8.7,77321,15,
,M,Salah,LIV,M,0.37,0.39,6.9,7.1,8.3,87,13.1,37.7,64825,3,
m,P,Pedro,CHE,M,0.38,0.7,4.4,6.4,4.3,52,6.3,5.2,-2406,-1,
m,S,Mané,LIV,M,0.4,0.43,5.8,6.1,4.2,79,9.6,21.8,-16726,-1,
o,R,Richarlison,EVE,M,0.5,0.57,5.5,6.0,4.8,79,7.0,31.1,-5904,0,
,I,Gündogan,MCI,M,0.46,0.74,4.5,6.0,4.0,44,5.4,2.4,4730,3,
,G,Deulofeu,WAT,M,0.37,0.69,4.0,5.7,4.3,38,5.4,0.9,5572,10,
o,R,Fraser,BOU,M,0.51,0.52,5.2,5.3,4.0,86,6.3,28.1,-42301,-3,
,B,Alli,TOT,M,0.27,0.37,4.4,5.3,5.5,51,8.9,3.6,356,0,
,A,Herrera,MUN,M,0.24,0.64,3.2,5.2,4.8,37,5.0,0.5,7124,24,
,J,Maddison,LEI,M,0.35,0.44,4.4,5.0,4.2,76,6.8,5.3,-3224,-1,
,X,Shaqiri,LIV,M,0.41,0.42,4.9,5.0,5.0,36,7.1,3.5,-7627,-4,
m,R,Pereyra,WAT,M,0.45,0.48,4.8,5.0,4.5,90,6.2,14.9,4288,0,
,G,Sigurdsson,EVE,M,0.37,0.4,4.7,4.9,4.0,88,7.3,6.1,-12226,-3,
o,F,Felipe Anderson,WHU,M,0.38,0.38,4.8,4.8,5.7,88,7.4,19.5,-36695,-3,
,C,Eriksen,TOT,M,0.2,0.29,3.9,4.7,6.0,57,9.3,5.6,-2489,-1,
,L,Lucas Moura,TOT,M,0.31,0.39,4.2,4.7,2.7,72,7.0,9.4,-12529,-2,
,B,Bernardo Silva,MCI,M,0.32,0.35,4.4,4.6,3.2,82,7.5,7.1,-11716,-3,
m,J,Lingard,MUN,M,0.24,0.39,3.6,4.6,6.2,47,6.7,3.8,88865,39,
,J,Gudmundsson,BUR,M,0.39,0.44,4.2,4.5,1.2,67,5.7,1.7,-5120,-5,
m,P,Pogba,MUN,M,0.29,0.32,4.3,4.5,3.0,72,7.8,11.0,64317,10,
,D,Brooks,BOU,M,0.42,0.46,4.1,4.3,4.2,65,5.0,2.7,12016,7,
m,R,Snodgrass,WHU,M,0.17,0.43,2.9,4.3,6.2,63,5.4,3.6,3585,2,
,L,Milivojevic,CRY,M,0.35,0.35,4.1,4.1,6.2,95,6.0,3.2,16438,9,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,3.97,~~~~,~~,~~~~~,~,~~~,~~,~~~~~~
,C,Paterson,CAR,M,0.3,0.36,3.6,3.9,3.0,71,5.3,1.3,-2856,-4,
,T,Walcott,EVE,M,0.26,0.31,3.6,3.9,3.3,77,6.2,3.6,-2705,-1,
,S,Armstrong,SOU,M,0.12,0.37,2.6,3.9,4.5,42,5.1,0.9,-1971,-4,
,D,Jota,WOL,M,0.17,0.32,3.0,3.9,4.2,60,5.9,0.9,-1765,-3,
,L,Torreira,ARS,M,0.19,0.35,3.0,3.8,4.7,74,5.2,8.7,-14985,-3,
,A,Doucouré,WAT,M,0.31,0.31,3.8,3.8,4.7,95,5.9,2.1,-588,0,
,A,Townsend,CRY,M,0.3,0.3,3.7,3.7,6.0,92,5.7,2.1,12043,10,
,S,March,BHA,M,0.28,0.32,3.4,3.6,4.3,80,5.0,1.6,-10,0,
,A,Schürrle,FUL,M,0.25,0.28,3.4,3.6,2.3,72,5.7,3.7,-5109,-2,
,W,Willian,CHE,M,0.23,0.21,3.7,3.5,2.3,66,7.3,4.9,-5649,-2,
,F,Fernandinho,MCI,M,0.26,0.26,3.4,3.4,2.5,88,5.4,5.0,-13666,-5,
,J,McArthur,CRY,M,0.27,0.27,3.3,3.3,5.2,85,4.8,2.4,6416,4,
,G,Wijnaldum,LIV,M,0.18,0.24,3.0,3.3,2.0,80,5.5,1.2,-1723,-2,
,N,Kanté,CHE,M,0.24,0.24,3.2,3.2,3.8,94,4.9,17.1,-2799,0,
,R,Sessegnon,FUL,M,0.13,0.2,2.8,3.2,2.3,72,6.0,2.2,-2657,-2,
,V,Camarasa,CAR,M,0.24,0.24,3.1,3.1,3.3,87,4.6,1.7,3254,3,
,R,Kenedy,NEW,M,0.1,0.22,2.5,3.1,1.3,65,4.9,1.1,-2370,-4,
,E,Capoue,WAT,M,0.22,0.22,3.1,3.1,0.7,74,4.9,0.6,-325,-1,
,G,Xhaka,ARS,M,0.15,0.19,2.8,3.0,2.0,86,5.3,2.8,-1654,-1,
,N,Redmond,SOU,M,0.19,0.19,3.0,3.0,4.3,92,5.2,0.4,4433,18,
,E,Dier,TOT,M,0.21,0.21,3.0,3.0,2.2,65,4.8,1.4,-2940,-4,
,A,Lennon,BUR,M,0.12,0.18,2.6,2.9,1.2,71,5.0,0.6,-1950,-5,
,A,Mooy,HUD,M,0.18,0.18,2.9,2.9,3.5,77,5.1,1.4,-2481,-3,
,W,Hughes,WAT,M,0.1,0.18,2.5,2.9,0.8,66,5.0,0.7,-1279,-3,
,R,Neves,WOL,M,0.18,0.18,2.9,2.9,1.7,89,5.0,12.6,-7116,-1,
,J,Moutinho,WOL,M,0.13,0.17,2.7,2.9,1.7,83,5.2,2.2,-1822,-1,
,J,Seri,FUL,M,0.14,0.16,2.7,2.8,1.7,82,5.1,1.9,-1450,-1,
,P,Billing,HUD,M,0.16,0.16,2.7,2.7,2.7,87,4.5,1.9,1082,1,
