W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf,123023
m,D,Lovren          ,LIV ,D,4.9,40 ,0.98 ,0.98 ,6.8,6.8 ,4.0 ,3.2 ,10534 ,5 ,      
 ,T,Alexander-Arnold,LIV ,D,5.1,73 ,0.73 ,0.73 ,5.7,5.7 ,3.0 ,19.6,31648 ,3 ,      
 ,A,Robertson       ,LIV ,D,6.6,89 ,0.62 ,0.62 ,6.1,6.1 ,4.6 ,34.3,-34159,-2,      
 ,V,van Dijk        ,LIV ,D,6.4,98 ,0.52 ,0.55 ,5.3,5.5 ,6.9 ,26.3,-200  ,0 ,      
 ,K,Trippier        ,TOT ,D,6.1,70 ,0.49 ,0.54 ,5.0,5.3 ,2.3 ,18.7,-7852 ,-1,      
m,R,Pereira         ,LEI ,D,5.2,84 ,0.52 ,0.52 ,4.7,4.7 ,4.1 ,8.6 ,5556  ,1 ,      
m,M,Alonso          ,CHE ,D,6.8,99 ,0.51 ,0.5  ,5.5,5.4 ,3.1 ,40.9,-51751,-2,      
m,D,David Luiz      ,CHE ,D,5.8,95 ,0.48 ,0.48 ,4.8,4.8 ,5.6 ,10.8,45178 ,7 ,      
 ,S,Duffy           ,BHA ,D,4.6,82 ,0.39 ,0.46 ,3.8,4.1 ,2.3 ,4.1 ,2243  ,1 ,      
o,M,Doherty         ,WOL ,D,5.2,98 ,0.46 ,0.46 ,4.4,4.4 ,4.3 ,23.8,39473 ,3 ,      
m,L,Digne           ,EVE ,D,5.2,84 ,0.4  ,0.44 ,4.1,4.3 ,5.0 ,12.1,52025 ,7 ,      
 ,J,Jonny           ,WOL ,D,4.3,75 ,0.37 ,0.42 ,3.6,3.8 ,1.8 ,1.9 ,6804  ,6 ,      
m,J,Holebas         ,WAT ,D,4.8,80 ,0.38 ,0.4  ,3.8,3.9 ,2.9 ,13.3,-6418 ,-1,      
 ,K,Walker          ,MCI ,D,6.4,75 ,0.34 ,0.38 ,4.2,4.4 ,1.0 ,11.5,-21776,-3,      
 ,A,Rüdiger         ,CHE ,D,6.0,99 ,0.38 ,0.37 ,4.3,4.2 ,3.9 ,4.9 ,-673  ,0 ,      
o,M,Keane           ,EVE ,D,5.0,85 ,0.36 ,0.36 ,3.8,3.8 ,1.0 ,3.8 ,-7290 ,-3,      
o,A,Wan-Bissaka     ,CRY ,D,4.4,94 ,0.34 ,0.34 ,3.5,3.5 ,3.6 ,31.6,15869 ,1 ,      
o,S,Kolasinac       ,ARS ,D,4.9,43 ,0.33 ,0.33 ,3.6,3.6 ,2.4 ,3.8 ,-4527 ,-2,      
 ,S,Bamba           ,CAR ,D,4.5,95 ,0.33 ,0.33 ,3.5,3.5 ,3.7 ,1.9 ,7649  ,7 ,      
 ,W,Boly            ,WOL ,D,4.6,100,0.33 ,0.33 ,3.5,3.5 ,3.8 ,5.0 ,25861 ,9 ,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.32 ,0.32 ,4.0,4.0 ,3.7 ,9.5 ,-1364 ,0 ,      
