W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,123023
o,H,Kane,TOT,F,12.6,95,0.31,0.33,5.9,6.2,7.3,32.6,11931,1,
,A,Lacazette,ARS,F,9.4,67,0.28,0.41,4.6,5.9,4.0,7.2,-22965,-5,
,C,Wilson,BOU,F,6.7,87,0.48,0.51,5.2,5.4,3.6,30.9,-44677,-2,
,J,Chicharito,WHU,F,6.2,40,0.26,0.55,3.6,5.4,4.4,3.4,-42788,-21,
o,P,Aubameyang,ARS,F,11.4,86,0.37,0.29,6.2,5.3,6.9,35.0,-9823,0,
,S,Rondón,NEW,F,5.8,55,0.38,0.53,4.2,5.1,4.7,3.1,8187,4,
o,D,Ings,SOU,F,5.6,56,0.5,0.54,4.8,5.0,3.3,8.7,-10088,-2,
,R,Firmino,LIV,F,9.1,84,0.3,0.31,4.7,4.8,5.9,15.8,48034,5,
m,M,Rashford,MUN,F,7.2,60,0.26,0.39,3.9,4.8,6.3,20.1,29547,2,
m,R,Jiménez,WOL,F,6.3,90,0.43,0.44,4.7,4.8,5.0,21.2,85088,7,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,4.63,~~~~,~,~~~,~~,~~~~~~
,G,Murray,BHA,F,6.4,68,0.25,0.39,3.6,4.5,1.9,3.0,-11695,-6,
,R,Lukaku,MUN,F,10.7,67,0.18,0.23,3.9,4.5,3.1,4.0,2228,1,
m,A,Mitrovic,FUL,F,6.7,97,0.34,0.36,4.3,4.4,3.0,17.5,-24181,-2,
,J,King,BOU,F,6.3,78,0.3,0.33,3.9,4.1,2.3,2.6,-1784,-1,
,J,Vardy,LEI,F,8.9,65,0.26,0.24,4.3,4.1,3.6,4.6,-14267,-5,
,T,Deeney,WAT,F,5.8,76,0.16,0.22,2.9,3.3,2.3,3.1,-3907,-2,
,W,Zaha,CRY,F,6.7,85,0.16,0.16,3.1,3.1,1.7,11.2,-5062,-1,
,A,Pérez,NEW,F,6.1,79,0.11,0.1,2.7,2.6,2.6,1.1,-1276,-2,
