W,I,web_name  ,team,T,px ,m% ,VA/M,VA/ML,p/g,p/gl,form,%   ,txn   ,gf,123023
 ,N,Etheridge ,CAR ,G,4.5,100,0.53,0.53 ,4.4,4.4 ,6.5 ,6.5 ,48959 ,12,      
 ,A,Alisson   ,LIV ,G,5.9,100,0.51,0.51 ,5.0,5.0 ,5.3 ,24.2,6172  ,0 ,      
 ,W,Hennessey ,CRY ,G,4.5,80 ,0.44,0.44 ,4.0,4.0 ,1.3 ,4.9 ,-9064 ,-3,      
m,H,Lloris    ,TOT ,G,5.4,80 ,0.43,0.43 ,4.3,4.3 ,3.6 ,4.9 ,2556  ,1 ,      
o,L,Fabianski ,WHU ,G,4.8,100,0.42,0.42 ,4.0,4.0 ,4.9 ,18.8,5100  ,0 ,      
 ,K,Kepa      ,CHE ,G,5.6,100,0.37,0.37 ,4.1,4.1 ,4.0 ,6.1 ,13388 ,4 ,      
m,E,Ederson   ,MCI ,G,5.6,100,0.37,0.37 ,4.1,4.1 ,2.0 ,22.5,-43973,-3,      
o,J,Hart      ,BUR ,G,4.5,95 ,0.36,0.36 ,3.6,3.6 ,2.4 ,8.4 ,-18368,-4,      
 ,M,Dubravka  ,NEW ,G,5.0,100,0.36,0.36 ,3.8,3.8 ,3.4 ,0.6 ,-279  ,-1,      
 ,R,Patrício  ,WOL ,G,4.5,100,0.33,0.33 ,3.5,3.5 ,3.2 ,8.8 ,7835  ,1 ,      
~,~,~~~~~~~~  ,~~~~,~,~~ ,~~ ,~~~~,0.33 ,~~~,~~~~,~~~~,~   ,~~~   ,~~,~~~~~~
 ,J,Pickford  ,EVE ,G,5.0,100,0.32,0.32 ,3.6,3.6 ,1.6 ,14.2,-10026,-1,      
 ,J,Lössl     ,HUD ,G,4.4,89 ,0.32,0.32 ,3.4,3.4 ,3.4 ,1.8 ,4670  ,4 ,      
 ,K,Schmeichel,LEI ,G,5.0,100,0.3 ,0.32 ,3.5,3.6 ,4.1 ,5.1 ,-2059 ,-1,      
 ,S,Rico      ,FUL ,G,4.4,55 ,0.3 ,0.3  ,3.3,3.3 ,4.0 ,0.4 ,1473  ,6 ,      
 ,M,Ryan      ,BHA ,G,4.5,95 ,0.29,0.29 ,3.3,3.3 ,1.9 ,3.9 ,-17269,-7,      
 ,B,Foster    ,WAT ,G,4.5,100,0.29,0.29 ,3.3,3.3 ,3.7 ,4.5 ,662   ,0 ,      
 ,A,Begovic   ,BOU ,G,4.4,100,0.23,0.23 ,3.0,3.0 ,2.3 ,3.7 ,-621  ,0 ,      
 ,A,McCarthy  ,SOU ,G,4.5,100,0.22,0.22 ,3.0,3.0 ,2.1 ,2.9 ,-4359 ,-2,      
 ,D,De Gea    ,MUN ,G,5.7,100,0.14,0.14 ,2.8,2.8 ,2.3 ,14.7,-2455 ,0 ,      
 ,B,Leno      ,ARS ,G,4.8,68 ,0.13,0.13 ,2.6,2.6 ,2.6 ,2.2 ,488   ,0 ,      
