O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123122
x,H,Son             ,TOT ,M,0.32 ,0.52 ,4.6,6.2 ,1113,8.1  ,9.1 ,278563 ,      
x,H,Kane            ,TOT ,F,0.38 ,0.38 ,6.9,6.9 ,1659,12.8 ,39.5,246722 ,      
x,M,Arnautovic      ,WHU ,M,0.2  ,0.39 ,3.4,4.7 ,1005,6.9  ,6.2 ,206338 ,      
 ,C,Eriksen         ,TOT ,M,0.36 ,0.37 ,5.3,5.4 ,1692,9.2  ,16.0,176110 ,      
 ,B,Alli            ,TOT ,M,0.31 ,0.34 ,4.8,5.1 ,1564,9.0  ,13.6,139338 ,      
 ,J,Vardy           ,LEI ,F,0.3  ,0.3  ,4.6,4.6 ,1819,8.6  ,16.3,75349  ,      
 ,J,Vertonghen      ,TOT ,D,0.23 ,0.23 ,3.4,3.4 ,1769,6.0  ,8.8 ,63842  ,      
 ,S,Agüero          ,MCI ,F,0.4  ,0.42 ,6.6,6.9 ,1241,11.6 ,20.0,51133  ,      
 ,A,Cresswell       ,WHU ,D,0.24 ,0.27 ,3.2,3.4 ,1584,5.1  ,3.4 ,47660  ,      
x,N,Otamendi        ,MCI ,D,0.55 ,0.55 ,5.5,5.5 ,1780,6.4  ,32.5,41892  ,      
x,A,Ogbonna         ,WHU ,D,0.09 ,0.09 ,2.4,2.4 ,1350,4.4  ,5.8 ,41513  ,      
x,R,Sterling        ,MCI ,M,0.59 ,0.7  ,7.2,8.2 ,1419,8.8  ,34.7,41312  ,      
 ,K,Long            ,BUR ,D,0.83 ,0.83 ,5.4,5.4 ,450 ,4.1  ,6.5 ,39094  ,      
 ,M,Lanzini         ,WHU ,M,0.24 ,0.31 ,3.6,4.1 ,1128,6.8  ,1.6 ,38519  ,      
 ,R,Mahrez          ,LEI ,M,0.39 ,0.42 ,5.3,5.6 ,1683,8.5  ,8.2 ,38346  ,      
x,A,Adrián          ,WHU ,G,0.51 ,0.51 ,4.2,4.2 ,540 ,4.3  ,2.2 ,38321  ,      
 ,H,Lloris          ,TOT ,G,0.29 ,0.29 ,3.6,3.6 ,1710,5.5  ,8.8 ,35297  ,      
 ,W,Willian         ,CHE ,M,0.27 ,0.48 ,3.8,5.2 ,1068,6.7  ,7.4 ,34764  ,      
 ,J,Ayew            ,SWA ,F,0.18 ,0.18 ,2.9,2.9 ,1595,5.0  ,4.0 ,30088  ,      
x,R,Firmino         ,LIV ,F,0.38 ,0.43 ,5.4,5.9 ,1487,9.0  ,36.7,26094  ,      
 ,S,Duffy           ,BHA ,D,0.28 ,0.26 ,3.3,3.2 ,1782,4.6  ,3.3 ,23550  ,      
 ,P,Jones           ,MUN ,D,0.54 ,0.59 ,5.0,5.3 ,1343,5.6  ,13.1,22561  ,      
 ,E,Ederson         ,MCI ,G,0.44 ,0.47 ,4.4,4.6 ,1845,5.5  ,5.9 ,21553  ,      
 ,A,Rüdiger         ,CHE ,D,0.52 ,0.57 ,5.0,5.3 ,1284,5.8  ,2.9 ,20451  ,      
 ,J,Chicharito      ,WHU ,F,0.18 ,0.25 ,3.2,3.7 ,959 ,6.7  ,7.0 ,18550  ,      
 ,B,Davies          ,TOT ,D,0.49 ,0.67 ,4.7,5.7 ,1072,5.5  ,13.1,18466  ,      
 ,M,Ryan            ,BHA ,G,0.44 ,0.44 ,4.0,4.0 ,1890,4.5  ,1.8 ,16849  ,      
 ,A,Masuaku         ,WHU ,D,0.04 ,0.09 ,2.2,2.4 ,981 ,4.5  ,1.9 ,13417  ,      
 ,R,Fraser          ,BOU ,M,0.25 ,0.45 ,3.3,4.3 ,867 ,5.1  ,0.5 ,11948  ,      
 ,M,Yoshida         ,SOU ,D,0.38 ,0.42 ,3.8,4.0 ,1444,4.8  ,3.5 ,11429  ,      
 ,D,Danilo          ,MCI ,D,0.56 ,0.82 ,4.8,6.1 ,658 ,5.0  ,2.5 ,10901  ,      
 ,J,Tarkowski       ,BUR ,D,0.38 ,0.38 ,3.8,3.8 ,1620,4.7  ,3.6 ,10885  ,      
x,O,Niasse          ,EVE ,F,0.53 ,1.06 ,4.5,7.0 ,487 ,4.7  ,3.5 ,9937   ,      
 ,L,Dunk            ,BHA ,D,0.18 ,0.18 ,2.8,2.8 ,1890,4.5  ,3.3 ,9471   ,      
 ,B,Bruno           ,BHA ,D,0.33 ,0.38 ,3.5,3.7 ,1532,4.5  ,1.3 ,9288   ,      
 ,P,Zabaleta        ,WHU ,D,0.12 ,0.12 ,2.6,2.6 ,1669,4.9  ,2.2 ,9149   ,      
 ,T,Alexander-Arnold,LIV ,D,0.57 ,0.57 ,4.4,4.4 ,619 ,4.2  ,2.1 ,8805   ,      
 ,H,Maguire         ,LEI ,D,0.28 ,0.28 ,3.5,3.5 ,1890,5.3  ,10.7,8764   ,      
 ,S,Aurier          ,TOT ,D,0.31 ,0.36 ,3.8,4.1 ,726 ,5.9  ,0.7 ,8520   ,      
 ,C,Quaner          ,HUD ,F,0.0  ,0.17 ,2.0,2.8 ,671 ,4.6  ,6.0 ,8227   ,      
 ,M,Rashford        ,MUN ,F,0.17 ,0.22 ,3.3,3.7 ,1269,7.6  ,8.3 ,7885   ,      
 ,E,Dier            ,TOT ,M,0.04 ,0.06 ,2.2,2.3 ,1688,4.7  ,2.5 ,7789   ,      
 ,C,Schindler       ,HUD ,D,0.26 ,0.26 ,3.2,3.2 ,1766,4.6  ,3.5 ,7675   ,      
x,N,Pope            ,BUR ,G,0.65 ,0.65 ,5.1,5.1 ,1584,4.8  ,7.2 ,7449   ,      
 ,L,Depoitre        ,HUD ,F,0.31 ,0.45 ,3.7,4.5 ,1212,5.5  ,6.9 ,6956   ,      
 ,J,Tomkins         ,CRY ,D,0.23 ,0.33 ,3.0,3.4 ,952 ,4.3  ,0.6 ,6731   ,      
 ,W,Morgan          ,LEI ,D,0.02 ,0.02 ,2.1,2.1 ,1890,4.5  ,3.0 ,5542   ,      
