O,I,web_name     ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123122
 ,C,Austin       ,SOU ,F,0.21 ,0.85 ,3.3,7.2 ,596 ,6.1  ,1.7 ,-10794 ,      
x,O,Niasse       ,EVE ,F,0.53 ,1.06 ,4.5,7.0 ,487 ,4.7  ,3.5 ,9937   ,      
 ,S,Agüero       ,MCI ,F,0.4  ,0.42 ,6.6,6.9 ,1241,11.6 ,20.0,51133  ,      
x,H,Kane         ,TOT ,F,0.38 ,0.38 ,6.9,6.9 ,1659,12.8 ,39.5,246722 ,      
 ,W,Rooney       ,EVE ,F,0.45 ,0.53 ,5.4,6.0 ,1277,7.5  ,16.8,-28419 ,      
x,R,Firmino      ,LIV ,F,0.38 ,0.43 ,5.4,5.9 ,1487,9.0  ,36.7,26094  ,      
 ,G,Jesus        ,MCI ,F,0.23 ,0.37 ,4.3,5.7 ,1007,10.0 ,7.3 ,-37629 ,      
 ,Á,Morata       ,CHE ,F,0.3  ,0.33 ,5.2,5.5 ,1334,10.6 ,19.5,-118082,      
 ,S,Okazaki      ,LEI ,F,0.25 ,0.58 ,3.4,5.2 ,829 ,5.5  ,5.4 ,-4388  ,      
 ,R,Lukaku       ,MUN ,F,0.24 ,0.26 ,4.7,4.9 ,1813,11.3 ,25.9,-195087,      
 ,J,Vardy        ,LEI ,F,0.3  ,0.3  ,4.6,4.6 ,1819,8.6  ,16.3,75349  ,      
 ,C,Wilson       ,BOU ,F,0.26 ,0.44 ,3.5,4.5 ,696 ,5.7  ,1.9 ,-521   ,      
 ,L,Depoitre     ,HUD ,F,0.31 ,0.45 ,3.7,4.5 ,1212,5.5  ,6.9 ,6956   ,      
 ,S,Mounie       ,HUD ,F,0.18 ,0.44 ,3.0,4.5 ,763 ,5.7  ,1.0 ,-1721  ,      
 ,A,Lacazette    ,ARS ,F,0.19 ,0.22 ,4.0,4.3 ,1434,10.3 ,9.1 ,-14912 ,      
 ,T,Hemed        ,BHA ,F,0.15 ,0.46 ,2.7,4.2 ,775 ,4.8  ,1.3 ,1286   ,      
~,~,~~~~~~~~     ,~~~~,~,~~~~ ,~~~~~,~~~,4.15,~~~ ,~~~~~,~   ,~~~    ,~~~~~~
 ,W,Bony         ,SWA ,F,0.11 ,0.35 ,2.6,4.0 ,650 ,5.7  ,0.2 ,-816   ,      
 ,J,Defoe        ,BOU ,F,0.09 ,0.25 ,2.7,3.9 ,787 ,7.6  ,1.4 ,-531   ,      
 ,G,Murray       ,BHA ,F,0.12 ,0.32 ,2.7,3.8 ,1053,5.7  ,2.1 ,-2418  ,      
 ,D,Gayle        ,NEW ,F,0.07 ,0.3  ,2.4,3.8 ,951 ,6.1  ,1.2 ,-469   ,      
 ,M,Rashford     ,MUN ,F,0.17 ,0.22 ,3.3,3.7 ,1269,7.6  ,8.3 ,7885   ,      
 ,J,Chicharito   ,WHU ,F,0.18 ,0.25 ,3.2,3.7 ,959 ,6.7  ,7.0 ,18550  ,      
 ,A,Gray         ,WAT ,F,0.08 ,0.25 ,2.5,3.6 ,1030,6.3  ,1.7 ,-5494  ,      
 ,D,Calvert-Lewin,EVE ,F,0.2  ,0.29 ,3.1,3.6 ,1511,5.5  ,13.6,-46516 ,      
 ,C,Wood         ,BUR ,F,0.21 ,0.25 ,3.3,3.6 ,1021,6.3  ,1.0 ,-3098  ,      
 ,M,Diouf        ,STK ,F,0.2  ,0.25 ,3.1,3.4 ,1617,5.5  ,3.8 ,-9326  ,      
 ,T,Abraham      ,SWA ,F,0.21 ,0.23 ,3.2,3.3 ,1390,5.6  ,6.7 ,-18575 ,      
 ,P,Crouch       ,STK ,F,0.14 ,0.2  ,2.7,3.0 ,753 ,4.9  ,3.4 ,-2792  ,      
 ,J,Joselu       ,NEW ,F,0.13 ,0.18 ,2.7,3.0 ,1358,5.5  ,0.7 ,455    ,      
 ,J,King         ,BOU ,F,0.13 ,0.13 ,2.9,2.9 ,1465,7.0  ,1.2 ,-1686  ,      
 ,A,Barnes       ,BUR ,F,-0.04,0.17 ,1.8,2.9 ,806 ,5.2  ,0.8 ,353    ,      
 ,J,Ayew         ,SWA ,F,0.18 ,0.18 ,2.9,2.9 ,1595,5.0  ,4.0 ,30088  ,      
 ,C,Quaner       ,HUD ,F,0.0  ,0.17 ,2.0,2.8 ,671 ,4.6  ,6.0 ,8227   ,      
 ,J,Rodriguez    ,WBA ,F,0.09 ,0.13 ,2.5,2.7 ,1537,5.5  ,0.6 ,1584   ,      
 ,A,Pérez        ,NEW ,F,0.0  ,0.12 ,2.0,2.6 ,1147,5.2  ,0.7 ,-447   ,      
 ,S,Rondón       ,WBA ,F,0.02 ,0.07 ,2.1,2.4 ,1290,6.0  ,0.6 ,-2160  ,      
 ,C,Benteke      ,CRY ,F,0.01 ,0.03 ,2.1,2.2 ,1208,7.6  ,2.0 ,1105   ,      
 ,O,Giroud       ,ARS ,F,0.05 ,0.0  ,2.4,2.0 ,360 ,8.2  ,1.0 ,-432   ,      
