W,I,web_name  ,team,T,px ,m% ,VA/M,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,011122
m,V,Guaita    ,CRY ,G,4.2,24 ,0.67,0.67 ,4.8,4.8 ,4.8 ,1.5 ,42701 ,47 ,      
m,N,Etheridge ,CAR ,G,4.6,100,0.48,0.48 ,4.2,4.2 ,5.8 ,9.1 ,116280,21 ,      
 ,A,Alisson   ,LIV ,G,5.9,100,0.47,0.47 ,4.8,4.8 ,4.0 ,25.0,35496 ,2  ,      
m,H,Lloris    ,TOT ,G,5.4,81 ,0.46,0.46 ,4.5,4.5 ,4.4 ,5.0 ,-1234 ,0  ,      
 ,W,Hennessey ,CRY ,G,4.5,76 ,0.44,0.44 ,4.0,4.0 ,0.0 ,4.3 ,-22137,-8 ,      
o,L,Fabianski ,WHU ,G,4.8,100,0.4 ,0.4  ,3.9,3.9 ,3.6 ,18.0,-49771,-5 ,      
 ,K,Kepa      ,CHE ,G,5.6,100,0.39,0.39 ,4.2,4.2 ,3.6 ,6.5 ,8606  ,2  ,      
o,J,Hart      ,BUR ,G,4.4,90 ,0.36,0.36 ,3.6,3.6 ,0.8 ,7.2 ,-51611,-12,      
 ,E,Ederson   ,MCI ,G,5.6,100,0.36,0.36 ,4.0,4.0 ,2.0 ,21.2,-32315,-2 ,      
 ,K,Schmeichel,LEI ,G,5.0,100,0.34,0.34 ,3.7,3.7 ,4.6 ,5.2 ,11859 ,4  ,      
 ,M,Dubravka  ,NEW ,G,5.0,100,0.34,0.34 ,3.7,3.7 ,4.2 ,0.6 ,-1131 ,-3 ,      
~,~,~~~~~~~~  ,~~~~,~,~~ ,~~ ,~~~~,0.34 ,~~~,~~~~,~~~~,~   ,~~~   ,~~ ,~~~~~~
 ,J,Pickford  ,EVE ,G,5.0,100,0.32,0.32 ,3.6,3.6 ,1.6 ,13.7,-22522,-3 ,      
 ,J,Lössl     ,HUD ,G,4.4,90 ,0.32,0.32 ,3.4,3.4 ,4.4 ,1.9 ,1374  ,1  ,      
 ,R,Patrício  ,WOL ,G,4.5,100,0.31,0.31 ,3.4,3.4 ,3.0 ,8.7 ,-13765,-3 ,      
 ,M,Ryan      ,BHA ,G,4.4,90 ,0.3 ,0.3  ,3.3,3.3 ,1.0 ,3.2 ,-25294,-13,      
 ,B,Foster    ,WAT ,G,4.5,100,0.29,0.29 ,3.3,3.3 ,3.6 ,4.7 ,8075  ,3  ,      
 ,S,Rico      ,FUL ,G,4.4,57 ,0.25,0.25 ,3.1,3.1 ,4.2 ,0.4 ,668   ,3  ,      
 ,A,McCarthy  ,SOU ,G,4.4,95 ,0.23,0.23 ,3.0,3.0 ,1.6 ,2.7 ,-9380 ,-6 ,      
 ,A,Begovic   ,BOU ,G,4.4,100,0.2 ,0.2  ,2.9,2.9 ,2.4 ,3.7 ,-3332 ,-1 ,      
 ,D,De Gea    ,MUN ,G,5.7,100,0.18,0.18 ,3.0,3.0 ,3.2 ,14.4,-11892,-1 ,      
 ,B,Leno      ,ARS ,G,4.8,69 ,0.13,0.13 ,2.6,2.6 ,2.0 ,2.2 ,-5124 ,-4 ,      
