W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,011122
 ,H,Son            ,TOT ,M,8.8 ,52 ,0.51 ,0.76 ,6.5,8.7 ,10.6,16.3,-48322 ,-5 ,      
 ,L,Sané           ,MCI ,M,9.5 ,62 ,0.38 ,0.64 ,5.6,8.1 ,5.0 ,10.9,79504  ,12 ,      
o,E,Hazard         ,CHE ,M,11.1,84 ,0.45 ,0.5  ,7.0,7.5 ,7.2 ,38.0,-52764 ,-2 ,      
m,M,Salah          ,LIV ,M,13.3,93 ,0.39 ,0.41 ,7.2,7.4 ,8.0 ,43.0,109873 ,4  ,      
 ,R,Sterling       ,MCI ,M,11.3,78 ,0.45 ,0.45 ,7.1,7.1 ,4.2 ,10.3,-18861 ,-3 ,      
o,A,Martial        ,MUN ,M,7.3 ,54 ,0.45 ,0.66 ,5.3,6.8 ,3.2 ,7.8 ,-30976 ,-7 ,      
 ,S,Mané           ,LIV ,M,9.5 ,83 ,0.37 ,0.4  ,5.5,5.8 ,4.8 ,19.3,-178   ,0  ,      
o,P,Pogba          ,MUN ,M,8.4 ,79 ,0.43 ,0.45 ,5.6,5.8 ,9.8 ,30.2,16909  ,1  ,      
 ,R,Fraser         ,BOU ,M,6.1 ,88 ,0.52 ,0.57 ,5.2,5.5 ,4.2 ,22.2,64254  ,5  ,      
o,R,Richarlison    ,EVE ,M,6.9 ,83 ,0.45 ,0.51 ,5.1,5.5 ,3.2 ,29.1,-34339 ,-2 ,      
 ,D,David Silva    ,MCI ,M,8.5 ,66 ,0.35 ,0.41 ,5.0,5.5 ,2.6 ,4.2 ,16999  ,7  ,      
 ,C,Eriksen        ,TOT ,M,9.3 ,66 ,0.27 ,0.37 ,4.5,5.4 ,7.2 ,6.2 ,6848   ,2  ,      
 ,G,Sigurdsson     ,EVE ,M,7.3 ,90 ,0.37 ,0.42 ,4.7,5.1 ,4.6 ,6.4 ,-428   ,0  ,      
 ,L,Lucas Moura    ,TOT ,M,6.9 ,71 ,0.35 ,0.45 ,4.4,5.1 ,3.2 ,7.2 ,-72260 ,-16,      
 ,X,Shaqiri        ,LIV ,M,7.1 ,43 ,0.38 ,0.42 ,4.7,5.0 ,5.0 ,3.4 ,-331   ,0  ,      
o,F,Felipe Anderson,WHU ,M,7.4 ,94 ,0.41 ,0.41 ,5.0,5.0 ,5.4 ,18.8,-100807,-9 ,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,88 ,0.37 ,0.39 ,4.8,4.9 ,5.4 ,8.0 ,88165  ,18 ,      
m,R,Pereyra        ,WAT ,M,6.3 ,96 ,0.43 ,0.46 ,4.7,4.9 ,5.4 ,17.0,5393   ,1  ,      
 ,G,Deulofeu       ,WAT ,M,5.5 ,48 ,0.33 ,0.53 ,3.8,4.9 ,6.2 ,2.3 ,20319  ,14 ,      
 ,A,Herrera        ,MUN ,M,5.0 ,44 ,0.26 ,0.56 ,3.3,4.8 ,4.2 ,1.4 ,1642   ,2  ,      
 ,K,Sema           ,WAT ,M,4.6 ,22 ,0.17 ,0.57 ,2.8,4.6 ,4.4 ,0.2 ,9774   ,80 ,      
 ,J,Maddison       ,LEI ,M,6.8 ,78 ,0.29 ,0.37 ,4.0,4.5 ,1.8 ,4.8 ,-10895 ,-4 ,      
