W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,011617
,D,Lovren,LIV,D,4.9,41,0.82,0.82,6.0,6.0,5.2,2.2,-25427,-19,
,T,Alexander-Arnold,LIV,D,5.2,76,0.67,0.67,5.5,5.5,4.0,19.3,-183186,-16,
m,A,Robertson,LIV,D,6.7,90,0.63,0.63,6.2,6.2,5.4,35.2,80914,4,
,R,Pereira,LEI,D,5.3,85,0.58,0.58,5.1,5.1,6.8,12.4,27088,4,
,M,Alonso,CHE,D,6.6,99,0.52,0.52,5.4,5.4,3.8,36.9,-128364,-6,
,V,van Dijk,LIV,D,6.4,98,0.48,0.52,5.1,5.3,6.2,27.7,51568,3,
,D,David Luiz,CHE,D,5.9,95,0.51,0.51,5.0,5.0,6.0,13.3,29349,4,
,K,Trippier,TOT,D,6.1,73,0.48,0.51,4.9,5.1,2.4,18.3,12393,1,
,S,Duffy,BHA,D,4.6,83,0.41,0.48,3.9,4.2,3.6,4.3,4928,2,
m,L,Digne,EVE,D,5.3,86,0.43,0.47,4.3,4.5,6.2,15.4,126558,13,
,J,Holebas,WAT,D,4.8,82,0.35,0.4,3.7,3.9,3.4,12.7,13342,2,
o,M,Doherty,WOL,D,5.2,98,0.4,0.4,4.1,4.1,2.0,23.0,-8696,-1,
,K,Walker,MCI,D,6.4,73,0.33,0.39,4.1,4.5,1.8,10.4,-4274,-1,
o,A,Wan-Bissaka,CRY,D,4.5,95,0.38,0.38,3.7,3.7,4.2,33.0,11979,1,
,A,Rüdiger,CHE,D,6.0,99,0.37,0.37,4.2,4.2,3.6,4.6,-12334,-4,
,P,van Aanholt,CRY,D,5.4,98,0.35,0.37,3.9,4.0,4.6,4.0,-4682,-2,
o,M,Keane,EVE,D,4.9,86,0.35,0.35,3.7,3.7,2.0,3.4,-3065,-1,
m,S,Bamba,CAR,D,4.5,95,0.33,0.33,3.5,3.5,4.0,2.7,16337,10,
m,J,Jonny,WOL,D,4.3,77,0.28,0.33,3.2,3.4,1.0,2.3,3882,3,
,C,Azpilicueta,CHE,D,6.3,100,0.32,0.32,4.0,4.0,3.6,9.1,-13151,-2,
,H,Maguire,LEI,D,5.4,74,0.28,0.31,3.5,3.7,3.4,9.1,-6638,-1,
,A,Laporte,MCI,D,5.9,95,0.29,0.31,3.7,3.8,2.2,10.8,4987,1,
,T,Alderweireld,TOT,D,6.0,90,0.3,0.3,3.8,3.8,3.2,4.1,204,0,
,M,Sakho,CRY,D,4.9,100,0.29,0.29,3.4,3.4,3.8,1.8,-935,-1,
,W,Boly,WOL,D,4.6,96,0.22,0.28,3.0,3.3,2.0,4.7,-35102,-12,
,B,Chilwell,LEI,D,5.1,95,0.27,0.27,3.4,3.4,3.2,2.4,-10250,-7,
,J,Tarkowski,BUR,D,4.7,83,0.23,0.26,3.1,3.2,2.6,4.4,-7016,-3,
,K,Zouma,EVE,D,5.0,68,0.18,0.26,2.9,3.3,3.6,0.3,2733,15,
m,C,Cédric,SOU,D,4.2,73,0.24,0.26,3.0,3.1,1.4,3.8,5422,2,
,M,Zanka,HUD,D,4.4,90,0.25,0.25,3.1,3.1,3.4,3.2,-1716,-1,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,0.25,~~~,~~~~,~~~~,~,~~~,~~,~~~~~~
