O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,011220
x,M,Salah,LIV,M,0.59,0.64,8.0,8.5,8.2,1586,10.1,50.1,-42800,
x,R,Sterling,MCI,M,0.6,0.7,7.3,8.2,9.2,1509,8.9,37.9,139934,
,P,Coutinho,LIV,M,0.59,0.64,7.4,7.8,7.2,1109,9.1,7.0,-498025,
x,J,Lingard,MUN,M,0.44,0.73,4.8,6.6,7.6,917,6.3,18.4,437399,
,E,Hazard,CHE,M,0.31,0.42,5.3,6.5,4.4,1191,10.7,8.1,-25249,
,K,De Bruyne,MCI,M,0.41,0.41,6.2,6.2,6.8,1874,10.2,21.3,41160,
,P,Pogba,MUN,M,0.54,0.53,6.3,6.2,3.8,1042,7.9,13.4,119705,
x,H,Son,TOT,M,0.33,0.52,4.7,6.2,6.2,1293,8.1,13.1,24568,
,R,Mahrez,LEI,M,0.43,0.47,5.7,6.0,6.8,1759,8.6,11.8,158142,
,S,Mané,LIV,M,0.32,0.42,5.0,5.9,3.2,986,9.3,7.1,21495,
,L,Sané,MCI,M,0.39,0.46,5.3,5.9,4.2,1366,8.5,12.0,-38277,
,D,David Silva,MCI,M,0.44,0.47,5.6,5.8,0.8,1606,8.1,10.0,-32213,
,A,Ramsey,ARS,M,0.49,0.54,5.4,5.7,0.0,1196,6.9,2.5,-3277,
,A,Sánchez,ARS,M,0.26,0.31,5.1,5.6,6.4,1501,11.8,3.1,12711,
,W,Willian,CHE,M,0.25,0.48,3.7,5.2,5.0,1076,6.7,8.2,16472,
,C,Eriksen,TOT,M,0.34,0.34,5.2,5.2,4.6,1872,9.3,18.5,-20170,
,P,Groß,BHA,M,0.44,0.51,4.6,5.0,4.0,1685,5.9,17.4,-14766,
,A,Martial,MUN,M,0.29,0.38,4.3,5.0,3.6,909,8.0,2.5,13251,
,B,Alli,TOT,M,0.32,0.33,4.9,5.0,6.8,1744,9.0,15.5,-2915,
,M,Özil,ARS,M,0.27,0.31,4.5,4.9,4.2,1460,9.3,2.4,-900,
,J,Mata,MUN,M,0.32,0.43,4.2,4.9,5.8,1174,6.8,2.5,3263,
,I,Gündogan,MCI,M,0.0,0.53,2.0,4.8,3.6,470,5.3,0.6,-3509,
x,M,Arnautovic,WHU,M,0.21,0.4,3.5,4.8,7.2,1095,7.0,7.8,-61170,
,R,Richarlison,WAT,M,0.39,0.39,4.5,4.5,3.2,1892,6.4,15.6,-25946,
,A,Young,MUN,M,0.44,0.48,4.2,4.4,3.8,1434,5.0,2.5,-91197,
,R,Fraser,BOU,M,0.25,0.45,3.3,4.3,4.0,867,5.1,0.6,-6947,
,E,Choupo-Moting,STK,M,0.33,0.43,3.8,4.3,3.4,1615,5.4,3.5,-16700,
,M,Albrighton,LEI,M,0.29,0.4,3.6,4.2,5.8,1567,5.5,2.8,42175,
,X,Shaqiri,STK,M,0.33,0.37,4.0,4.2,1.4,1614,6.0,5.8,-50588,
,A,Doucouré,WAT,M,0.4,0.4,4.1,4.1,3.0,1890,5.3,12.1,1923,
,C,Atsu,NEW,M,0.31,0.42,3.5,4.0,4.6,1344,4.8,2.0,13416,
,A,Surman,BOU,M,0.4,0.4,3.9,3.9,0.8,1530,4.7,5.5,-24337,
,S,Arfield,BUR,M,0.31,0.39,3.5,3.9,3.0,1175,4.9,0.4,-1080,
