team,23~26_avg,23,24~27_avg,24,25~28_avg,25,26,27,28
ARS,3.47,4,2.8,2,3.6,5,2,2,2
BHA,3.2,4,2.4,2,2.87,3,2,4,3
BOU,3.27,3,3.53,4,3.07,2,5,3,4
BUR,3.13,3,3.33,4,2.53,2,3,4,2
CAR,2.53,2,3.13,4,2.2,2,2,3,3
CHE,3.53,4,2.93,3,2.93,2,5,2,4
CRY,3.67,5,2.2,2,2.53,2,3,3,4
EVE,2.2,2,2.53,2,3.07,3,3,4,2
FUL,3.2,4,2.33,2,2.67,2,4,3,2
HUD,3.73,4,3.33,3,3.67,4,4,2,3
LEI,3.8,3,4.53,5,3.87,4,5,2,2
LIV,2.4,2,2.93,3,2.87,3,2,4,3
MCI,2.4,2,2.87,2,3.8,4,4,3,3
MUN,2.13,2,2.4,2,2.8,3,2,4,2
NEW,3.0,2,4.0,4,3.87,5,3,2,2
SOU,2.53,3,2.13,2,2.27,2,2,4,2
TOT,2.33,2,2.67,3,2.4,2,3,2,4
WAT,3.0,2,4.0,5,3.0,3,3,2,5
WHU,3.07,3,3.07,3,3.27,4,2,2,5
WOL,2.93,3,2.87,3,2.67,3,2,3,2
