O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,011921
x,M,Arnautovic      ,WHU ,M,0.31 ,0.51 ,4.2,5.6 ,8.6 ,1177,7.0  ,12.3,252610 ,      
x,R,Firmino         ,LIV ,F,0.36 ,0.43 ,5.3,6.0 ,7.0 ,1595,9.2  ,39.5,191063 ,      
x,M,Salah           ,LIV ,M,0.6  ,0.65 ,8.1,8.6 ,8.8 ,1673,10.2 ,53.9,181720 ,      
 ,C,Wilson          ,BOU ,F,0.41 ,0.59 ,4.4,5.4 ,5.8 ,876 ,5.8  ,4.4 ,114083 ,      
 ,J,Ayew            ,SWA ,F,0.2  ,0.22 ,3.0,3.1 ,5.4 ,1775,5.1  ,7.8 ,114053 ,      
x,H,Kane            ,TOT ,F,0.36 ,0.38 ,6.7,7.0 ,10.0,1861,13.0 ,48.3,106891 ,      
x,H,Son             ,TOT ,M,0.38 ,0.56 ,5.1,6.6 ,8.4 ,1383,8.2  ,14.7,88073  ,      
 ,A,Chamberlain     ,LIV ,M,0.14 ,0.42 ,2.8,4.4 ,4.8 ,1150,5.7  ,3.3 ,87768  ,      
 ,P,Pogba           ,MUN ,M,0.57 ,0.57 ,6.6,6.6 ,6.0 ,1132,8.0  ,14.9,65919  ,      
 ,J,Tomkins         ,CRY ,D,0.26 ,0.35 ,3.1,3.5 ,4.6 ,1132,4.3  ,2.6 ,51677  ,      
 ,H,Maguire         ,LEI ,D,0.31 ,0.31 ,3.7,3.7 ,3.8 ,2070,5.4  ,11.9,48682  ,      
 ,J,Vardy           ,LEI ,F,0.29 ,0.29 ,4.5,4.5 ,4.2 ,1900,8.5  ,15.8,45189  ,      
 ,M,Lanzini         ,WHU ,M,0.32 ,0.38 ,4.2,4.6 ,4.4 ,1386,6.8  ,2.9 ,44231  ,      
 ,A,Doucouré        ,WAT ,M,0.43 ,0.43 ,4.3,4.3 ,3.4 ,1980,5.3  ,12.9,41738  ,      
 ,R,Mahrez          ,LEI ,M,0.42 ,0.44 ,5.6,5.8 ,7.0 ,1849,8.6  ,12.6,38818  ,      
 ,J,Evans           ,WBA ,D,0.2  ,0.24 ,3.0,3.2 ,4.8 ,1734,4.9  ,1.7 ,36772  ,      
