O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,011921
 ,D,Danilo          ,MCI ,D,0.44 ,0.68 ,4.2,5.4 ,4.4 ,740 ,5.0  ,2.7 ,4631  ,      
 ,B,Davies          ,TOT ,D,0.49 ,0.64 ,4.7,5.5 ,4.2 ,1333,5.5  ,13.9,14847 ,      
 ,S,Mustafi         ,ARS ,D,0.47 ,0.62 ,4.6,5.4 ,2.2 ,1139,5.5  ,3.4 ,-4871 ,      
 ,L,Shaw            ,MUN ,D,0.61 ,0.61 ,5.0,5.0 ,3.6 ,442 ,4.9  ,1.3 ,19266 ,      
 ,T,Alexander-Arnold,LIV ,D,0.6  ,0.6  ,4.5,4.5 ,3.8 ,709 ,4.2  ,2.9 ,4104  ,      
 ,P,Jones           ,MUN ,D,0.54 ,0.6  ,5.1,5.4 ,4.6 ,1523,5.7  ,16.4,15539 ,      
 ,R,Klavan          ,LIV ,D,0.48 ,0.59 ,4.1,4.6 ,4.0 ,1172,4.4  ,3.3 ,-3701 ,      
 ,K,Trippier        ,TOT ,D,0.53 ,0.58 ,4.8,5.1 ,1.8 ,1173,5.3  ,4.0 ,-23495,      
 ,S,Ward            ,BUR ,D,0.53 ,0.57 ,4.5,4.7 ,0.0 ,1470,4.7  ,7.7 ,-55563,      
 ,A,Rüdiger         ,CHE ,D,0.53 ,0.56 ,5.1,5.3 ,6.4 ,1374,5.9  ,3.7 ,19669 ,      
 ,A,Valencia        ,MUN ,D,0.55 ,0.55 ,5.7,5.7 ,3.0 ,1685,6.7  ,8.5 ,33529 ,      
x,M,Alonso          ,CHE ,D,0.51 ,0.51 ,5.7,5.7 ,8.2 ,1979,7.3  ,26.2,36155 ,      
 ,C,Azpilicueta     ,CHE ,D,0.5  ,0.5  ,5.5,5.5 ,6.4 ,1980,7.0  ,23.0,-2051 ,      
 ,M,Kelly           ,CRY ,D,0.38 ,0.5  ,3.6,4.1 ,3.2 ,648 ,4.2  ,0.9 ,14535 ,      
 ,N,Monreal         ,ARS ,D,0.45 ,0.48 ,4.5,4.7 ,0.2 ,1665,5.6  ,4.5 ,-23608,      
 ,M,Lowton          ,BUR ,D,0.48 ,0.48 ,4.1,4.1 ,0.0 ,1170,4.4  ,1.9 ,-8012 ,      
 ,S,Kolasinac       ,ARS ,D,0.44 ,0.47 ,4.6,4.8 ,0.4 ,1423,5.9  ,7.2 ,-15086,      
x,N,Otamendi        ,MCI ,D,0.46 ,0.46 ,5.0,5.0 ,4.8 ,1960,6.5  ,32.8,-20934,      
 ,M,Wagué           ,WAT ,D,0.31 ,0.44 ,3.4,4.0 ,3.2 ,378 ,4.5  ,0.1 ,-40   ,      
 ,S,Aurier          ,TOT ,D,0.37 ,0.42 ,4.2,4.5 ,4.2 ,906 ,5.9  ,0.9 ,4282  ,      
 ,J,Stones          ,MCI ,D,0.31 ,0.41 ,3.7,4.2 ,1.2 ,1040,5.4  ,4.2 ,21852 ,      
 ,V,Moses           ,CHE ,D,0.3  ,0.39 ,3.9,4.5 ,4.0 ,1152,6.4  ,1.2 ,722   ,      
 ,A,Moreno          ,LIV ,D,0.39 ,0.39 ,3.7,3.7 ,0.0 ,1080,4.4  ,1.3 ,-2464 ,      
 ,K,Walker          ,MCI ,D,0.35 ,0.39 ,4.3,4.6 ,4.8 ,1843,6.6  ,12.9,-3269 ,      
 ,J,Gomez           ,LIV ,D,0.32 ,0.38 ,3.5,3.8 ,1.2 ,1451,4.7  ,5.9 ,8298  ,      
 ,M,Yoshida         ,SOU ,D,0.35 ,0.38 ,3.7,3.8 ,1.8 ,1534,4.8  ,3.2 ,-31019,      
