W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,012910
o,N,Etheridge,CAR,G,4.6,100,0.52,0.52,4.4,4.4,4.3,11.3,26275,4,
,A,Alisson,LIV,G,6.0,100,0.45,0.45,4.7,4.7,2.7,25.1,-19369,-1,
,W,Hennessey,CRY,G,4.5,72,0.4,0.44,3.8,4.0,0.0,3.3,-23643,-12,
,H,Lloris,TOT,G,5.4,83,0.44,0.44,4.4,4.4,4.7,5.1,1558,0,
o,L,Fabianski,WHU,G,4.8,100,0.42,0.42,4.0,4.0,4.3,17.7,-7537,-1,
,E,Ederson,MCI,G,5.6,100,0.39,0.39,4.2,4.2,4.7,21.0,11471,1,
,J,Hart,BUR,G,4.4,83,0.36,0.36,3.6,3.6,0.0,6.0,-21606,-6,
,K,Kepa,CHE,G,5.6,100,0.36,0.36,4.0,4.0,3.7,5.7,-10639,-3,
,B,Foster,WAT,G,4.5,100,0.36,0.36,3.6,3.6,5.3,5.2,14775,5,
,J,Pickford,EVE,G,5.0,100,0.34,0.34,3.7,3.7,4.7,13.4,-3772,0,
,M,Dubravka,NEW,G,5.0,100,0.34,0.34,3.7,3.7,3.3,0.6,-1452,-4,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,0.34,~~~,~~~~,~~~~,~,~~~,~~,~~~~~~
,J,Lössl,HUD,G,4.4,91,0.32,0.32,3.4,3.4,3.3,1.9,1104,1,
,M,Ryan,BHA,G,4.4,83,0.3,0.3,3.3,3.3,0.0,2.8,-2981,-2,
,R,Patrício,WOL,G,4.5,100,0.29,0.29,3.3,3.3,2.0,8.6,1160,0,
,K,Schmeichel,LEI,G,5.0,100,0.28,0.28,3.4,3.4,2.7,4.8,-11250,-4,
,D,De Gea,MUN,G,5.7,100,0.23,0.23,3.3,3.3,5.8,15.8,20376,2,
,A,McCarthy,SOU,G,4.4,96,0.23,0.23,3.0,3.0,1.7,2.7,3058,2,
,A,Begovic,BOU,G,4.4,96,0.18,0.18,2.8,2.8,0.8,3.5,-5991,-3,
,B,Leno,ARS,G,4.8,72,0.17,0.17,2.8,2.8,3.7,2.2,10326,8,
