W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,012910
m,L,Sané,MCI,M,9.7,63,0.41,0.66,6.0,8.4,10.0,18.2,165272,15,
,H,Son,TOT,M,8.6,52,0.49,0.72,6.2,8.2,5.0,5.5,13207,4,
o,M,Salah,LIV,M,13.6,93,0.42,0.43,7.7,7.9,9.3,50.7,137304,4,
,R,Sterling,MCI,M,11.3,80,0.46,0.46,7.2,7.2,7.0,11.0,9288,1,
o,E,Hazard,CHE,M,11.0,85,0.42,0.46,6.6,7.1,3.3,32.6,-160054,-8,
o,A,Martial,MUN,M,7.3,57,0.41,0.56,5.0,6.1,3.3,7.5,-9641,-2,
o,P,Pogba,MUN,M,8.7,81,0.43,0.45,5.7,5.9,8.5,40.9,182090,7,
m,S,Mané,LIV,M,9.5,85,0.37,0.39,5.5,5.7,4.0,18.9,-5564,0,
,R,Fraser,BOU,M,6.1,89,0.49,0.52,5.0,5.2,4.5,22.0,-27329,-2,
,G,Sigurdsson,EVE,M,7.3,91,0.38,0.44,4.8,5.2,4.7,7.0,53492,12,
o,R,Richarlison,EVE,M,6.8,83,0.41,0.47,4.8,5.2,2.0,25.2,-108437,-7,
,C,Eriksen,TOT,M,9.4,69,0.27,0.34,4.5,5.2,5.7,7.2,-1892,0,
m,B,Alli,TOT,M,8.9,58,0.26,0.33,4.3,4.9,4.3,2.8,-50415,-29,
m,D,Jota,WOL,M,6.0,57,0.3,0.48,3.8,4.9,6.7,2.4,99251,67,
,B,Bernardo Silva,MCI,M,7.6,86,0.33,0.37,4.5,4.8,2.7,8.5,-45901,-9,
,F,Felipe Anderson,WHU,M,7.2,94,0.39,0.39,4.8,4.8,2.3,15.7,-118989,-12,
,R,Pereyra,WAT,M,6.3,96,0.4,0.41,4.5,4.6,2.0,15.3,-70674,-8,
,J,Maddison,LEI,M,6.7,76,0.28,0.34,3.9,4.3,1.7,3.9,-17378,-7,
,J,Gudmundsson,BUR,M,5.5,65,0.33,0.4,3.8,4.2,0.7,1.1,-4513,-7,
,D,Brooks,BOU,M,5.1,73,0.37,0.39,3.9,4.0,3.8,5.9,23811,7,
,L,Milivojevic,CRY,M,6.1,100,0.33,0.33,4.0,4.0,4.3,4.9,24052,8,
,K,Sema,WAT,M,4.6,25,0.09,0.43,2.4,4.0,4.0,0.2,-1421,-12,
