W,I,web_name        ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,020121
 ,T,Alexander-Arnold,LIV ,D,5.2,70 ,0.67 ,0.67 ,5.5,5.5 ,1.8 ,13.7,-49010 ,-6 ,      
m,A,Robertson       ,LIV ,D,6.8,91 ,0.59 ,0.59 ,6.0,6.0 ,5.3 ,37.6,13873  ,1  ,      
 ,M,Alonso          ,CHE ,D,6.5,95 ,0.49 ,0.49 ,5.2,5.2 ,1.0 ,33.2,-60652 ,-3 ,      
 ,R,Pereira         ,LEI ,D,5.3,86 ,0.49 ,0.49 ,4.6,4.6 ,1.3 ,11.8,-703   ,0  ,      
 ,V,van Dijk        ,LIV ,D,6.5,98 ,0.46 ,0.48 ,5.0,5.1 ,3.5 ,27.4,-788   ,0  ,      
 ,K,Trippier        ,TOT ,D,6.1,72 ,0.41 ,0.48 ,4.5,4.9 ,1.7 ,18.2,-4192  ,0  ,      
 ,R,Saïss           ,WOL ,D,4.2,34 ,0.21 ,0.45 ,2.9,3.9 ,4.7 ,0.5 ,15478  ,50 ,      
 ,D,David Luiz      ,CHE ,D,5.9,96 ,0.44 ,0.44 ,4.6,4.6 ,2.7 ,13.8,-6099  ,-1 ,      
 ,F,Schär           ,NEW ,D,4.6,45 ,0.28 ,0.43 ,3.3,4.0 ,7.3 ,0.5 ,3884   ,13 ,      
 ,L,Digne           ,EVE ,D,5.3,83 ,0.34 ,0.42 ,3.8,4.2 ,3.0 ,11.0,-366018,-54,      
 ,J,Holebas         ,WAT ,D,4.8,84 ,0.38 ,0.42 ,3.8,4.0 ,5.3 ,13.4,28762  ,3  ,      
o,M,Doherty         ,WOL ,D,5.3,95 ,0.38 ,0.42 ,4.0,4.2 ,2.7 ,23.7,56768  ,4  ,      
 ,L,Koscielny       ,ARS ,D,5.4,22 ,0.31 ,0.41 ,3.7,4.2 ,5.7 ,0.3 ,-4144  ,-22,      
 ,S,Duffy           ,BHA ,D,4.6,85 ,0.33 ,0.39 ,3.5,3.8 ,0.7 ,4.8 ,4450   ,2  ,      
o,M,Keane           ,EVE ,D,4.9,88 ,0.39 ,0.39 ,3.9,3.9 ,5.0 ,4.8 ,77399  ,26 ,      
 ,K,Walker          ,MCI ,D,6.4,75 ,0.34 ,0.39 ,4.2,4.5 ,4.0 ,10.8,9254   ,1  ,      
 ,D,Danilo          ,MCI ,D,5.1,29 ,0.39 ,0.39 ,4.0,4.0 ,6.0 ,1.8 ,34462  ,31 ,      
m,S,Kolasinac       ,ARS ,D,5.0,53 ,0.38 ,0.38 ,3.9,3.9 ,4.0 ,5.1 ,12428  ,4  ,      
 ,A,Adam Smith      ,BOU ,D,4.3,57 ,0.3  ,0.35 ,3.3,3.5 ,4.3 ,0.4 ,3184   ,13 ,      
 ,H,Maguire         ,LEI ,D,5.4,74 ,0.3  ,0.35 ,3.6,3.9 ,3.0 ,8.6 ,6489   ,1  ,      
 ,P,van Aanholt     ,CRY ,D,5.4,98 ,0.31 ,0.33 ,3.7,3.8 ,1.3 ,4.5 ,19024  ,7  ,      
m,J,Jonny           ,WOL ,D,4.3,79 ,0.28 ,0.33 ,3.2,3.4 ,2.3 ,2.6 ,11790  ,7  ,      
 ,A,Rüdiger         ,CHE ,D,6.0,99 ,0.32 ,0.32 ,3.9,3.9 ,1.0 ,4.3 ,-5439  ,-2 ,      
 ,H,Bellerín        ,ARS ,D,5.4,71 ,0.22 ,0.3  ,3.2,3.6 ,4.0 ,5.2 ,-8805  ,-3 ,      
o,A,Wan-Bissaka     ,CRY ,D,4.6,95 ,0.3  ,0.3  ,3.4,3.4 ,1.7 ,34.0,21873  ,1  ,      
 ,K,Zouma           ,EVE ,D,5.0,71 ,0.22 ,0.3  ,3.1,3.5 ,8.0 ,1.2 ,34455  ,47 ,      
 ,C,Azpilicueta     ,CHE ,D,6.3,100,0.29 ,0.29 ,3.8,3.8 ,1.0 ,8.7 ,-5659  ,-1 ,      
 ,A,Laporte         ,MCI ,D,5.9,96 ,0.27 ,0.29 ,3.6,3.7 ,3.3 ,12.2,37290  ,5  ,      
m,S,Bamba           ,CAR ,D,4.6,96 ,0.28 ,0.28 ,3.3,3.3 ,3.3 ,2.8 ,1759   ,1  ,      
 ,B,Chilwell        ,LEI ,D,5.0,96 ,0.28 ,0.28 ,3.4,3.4 ,2.3 ,2.2 ,3871   ,3  ,      
 ,J,Lascelles       ,NEW ,D,4.6,79 ,0.22 ,0.28 ,3.0,3.3 ,4.7 ,2.8 ,1033   ,1  ,      
 ,W,Boly            ,WOL ,D,4.6,88 ,0.22 ,0.28 ,3.0,3.3 ,-1.0,3.5 ,-3351  ,-2 ,      
 ,N,Aké             ,BOU ,D,5.0,100,0.26 ,0.26 ,3.3,3.3 ,4.3 ,5.1 ,26771  ,9  ,      
 ,J,Tarkowski       ,BUR ,D,4.7,85 ,0.23 ,0.26 ,3.1,3.2 ,2.7 ,4.4 ,5891   ,2  ,      
 ,T,Alderweireld    ,TOT ,D,6.0,91 ,0.25 ,0.25 ,3.5,3.5 ,1.7 ,4.1 ,-746   ,0  ,      
 ,M,Sakho           ,CRY ,D,4.9,100,0.24 ,0.24 ,3.2,3.2 ,1.7 ,1.8 ,825    ,1  ,      
 ,C,Cédric          ,SOU ,D,4.2,69 ,0.21 ,0.24 ,2.9,3.0 ,0.7 ,3.0 ,-20853 ,-11,      
~,~,~~~~~~~~        ,~~~~,~,~~ ,~~ ,~~~~ ,0.24 ,~~~,~~~~,~~~~,~   ,~~~    ,~~ ,~~~~~~
 ,J,Tomkins         ,CRY ,D,4.3,86 ,0.23 ,0.23 ,3.0,3.0 ,3.0 ,3.0 ,-3157  ,-2 ,      
 ,M,Zanka           ,HUD ,D,4.4,87 ,0.23 ,0.23 ,3.0,3.0 ,2.7 ,3.1 ,-1989  ,-1 ,      
 ,C,Cathcart        ,WAT ,D,4.5,95 ,0.2  ,0.2  ,2.9,2.9 ,4.3 ,0.9 ,4037   ,7  ,      
 ,S,Morrison        ,CAR ,D,4.7,91 ,0.19 ,0.19 ,2.9,2.9 ,2.0 ,0.4 ,-2284  ,-9 ,      
 ,F,Balbuena        ,WHU ,D,4.2,68 ,0.14 ,0.19 ,2.6,2.8 ,0.0 ,0.4 ,-1446  ,-6 ,      
 ,S,Steve Cook      ,BOU ,D,4.4,100,0.18 ,0.18 ,2.8,2.8 ,4.7 ,6.2 ,11981  ,3  ,      
 ,V,Lindelöf        ,MUN ,D,4.9,79 ,0.18 ,0.18 ,2.9,2.9 ,6.0 ,3.8 ,48639  ,21 ,      
 ,D,Rice            ,WHU ,D,4.4,85 ,0.16 ,0.18 ,2.7,2.8 ,5.7 ,1.8 ,385    ,0  ,      
 ,R,Bennett         ,WOL ,D,4.1,96 ,0.17 ,0.17 ,2.7,2.7 ,4.0 ,11.3,21912  ,3  ,      
 ,J,Bennett         ,CAR ,D,4.4,65 ,0.16 ,0.16 ,2.7,2.7 ,2.3 ,0.4 ,-142   ,-1 ,      
 ,C,Schindler       ,HUD ,D,4.3,97 ,0.12 ,0.16 ,2.5,2.7 ,2.7 ,2.4 ,-2724  ,-2 ,      
 ,W,Morgan          ,LEI ,D,4.5,69 ,0.16 ,0.16 ,2.7,2.7 ,2.3 ,0.9 ,-687   ,-1 ,      
 ,L,Shaw            ,MUN ,D,5.0,74 ,0.16 ,0.16 ,2.8,2.8 ,3.0 ,7.8 ,-3967  ,-1 ,      
 ,S,Coleman         ,EVE ,D,5.2,78 ,0.15 ,0.15 ,2.8,2.8 ,4.7 ,1.4 ,14924  ,17 ,      
