O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,013013
,D,de Gea,MUN,G,0.56,0.56,5.3,5.3,6.3,2160,5.9,43.0,999,
x,N,Pope,BUR,G,0.54,0.54,4.6,4.6,2.0,1854,4.8,8.5,23667,
,L,Fabianski,SWA,G,0.48,0.48,4.2,4.2,4.3,2160,4.6,7.9,22882,
,T,Courtois,CHE,G,0.42,0.42,4.3,4.3,2.3,2070,5.5,12.0,-68417,
,W,Hennessey,CRY,G,0.42,0.42,3.8,3.8,4.0,1170,4.3,1.4,13074,
,E,Ederson,MCI,G,0.39,0.41,4.2,4.3,2.3,2115,5.6,7.7,31782,
,K,Darlow,NEW,G,0.41,0.41,3.8,3.8,4.7,720,4.4,0.4,5267,
,M,Ryan,BHA,G,0.4,0.4,3.8,3.8,2.0,2160,4.5,2.5,9515,
,K,Schmeichel,LEI,G,0.4,0.4,4.0,4.0,8.7,2160,5.0,4.9,34103,
,J,Pickford,EVE,G,0.39,0.39,3.9,3.9,2.3,2160,4.9,8.3,-8195,
,R,Elliot,NEW,G,0.39,0.39,3.6,3.6,0.0,1440,4.1,19.5,-31898,
~,~,~~~~~~~~,~~~~,~,~~~~,0.37,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~~~~~
,J,Lössl,HUD,G,0.35,0.35,3.6,3.6,1.0,2160,4.6,7.4,-19201,
x,A,Adrián,WHU,G,0.34,0.34,3.5,3.5,2.5,900,4.4,3.8,6956,
,F,Forster,SOU,G,0.33,0.33,3.6,3.6,0.0,1800,4.8,4.7,-11623,
,H,Lloris,TOT,G,0.33,0.33,3.8,3.8,3.5,1980,5.4,8.1,-28475,
,B,Foster,WBA,G,0.32,0.32,3.4,3.4,4.0,2070,4.4,9.5,-797,
,S,Mignolet,LIV,G,0.31,0.31,3.5,3.5,1.0,1710,4.9,1.3,-2789,
,P,Cech,ARS,G,0.3,0.3,3.6,3.6,2.3,2160,5.4,5.0,7700,
,A,Begovic,BOU,G,0.24,0.24,3.1,3.1,2.3,2160,4.5,3.9,-4204,
,J,Butland,STK,G,0.2,0.2,3.0,3.0,5.0,1890,5.0,2.3,7563,
,H,Gomes,WAT,G,0.16,0.16,2.7,2.7,1.0,2038,4.5,1.8,-12805,
