W,I,web_name,team,T,px,m%,VA/M,VA/ML,p/g,p/gl,form,%,txn,gf,020720
o,H,Son,TOT,M,8.8,56,0.52,0.73,6.6,8.4,5.5,17.3,313582,29,
o,R,Jiménez,WOL,F,6.7,90,0.43,0.48,4.9,5.2,6.8,29.9,149103,8,
,J,Moutinho,WOL,M,5.3,87,0.28,0.32,3.5,3.7,7.3,5.8,109105,30,
o,P,Pogba,MUN,M,8.7,82,0.44,0.46,5.8,6.0,6.8,38.9,81436,3,
,G,Higuaín,CHE,F,9.5,7,0.58,0.58,7.5,7.5,7.5,3.1,79991,42,
o,M,Rashford,MUN,F,7.8,67,0.35,0.45,4.7,5.5,6.0,41.1,56599,2,
,L,Milivojevic,CRY,M,6.2,100,0.34,0.34,4.1,4.1,4.5,5.7,49689,14,
o,M,Doherty,WOL,D,5.3,95,0.4,0.42,4.1,4.2,3.3,24.7,44448,3,
m,S,Mané,LIV,M,9.5,86,0.39,0.42,5.7,6.0,6.8,19.8,42574,3,
,V,Lindelöf,MUN,D,5.0,80,0.2,0.24,3.0,3.2,6.3,4.7,41531,14,
,S,Agüero,MCI,F,11.4,71,0.35,0.39,6.0,6.5,6.8,29.8,40149,2,
,N,Kanté,CHE,M,5.0,99,0.3,0.3,3.5,3.5,3.8,18.9,35625,3,
,P,Crouch,BUR,F,4.5,1,0.44,-0.44,4.0,0.0,4.0,0.8,30738,62,
,N,Redmond,SOU,M,5.3,96,0.25,0.26,3.3,3.4,4.3,2.1,29827,23,
,A,Boruc,BOU,G,3.9,12,1.03,1.03,6.0,6.0,4.5,7.0,27072,6,
,J,Holebas,WAT,D,4.8,84,0.4,0.42,3.9,4.0,5.5,14.0,26164,3,
,M,Batshuayi,CRY,F,6.5,0,0.31,-0.31,4.0,0.0,4.0,0.7,24128,56,
m,F,Felipe Anderson,WHU,M,7.1,95,0.39,0.39,4.8,4.8,3.8,12.7,23277,3,
m,D,Jota,WOL,M,6.0,60,0.33,0.5,4.0,5.0,7.8,3.5,23002,11,
m,S,Kolasinac,ARS,D,5.0,53,0.34,0.34,3.7,3.7,3.3,5.5,22360,7,
,J,Ward-Prowse,SOU,M,5.1,37,0.25,0.45,3.3,4.3,7.8,2.0,21887,18,
o,N,Etheridge,CAR,G,4.7,100,0.49,0.49,4.3,4.3,4.8,12.1,21102,3,
,D,De Gea,MUN,G,5.7,100,0.26,0.26,3.5,3.5,6.5,16.1,19291,2,
,B,Reid,CAR,F,5.2,45,0.25,0.37,3.3,3.9,4.0,0.9,17025,31,
,A,Lacazette,ARS,F,9.3,72,0.29,0.39,4.7,5.6,4.8,6.9,16368,4,
m,S,Rondón,NEW,F,5.7,64,0.37,0.47,4.1,4.7,4.3,3.5,16254,8,
,B,Foster,WAT,G,4.6,100,0.37,0.37,3.7,3.7,5.5,5.6,15589,5,
o,J,Bednarek,SOU,D,4.0,44,-0.03,0.03,1.9,2.1,3.0,6.6,15437,4,
,L,Koscielny,ARS,D,5.4,25,0.39,0.5,4.1,4.7,6.0,0.6,14707,40,
m,G,Murray,BHA,F,6.3,71,0.25,0.37,3.6,4.3,4.3,3.0,10817,6,
,A,Townsend,CRY,M,5.9,98,0.29,0.29,3.7,3.7,4.3,4.2,10065,4,
,R,Neves,WOL,M,4.9,87,0.2,0.2,3.0,3.0,4.0,10.6,9939,2,
,A,Laporte,MCI,D,5.9,100,0.36,0.37,4.1,4.2,6.4,12.5,9685,1,
,K,Trippier,TOT,D,6.1,73,0.44,0.51,4.7,5.1,3.3,18.3,9253,1,
,C,Cathcart,WAT,D,4.5,96,0.24,0.24,3.1,3.1,5.3,1.1,8966,13,
,R,Bennett,WOL,D,4.1,96,0.15,0.15,2.6,2.6,3.5,11.6,8916,1,
o,A,Wan-Bissaka,CRY,D,4.6,95,0.33,0.33,3.5,3.5,2.5,34.2,7967,0,
,A,Westwood,BUR,M,4.5,77,0.22,0.29,3.0,3.3,3.0,2.9,7624,4,
,J,Schlupp,CRY,D,4.4,41,0.18,0.61,2.8,4.7,4.3,2.0,7447,6,
,S,Duffy,BHA,D,4.6,85,0.35,0.41,3.6,3.9,2.0,5.0,6779,2,
,J,Tomkins,CRY,D,4.3,87,0.26,0.26,3.1,3.1,3.8,3.1,6682,3,
,B,Leno,ARS,G,4.8,74,0.17,0.19,2.8,2.9,3.8,2.3,6662,5,
,L,Shaw,MUN,D,5.0,75,0.18,0.18,2.9,2.9,3.8,7.9,5916,1,
,D,Rice,WHU,D,4.4,86,0.14,0.18,2.6,2.8,4.8,2.0,5662,5,
,F,Schär,NEW,D,4.6,47,0.26,0.39,3.2,3.8,6.0,0.6,5654,15,
m,V,Guaita,CRY,G,4.2,30,0.55,0.64,4.3,4.7,2.5,1.4,5603,6,
,R,Patrício,WOL,G,4.5,100,0.31,0.31,3.4,3.4,3.5,8.8,5280,1,
,D,David Luiz,CHE,D,5.9,96,0.49,0.49,4.9,4.9,5.3,13.8,5097,1,
m,S,Bamba,CAR,D,4.6,96,0.3,0.3,3.4,3.4,4.0,2.8,4543,3,
m,J,Jonny,WOL,D,4.3,80,0.26,0.3,3.1,3.3,2.3,2.7,4523,3,
,P,Groß,BHA,M,6.7,55,0.18,0.22,3.2,3.5,5.8,1.7,4505,4,
,M,Ryan,BHA,G,4.4,84,0.3,0.3,3.3,3.3,1.8,2.9,4370,2,
,A,Mariappa,WAT,D,4.2,53,0.12,0.21,2.5,2.9,4.0,0.4,4246,17,
,P,van Aanholt,CRY,D,5.4,98,0.33,0.35,3.8,3.9,2.5,4.6,4122,1,
,M,Guendouzi,ARS,M,4.4,65,-0.11,-0.07,1.5,1.7,2.0,1.8,3460,3,
,S,March,BHA,M,4.9,86,0.2,0.22,3.0,3.1,2.0,1.1,3355,5,
,M,Sakho,CRY,D,4.9,100,0.27,0.27,3.3,3.3,3.0,1.9,2888,2,
,A,Young,MUN,D,5.7,74,0.14,0.16,2.8,2.9,4.3,1.8,2765,2,
,H,Lloris,TOT,G,5.4,84,0.43,0.43,4.3,4.3,3.8,5.2,2149,1,
,J,Lascelles,NEW,D,4.6,80,0.22,0.26,3.0,3.2,4.0,2.8,1841,1,
~,~,~~~~~~~~,~~~~,~,~~,~~,~~~~,~~~~~,~~~,~~~~,~~~~,~,1477.91,~~,~~~~~~
,H,Maguire,LEI,D,5.4,75,0.28,0.33,3.5,3.8,2.8,8.7,1434,0,
,M,Ritchie,NEW,M,5.8,81,0.14,0.17,2.8,3.0,4.3,0.4,1407,6,
,B,Chilwell,LEI,D,5.0,96,0.26,0.26,3.3,3.3,2.3,2.2,1312,1,
,A,McCarthy,SOU,G,4.4,96,0.23,0.23,3.0,3.0,2.8,2.7,1235,1,
,H,Winks,TOT,M,5.5,59,0.02,0.16,2.1,2.9,4.3,0.3,1178,6,
,B,Ecuele Manga,CAR,D,4.4,100,0.14,0.14,2.6,2.6,4.0,0.3,1164,6,
,M,Montoya,BHA,D,4.3,68,-0.02,-0.02,1.9,1.9,3.0,0.2,941,8,
m,T,Heaton,BUR,G,4.8,24,0.48,0.48,4.3,4.3,4.0,0.5,730,2,
,J,Cork,BUR,M,4.6,95,0.11,0.11,2.5,2.5,2.8,0.6,722,2,
,M,Dubravka,NEW,G,5.0,100,0.32,0.32,3.6,3.6,3.0,0.6,697,2,
,T,Cleverley,WAT,M,5.0,14,0.14,0.2,2.7,3.0,4.0,0.0,544,0.0,
,J,Bennett,CAR,D,4.4,67,0.23,0.23,3.0,3.0,3.8,0.4,472,2,
,J,McArthur,CRY,M,4.8,92,0.21,0.21,3.0,3.0,2.3,2.6,424,0,
,D,Yedlin,NEW,D,4.5,86,0.02,0.02,2.1,2.1,2.5,0.9,294,1,
,E,Capoue,WAT,M,4.8,84,0.15,0.15,2.7,2.7,2.3,0.5,127,0,
,D,Pröpper,BHA,M,4.8,83,0.04,0.04,2.2,2.2,2.8,0.1,96,2,
,N,Mendy,LEI,M,4.5,88,0.04,0.04,2.2,2.2,1.3,1.1,79,0,
,C,Paterson,CAR,M,5.0,78,0.24,0.28,3.2,3.4,2.3,0.7,42,0,
,I,Diop,WHU,D,4.3,92,0.02,0.02,2.1,2.1,2.8,0.8,32,0,
o,C,Chambers,FUL,D,4.2,63,-0.05,0.02,1.8,2.1,2.3,0.9,-21,0,
,T,Alderweireld,TOT,D,6.0,92,0.28,0.28,3.7,3.7,2.8,4.1,-33,0,
,H,Arter,CAR,M,4.9,70,-0.04,-0.02,1.8,1.9,0.8,0.2,-52,0,
,F,Hadergjonaj,HUD,D,4.4,74,0.07,0.09,2.3,2.4,2.3,0.1,-60,-1,
,M,Le Marchand,FUL,D,4.2,68,-0.21,-0.21,1.1,1.1,0.8,0.2,-79,-1,
,J,Hendrick,BUR,M,5.2,52,0.06,0.17,2.3,2.9,4.3,0.2,-84,-1,
,M,Diamé,NEW,M,4.8,81,0.02,0.04,2.1,2.2,0.0,0.1,-88,-1,
,C,Coady,WOL,D,4.5,100,0.09,0.09,2.4,2.4,1.3,0.7,-89,0,
,L,Dunk,BHA,D,4.5,88,0.16,0.18,2.7,2.8,2.0,2.6,-182,0,
,J,Lerma,BOU,M,4.5,70,0.04,-0.02,2.2,1.9,1.5,0.3,-202,-1,
,M,Lemina,SOU,M,4.7,66,0.04,0.09,2.2,2.4,0.0,0.2,-202,-2,
,I,Gueye,EVE,M,4.7,79,0.0,0.0,2.0,2.0,1.2,0.3,-206,-1,
,D,Odoi,FUL,D,4.4,90,-0.16,-0.14,1.3,1.4,1.3,0.1,-230,-4,
,N,Matic,MUN,M,5.0,86,0.04,0.04,2.2,2.2,2.3,0.8,-245,0,
,C,Taylor,BUR,D,4.4,92,0.02,0.05,2.1,2.2,2.5,0.4,-254,-1,
,A,Pérez,NEW,F,6.1,82,0.13,0.11,2.8,2.7,3.0,1.0,-294,0,
,W,Willian,CHE,M,7.2,72,0.22,0.22,3.6,3.6,4.3,4.2,-311,0,
,T,Kongolo,HUD,D,4.3,78,0.0,0.0,2.0,2.0,0.8,0.2,-320,-3,
,W,Ndidi,LEI,M,4.9,99,0.12,0.12,2.6,2.6,3.0,0.8,-427,-1,
,F,Llorente,TOT,F,5.7,11,0.07,0.7,2.4,6.0,4.3,2.6,-439,0,
,V,van Dijk,LIV,D,6.5,98,0.43,0.46,4.8,5.0,3.8,27.6,-489,0,
,J,King,BOU,F,6.4,82,0.38,0.41,4.4,4.6,7.0,5.6,-696,0,
,W,Boly,WOL,D,4.6,89,0.22,0.28,3.0,3.3,-0.3,3.4,-744,0,
,W,Morgan,LEI,D,4.5,66,0.16,0.16,2.7,2.7,1.8,0.9,-764,-1,
,F,Balbuena,WHU,D,4.2,65,0.14,0.19,2.6,2.8,0.0,0.4,-766,-3,
,J,Hogg,HUD,M,4.4,66,0.02,0.05,2.1,2.2,1.3,0.3,-776,-4,
,B,Mee,BUR,D,4.6,100,0.09,0.09,2.4,2.4,2.3,1.7,-864,-1,
,J,Seri,FUL,M,5.0,85,0.08,0.14,2.4,2.7,2.3,1.4,-891,-1,
,J,Maddison,LEI,M,6.6,76,0.26,0.32,3.7,4.1,2.3,3.7,-946,0,
,L,Torreira,ARS,M,4.8,80,0.13,0.25,2.6,3.2,1.8,4.4,-957,0,
,G,Wijnaldum,LIV,M,5.5,79,0.15,0.18,2.8,3.0,1.3,0.8,-1035,-2,
,C,Wood,BUR,F,6.2,66,0.06,0.16,2.4,3.0,3.8,0.4,-1068,-4,
,P,Billing,HUD,M,4.5,85,0.13,0.13,2.6,2.6,1.3,1.5,-1224,-1,
,S,Mustafi,ARS,D,5.4,76,0.07,0.11,2.4,2.6,0.8,1.0,-1236,-2,
,P,Zabaleta,WHU,D,4.3,71,0.14,0.14,2.6,2.6,2.0,2.1,-1400,-1,
,J,Lössl,HUD,G,4.4,91,0.27,0.27,3.2,3.2,2.5,1.9,-1681,-1,
,K,Schmeichel,LEI,G,5.0,100,0.28,0.28,3.4,3.4,1.8,4.7,-1907,-1,
,J,Tarkowski,BUR,D,4.7,85,0.23,0.26,3.1,3.2,2.5,4.4,-1921,-1,
m,A,Robertson,LIV,D,6.8,91,0.56,0.56,5.8,5.8,4.5,37.7,-1951,0,
,S,Morrison,CAR,D,4.7,87,0.19,0.19,2.9,2.9,1.5,0.4,-2085,-8,
,F,Fernandinho,MCI,M,5.3,93,0.17,0.17,2.9,2.9,1.6,4.0,-2435,-1,
,R,Snodgrass,WHU,M,5.0,66,0.1,0.32,2.5,3.6,1.3,1.1,-2475,-4,
,C,Schindler,HUD,D,4.3,97,0.09,0.14,2.4,2.6,2.0,2.4,-2706,-2,
,M,Zanka,HUD,D,4.4,83,0.23,0.23,3.0,3.0,2.0,3.1,-2908,-2,
,S,Steve Cook,BOU,D,4.4,100,0.18,0.18,2.8,2.8,3.8,6.2,-3140,-1,
,T,Walcott,EVE,M,6.0,77,0.18,0.25,3.1,3.5,1.0,2.9,-3588,-2,
,P,Højbjerg,SOU,M,4.4,71,0.16,0.16,2.7,2.7,0.8,2.5,-3816,-2,
,J,Jorginho,CHE,M,4.7,92,0.11,0.11,2.5,2.5,2.0,5.9,-3846,-1,
,S,Coleman,EVE,D,5.2,78,0.15,0.15,2.8,2.8,3.0,1.3,-3906,-5,
,W,Hennessey,CRY,G,4.5,66,0.4,0.44,3.8,4.0,0.0,3.1,-4356,-2,
,A,Begovic,BOU,G,4.4,88,0.18,0.18,2.8,2.8,0.3,3.3,-4452,-2,
,C,Azpilicueta,CHE,D,6.3,100,0.32,0.32,4.0,4.0,3.0,8.6,-4480,-1,
,W,Zaha,CRY,F,6.7,84,0.18,0.18,3.2,3.2,2.5,10.5,-4620,-1,
o,P,Aubameyang,ARS,F,11.2,89,0.36,0.29,6.0,5.3,4.5,29.4,-4689,0,
o,M,Salah,LIV,M,13.6,94,0.38,0.4,7.2,7.4,7.5,50.4,-5309,0,
,N,Aké,BOU,D,5.0,100,0.24,0.24,3.2,3.2,3.5,5.1,-5502,-2,
,K,Zouma,EVE,D,5.0,76,0.18,0.24,2.9,3.2,4.8,1.2,-6802,-9,
,A,Doucouré,WAT,M,5.9,84,0.27,0.25,3.6,3.5,0.5,1.3,-7026,-9,
,K,Walker,MCI,D,6.4,80,0.34,0.41,4.2,4.6,5.0,10.7,-7423,-1,
,V,Camarasa,CAR,M,4.6,84,0.24,0.24,3.1,3.1,1.0,2.3,-7857,-6,
,H,Bellerín,ARS,D,5.4,68,0.22,0.3,3.2,3.6,3.0,5.0,-7894,-3,
,J,Vardy,LEI,F,8.8,72,0.24,0.22,4.1,3.9,2.5,3.7,-8104,-4,
,J,Hart,BUR,G,4.3,76,0.37,0.37,3.6,3.6,0.0,5.6,-8392,-2,
,A,Schürrle,FUL,M,5.6,69,0.25,0.3,3.4,3.7,3.0,2.7,-9389,-6,
,G,Xhaka,ARS,M,5.3,84,0.19,0.21,3.0,3.1,1.0,2.5,-9419,-6,
,K,Kepa,CHE,G,5.6,100,0.36,0.36,4.0,4.0,2.8,5.5,-10519,-3,
m,R,Pereira,LEI,D,5.3,87,0.47,0.47,4.5,4.5,1.5,11.6,-10819,-2,
,C,Cédric,SOU,D,4.2,66,0.21,0.24,2.9,3.0,0.5,2.8,-11128,-6,
,A,Alisson,LIV,G,6.0,100,0.42,0.42,4.5,4.5,2.8,24.8,-11377,-1,
o,L,Fabianski,WHU,G,4.7,100,0.4,0.4,3.9,3.9,4.3,16.6,-11475,-1,
,D,David Silva,MCI,M,8.5,71,0.31,0.38,4.6,5.2,3.4,4.6,-11494,-4,
,J,Pickford,EVE,G,5.0,104,0.34,0.34,3.7,3.7,4.2,13.5,-13196,-2,
,E,Hazard,CHE,M,10.9,86,0.44,0.48,6.8,7.2,6.0,29.1,-14536,-1,
,G,Jesus,MCI,F,10.0,36,0.11,0.41,3.1,6.1,4.0,2.0,-14536,-12,
,D,Danilo,MCI,D,5.1,28,0.39,0.39,4.0,4.0,4.4,1.7,-16127,-15,
o,M,Keane,EVE,D,4.9,92,0.33,0.33,3.6,3.6,3.2,4.7,-16364,-6,
,A,Rüdiger,CHE,D,6.0,95,0.32,0.32,3.9,3.9,0.8,3.9,-17264,-7,
o,A,Martial,MUN,M,7.2,53,0.38,0.57,4.7,6.1,1.3,5.5,-17458,-5,
,T,Deeney,WAT,F,5.9,81,0.22,0.27,3.3,3.6,2.0,4.9,-17813,-6,
,E,Ederson,MCI,G,5.6,104,0.36,0.36,4.0,4.0,4.2,20.8,-19656,-2,
,A,Mitrovic,FUL,F,6.5,98,0.34,0.35,4.2,4.3,4.5,14.6,-22834,-3,
,H,Kane,TOT,F,12.4,84,0.32,0.34,6.0,6.2,0.5,13.1,-23951,-3,
,C,Eriksen,TOT,M,9.3,71,0.25,0.31,4.3,4.9,3.3,6.0,-25331,-7,
,R,Sterling,MCI,M,11.3,83,0.42,0.44,6.7,7.0,5.6,11.4,-25882,-4,
,B,Bernardo Silva,MCI,M,7.5,88,0.29,0.35,4.2,4.6,2.0,7.5,-29073,-6,
,L,Digne,EVE,D,5.3,84,0.32,0.4,3.7,4.1,2.0,9.3,-30978,-5,
,T,Alexander-Arnold,LIV,D,5.2,67,0.67,0.67,5.5,5.5,1.5,12.8,-35656,-5,
,R,Fraser,BOU,M,6.1,90,0.46,0.49,4.8,5.0,2.5,21.3,-40209,-3,
,G,Sigurdsson,EVE,M,7.4,93,0.34,0.41,4.5,5.0,3.6,7.5,-44808,-10,
,M,Alonso,CHE,D,6.5,95,0.51,0.49,5.3,5.2,2.3,32.1,-50446,-3,
,R,Firmino,LIV,F,9.3,86,0.28,0.29,4.6,4.7,3.5,20.4,-56504,-4,
,D,Brooks,BOU,M,5.1,70,0.45,0.47,4.3,4.4,5.0,4.8,-69864,-24,
