O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,020214
,T,Walcott,EVE,M,0.15,1.04,3.1,9.5,5.3,243,7.2,4.6,168906,64,
x,M,Salah,LIV,M,0.57,0.61,7.9,8.3,7.0,1845,10.3,55.8,11057,0,
x,R,Sterling,MCI,M,0.56,0.65,7.0,7.8,5.3,1754,8.9,38.4,42962,2,
,E,Hazard,CHE,M,0.32,0.42,5.4,6.5,7.3,1428,10.7,8.3,-9311,-2,
,K,De Bruyne,MCI,M,0.43,0.43,6.4,6.4,7.3,2131,10.2,22.2,52014,4,
x,H,Son,TOT,M,0.36,0.52,4.9,6.2,6.8,1531,8.1,12.9,-10749,-1,
,P,Pogba,MUN,M,0.5,0.5,6.0,6.0,5.0,1284,8.0,15.5,10818,1,
,R,Mahrez,LEI,M,0.43,0.45,5.7,5.9,3.7,1939,8.7,12.1,-146624,-21,
,L,Sané,MCI,M,0.41,0.47,5.4,5.9,4.0,1542,8.3,7.9,-82350,-18,
,W,Willian,CHE,M,0.28,0.56,3.9,5.8,3.5,1188,6.8,7.3,-43519,-10,
,S,Mané,LIV,M,0.32,0.4,5.0,5.7,5.0,1256,9.3,7.5,-3081,-1,
,A,Martial,MUN,M,0.35,0.46,4.8,5.7,8.0,1168,8.1,4.5,41377,16,
,D,David Silva,MCI,M,0.39,0.45,5.1,5.6,0.7,1734,8.0,8.3,-48885,-10,
,M,Arnautovic,WHU,M,0.32,0.52,4.2,5.6,5.3,1267,6.9,5.0,-90984,-32,
,C,Eriksen,TOT,M,0.39,0.39,5.6,5.6,5.3,2048,9.2,14.1,21449,3,
,I,Gündogan,MCI,M,0.11,0.66,2.6,5.5,4.7,611,5.3,0.8,-590,-1,
x,J,Lingard,MUN,M,0.38,0.56,4.4,5.5,2.3,1137,6.3,17.2,-21641,-2,
,A,Sánchez,MUN,M,0.26,0.29,5.0,5.4,1.0,1591,11.7,4.3,24337,10,
,B,Alli,TOT,M,0.31,0.34,4.8,5.0,3.8,2011,8.9,12.7,-8585,-1,
,M,Özil,ARS,M,0.27,0.31,4.5,4.9,2.8,1621,9.3,2.6,10746,7,
,R,Fraser,BOU,M,0.35,0.53,3.8,4.7,5.7,1131,5.1,1.1,6126,10,
,P,Groß,BHA,M,0.4,0.45,4.3,4.6,2.0,1899,5.8,14.8,-5378,-1,
,J,Mata,MUN,M,0.28,0.38,3.9,4.6,2.3,1354,6.8,2.2,-1887,-1,
,M,Lanzini,WHU,M,0.31,0.37,4.1,4.5,5.5,1449,6.7,1.5,-12082,-14,
,J,Ward-Prowse,SOU,M,0.18,0.48,2.9,4.4,8.3,1117,5.0,1.2,18927,27,
