W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
o,H,Son            ,TOT ,M,9.0 ,57 ,0.51 ,0.7  ,6.6,8.3 ,8.7 ,24.8,195183 ,13 ,      
 ,S,Agüero         ,MCI ,F,11.5,71 ,0.39 ,0.43 ,6.5,7.0 ,11.3,32.0,143866 ,7  ,      
o,P,Pogba          ,MUN ,M,8.8 ,82 ,0.48 ,0.51 ,6.2,6.5 ,10.0,43.0,139382 ,5  ,      
m,F,Felipe Anderson,WHU ,M,7.2 ,95 ,0.38 ,0.38 ,4.7,4.7 ,4.0 ,15.3,88515  ,9  ,      
 ,A,Lacazette      ,ARS ,F,9.5 ,73 ,0.31 ,0.4  ,4.9,5.8 ,6.0 ,10.2,79808  ,13 ,      
o,R,Pereira        ,LEI ,D,5.3 ,87 ,0.45 ,0.45 ,4.4,4.4 ,2.3 ,12.8,64041  ,8  ,      
o,R,Jiménez        ,WOL ,F,6.8 ,91 ,0.41 ,0.46 ,4.8,5.1 ,7.7 ,32.6,53034  ,3  ,      
 ,A,Laporte        ,MCI ,D,6.0 ,100,0.37 ,0.38 ,4.2,4.3 ,6.5 ,13.4,50913  ,6  ,      
 ,J,Moutinho       ,WOL ,M,5.4 ,87 ,0.28 ,0.31 ,3.5,3.7 ,6.3 ,7.9 ,49538  ,10 ,      
m,S,Mané           ,LIV ,M,9.6 ,86 ,0.4  ,0.42 ,5.8,6.0 ,8.3 ,21.6,45838  ,3  ,      
 ,C,Eriksen        ,TOT ,M,9.3 ,72 ,0.29 ,0.35 ,4.7,5.3 ,6.0 ,7.0 ,41005  ,9  ,      
m,S,Bamba          ,CAR ,D,4.6 ,96 ,0.35 ,0.35 ,3.6,3.6 ,4.7 ,3.6 ,37274  ,17 ,      
m,S,Rondón         ,NEW ,F,5.7 ,65 ,0.35 ,0.44 ,4.0,4.5 ,4.0 ,4.5 ,36488  ,13 ,      
 ,C,Cathcart       ,WAT ,D,4.5 ,96 ,0.27 ,0.27 ,3.2,3.2 ,7.0 ,1.9 ,32806  ,28 ,      
 ,A,Boruc          ,BOU ,G,4.0 ,15 ,0.82 ,0.8  ,5.3,5.2 ,5.0 ,7.9 ,30089  ,6  ,      
m,J,Maddison       ,LEI ,M,6.6 ,77 ,0.24 ,0.3  ,3.6,4.0 ,2.0 ,4.3 ,28914  ,11 ,      
 ,B,Foster         ,WAT ,G,4.6 ,100,0.41 ,0.41 ,3.9,3.9 ,6.7 ,6.3 ,25877  ,7  ,      
m,F,Schär          ,NEW ,D,4.6 ,49 ,0.28 ,0.39 ,3.3,3.8 ,2.3 ,1.2 ,24090  ,32 ,      
