W,I,web_name    ,team,T,px ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,021922
 ,A,Robertson   ,LIV ,D,6.8,92 ,0.57 ,0.57 ,5.9,5.9 ,4.3 ,37.7,9193   ,0  ,      
 ,J,Schlupp     ,CRY ,D,4.4,43 ,0.18 ,0.55 ,2.8,4.4 ,5.7 ,2.1 ,2291   ,2  ,      
 ,K,Trippier    ,TOT ,D,6.2,74 ,0.42 ,0.47 ,4.6,4.9 ,3.7 ,19.1,17626  ,1  ,      
 ,M,Alonso      ,CHE ,D,6.5,95 ,0.46 ,0.46 ,5.0,5.0 ,1.7 ,29.2,-109690,-6 ,      
 ,D,David Luiz  ,CHE ,D,5.9,96 ,0.46 ,0.46 ,4.7,4.7 ,4.0 ,12.5,-52088 ,-7 ,      
 ,V,van Dijk    ,LIV ,D,6.5,98 ,0.45 ,0.46 ,4.9,5.0 ,3.3 ,27.7,764    ,0  ,      
 ,J,Holebas     ,WAT ,D,4.8,85 ,0.42 ,0.46 ,4.0,4.2 ,5.3 ,12.9,-73598 ,-9 ,      
o,R,Pereira     ,LEI ,D,5.3,87 ,0.45 ,0.45 ,4.4,4.4 ,2.3 ,12.8,64041  ,8  ,      
 ,R,Saïss       ,WOL ,D,4.2,33 ,0.19 ,0.45 ,2.8,3.9 ,4.3 ,0.5 ,-942   ,-3 ,      
m,S,Duffy       ,BHA ,D,4.6,86 ,0.39 ,0.43 ,3.8,4.0 ,4.0 ,5.1 ,7648   ,2  ,      
 ,K,Walker      ,MCI ,D,6.4,81 ,0.36 ,0.41 ,4.3,4.6 ,4.3 ,10.6,-11    ,0  ,      
m,F,Schär       ,NEW ,D,4.6,49 ,0.28 ,0.39 ,3.3,3.8 ,2.3 ,1.2 ,24090  ,32 ,      
o,M,Doherty     ,WOL ,D,5.4,95 ,0.37 ,0.39 ,4.0,4.1 ,4.3 ,25.4,8674   ,1  ,      
 ,L,Digne       ,EVE ,D,5.3,85 ,0.3  ,0.38 ,3.6,4.0 ,0.3 ,8.4 ,-33418 ,-6 ,      
 ,A,Laporte     ,MCI ,D,6.0,100,0.37 ,0.38 ,4.2,4.3 ,6.5 ,13.4,50913  ,6  ,      
 ,D,Sánchez     ,TOT ,D,5.8,53 ,0.34 ,0.38 ,4.0,4.2 ,5.3 ,1.6 ,8095   ,8  ,      
m,S,Bamba       ,CAR ,D,4.6,96 ,0.35 ,0.35 ,3.6,3.6 ,4.7 ,3.6 ,37274  ,17 ,      
 ,J,Stones      ,MCI ,D,5.2,65 ,0.31 ,0.35 ,3.6,3.8 ,3.3 ,5.5 ,-1426  ,0  ,      
 ,W,Boly        ,WOL ,D,4.6,89 ,0.28 ,0.35 ,3.3,3.6 ,4.3 ,3.6 ,8541   ,4  ,      
