O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,021211
 ,B,Davies        ,TOT ,D,0.55 ,0.66 ,5.1,5.7 ,6.6 ,1693,5.6  ,16.3,80242 ,9  ,      
 ,S,Agüero        ,MCI ,F,0.45 ,0.48 ,7.4,7.7 ,10.2,1781,12.0 ,30.1,54865 ,3  ,      
 ,O,Niasse        ,EVE ,F,0.56 ,0.75 ,4.7,5.6 ,4.6 ,842 ,4.8  ,6.5 ,49699 ,13 ,      
 ,M,Arnautovic    ,WHU ,M,0.35 ,0.54 ,4.4,5.7 ,3.3 ,1350,6.8  ,4.3 ,47424 ,19 ,      
 ,K,De Bruyne     ,MCI ,M,0.43 ,0.43 ,6.4,6.4 ,7.4 ,2311,10.3 ,23.4,35159 ,3  ,      
 ,K,Naughton      ,SWA ,D,0.3  ,0.3  ,3.4,3.4 ,5.3 ,2236,4.6  ,4.3 ,30099 ,12 ,      
 ,L,Milivojevic   ,CRY ,M,0.33 ,0.38 ,3.6,3.8 ,6.5 ,2089,4.8  ,5.9 ,29988 ,9  ,      
x,X,Shaqiri       ,STK ,M,0.39 ,0.4  ,4.4,4.5 ,5.8 ,2064,6.2  ,9.1 ,26650 ,5  ,      
x,M,Salah         ,LIV ,M,0.61 ,0.65 ,8.3,8.8 ,9.8 ,2023,10.4 ,58.2,22376 ,1  ,      
x,H,Kane          ,TOT ,F,0.34 ,0.36 ,6.4,6.6 ,6.6 ,2221,12.8 ,44.4,20122 ,1  ,      
 ,J,Vardy         ,LEI ,F,0.33 ,0.33 ,4.8,4.8 ,6.8 ,2258,8.6  ,17.8,15120 ,1  ,      
 ,K,Trippier      ,TOT ,D,0.54 ,0.63 ,4.8,5.3 ,3.8 ,1461,5.2  ,4.3 ,14290 ,6  ,      
 ,A,Doucouré      ,WAT ,M,0.43 ,0.43 ,4.3,4.3 ,4.0 ,2340,5.4  ,14.5,14122 ,2  ,      
x,A,Mawson        ,SWA ,D,0.29 ,0.29 ,3.5,3.5 ,7.3 ,2430,5.1  ,3.5 ,13974 ,7  ,      
 ,G,Deulofeu      ,WAT ,M,0.67 ,0.67 ,6.0,6.0 ,6.0 ,249 ,6.0  ,3.8 ,12005 ,5  ,      
 ,F,Fernández     ,SWA ,D,0.29 ,0.29 ,3.3,3.3 ,7.3 ,1890,4.5  ,3.8 ,11889 ,5  ,      
 ,P,Groß          ,BHA ,M,0.42 ,0.47 ,4.5,4.8 ,4.8 ,2059,5.9  ,16.8,11759 ,1  ,      
 ,J,Ward-Prowse   ,SOU ,M,0.24 ,0.55 ,3.2,4.8 ,6.0 ,1277,5.1  ,3.0 ,11494 ,7  ,      
x,J,Lascelles     ,NEW ,D,0.4  ,0.4  ,3.9,3.9 ,4.8 ,1937,4.7  ,7.3 ,10706 ,3  ,      
 ,J,Vertonghen    ,TOT ,D,0.28 ,0.28 ,3.7,3.7 ,4.8 ,2399,6.0  ,8.8 ,10339 ,2  ,      
 ,L,Fabianski     ,SWA ,G,0.46 ,0.46 ,4.1,4.1 ,5.0 ,2430,4.6  ,8.9 ,10084 ,2  ,      
 ,J,Chicharito    ,WHU ,F,0.27 ,0.33 ,3.8,4.2 ,7.0 ,1333,6.7  ,7.6 ,7950  ,2  ,      
 ,V,van Dijk      ,LIV ,D,0.05 ,0.07 ,2.3,2.4 ,2.0 ,1263,5.5  ,5.6 ,7791  ,2  ,      
 ,N,Monreal       ,ARS ,D,0.51 ,0.47 ,4.9,4.7 ,5.4 ,1923,5.7  ,8.2 ,7630  ,2  ,      
 ,A,Robertson     ,LIV ,D,0.38 ,0.38 ,3.8,3.8 ,3.0 ,1244,4.7  ,3.6 ,7252  ,3  ,      
 ,A,Hegazi        ,WBA ,D,0.26 ,0.26 ,3.2,3.2 ,2.5 ,2306,4.7  ,20.6,6960  ,1  ,      
x,N,Pope          ,BUR ,G,0.57 ,0.57 ,4.8,4.8 ,5.3 ,2124,4.9  ,9.8 ,6836  ,1  ,      
 ,M,Lowton        ,BUR ,D,0.44 ,0.44 ,3.9,3.9 ,1.5 ,1305,4.3  ,2.3 ,5701  ,4  ,      
x,R,Firmino       ,LIV ,F,0.37 ,0.43 ,5.4,6.0 ,6.4 ,1941,9.2  ,39.2,5047  ,0  ,      
 ,T,Carroll       ,SWA ,M,0.09 ,0.14 ,2.4,2.6 ,1.5 ,1957,4.3  ,5.2 ,4904  ,2  ,      
 ,C,Martina       ,EVE ,D,0.16 ,0.2  ,2.7,2.9 ,2.4 ,1650,4.4  ,2.2 ,4432  ,3  ,      
 ,H,Lloris        ,TOT ,G,0.35 ,0.35 ,3.9,3.9 ,4.0 ,2250,5.4  ,8.0 ,4426  ,1  ,      
 ,S,Ki Sung-yueng ,SWA ,M,0.18 ,0.29 ,2.9,3.4 ,6.0 ,1162,4.9  ,0.1 ,4216  ,73 ,      
 ,C,Eriksen       ,TOT ,M,0.36 ,0.36 ,5.3,5.3 ,4.8 ,2228,9.2  ,14.5,4031  ,0  ,      
 ,M,Dubravka      ,NEW ,G,1.56 ,1.56 ,9.0,9.0 ,4.5 ,90  ,4.5  ,0.1 ,4030  ,70 ,      
 ,R,Mahrez        ,LEI ,M,0.41 ,0.45 ,5.5,5.9 ,2.3 ,1967,8.6  ,6.6 ,4021  ,1  ,      
 ,L,Karius        ,LIV ,G,0.62 ,0.62 ,5.0,5.0 ,5.2 ,720 ,4.8  ,0.5 ,3917  ,14 ,      
 ,M,van der Hoorn ,SWA ,D,0.34 ,0.36 ,3.5,3.6 ,4.0 ,1243,4.4  ,0.5 ,3852  ,13 ,      
 ,G,Sigurdsson    ,EVE ,M,0.21 ,0.25 ,3.7,4.0 ,4.2 ,2004,8.0  ,2.0 ,3815  ,3  ,      
 ,S,Mounie        ,HUD ,F,0.26 ,0.49 ,3.5,4.8 ,4.8 ,1095,5.7  ,0.8 ,3543  ,8  ,      
 ,D,Stephens      ,BHA ,M,0.11 ,0.11 ,2.5,2.5 ,3.0 ,2430,4.5  ,1.4 ,3431  ,4  ,      
 ,A,Cresswell     ,WHU ,D,0.27 ,0.29 ,3.4,3.5 ,3.8 ,2109,5.1  ,3.4 ,2865  ,1  ,      
 ,A,Mariappa      ,WAT ,D,-0.05,0.02 ,1.8,2.1 ,2.3 ,1299,4.1  ,4.6 ,2503  ,1  ,      
 ,J,Collins       ,WHU ,D,0.35 ,0.35 ,3.5,3.5 ,3.3 ,867 ,4.3  ,0.3 ,2489  ,14 ,      
 ,J,Gudmundsson   ,BUR ,M,0.24 ,0.26 ,3.2,3.3 ,4.0 ,2034,5.0  ,1.3 ,2485  ,3  ,      
 ,M,Ryan          ,BHA ,G,0.4  ,0.4  ,3.8,3.8 ,3.5 ,2430,4.5  ,2.6 ,2378  ,2  ,      
 ,J,Izquierdo     ,BHA ,M,0.15 ,0.42 ,2.9,4.5 ,4.5 ,1111,5.9  ,0.1 ,1932  ,33 ,      
 ,E,Can           ,LIV ,M,0.27 ,0.33 ,3.3,3.6 ,4.2 ,1793,4.8  ,4.8 ,1791  ,1  ,      
 ,J,Stephens      ,SOU ,D,0.2  ,0.2  ,2.9,2.9 ,4.3 ,1350,4.5  ,0.7 ,1564  ,4  ,      
 ,R,Kenedy        ,NEW ,M,0.43 ,0.43 ,4.0,4.0 ,3.0 ,210 ,4.7  ,0.7 ,1487  ,4  ,      
 ,D,Sánchez       ,TOT ,D,0.2  ,0.23 ,3.2,3.4 ,4.4 ,1710,6.0  ,0.5 ,1429  ,5  ,      
 ,S,Clucas        ,SWA ,M,0.17 ,0.3  ,2.8,3.4 ,5.8 ,1398,4.7  ,0.7 ,1314  ,3  ,      
 ,W,Hennessey     ,CRY ,G,0.37 ,0.37 ,3.6,3.6 ,2.5 ,1440,4.3  ,1.8 ,1239  ,1  ,      
 ,J,McArthur      ,CRY ,M,0.14 ,0.21 ,2.6,2.9 ,2.0 ,1476,4.3  ,3.8 ,1154  ,1  ,      
 ,M,Dembélé       ,TOT ,M,-0.04,0.02 ,1.8,2.1 ,2.2 ,1300,4.9  ,1.4 ,1127  ,1  ,      
 ,M,Ritchie       ,NEW ,M,0.26 ,0.31 ,3.4,3.7 ,3.5 ,2021,5.4  ,1.6 ,1076  ,1  ,      
 ,S,Ward          ,BUR ,D,0.53 ,0.57 ,4.5,4.7 ,0.0 ,1470,4.7  ,6.3 ,1053  ,0  ,      
 ,D,Simpson       ,LEI ,D,0.02 ,0.05 ,2.1,2.2 ,0.3 ,1783,4.3  ,1.9 ,835   ,1  ,      
 ,A,Pritchard     ,HUD ,M,0.5  ,0.83 ,4.7,6.5 ,3.3 ,174 ,5.4  ,0.0 ,809   ,0.0,      
 ,M,Diamé         ,NEW ,M,0.07 ,0.26 ,2.3,3.2 ,4.0 ,1077,4.6  ,0.2 ,767   ,7  ,      
