W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
o,T,Alexander-Arnold,LIV ,D,5.5 ,67 ,0.73 ,0.78 ,6.0,6.3 ,7.0 ,18.8,82246 ,7  ,      
 ,D,Rice            ,WHU ,D,4.6 ,91 ,0.22 ,0.26 ,3.0,3.2 ,5.3 ,3.7 ,67529 ,29 ,      
 ,W,Zaha            ,CRY ,F,6.9 ,89 ,0.29 ,0.29 ,4.0,4.0 ,8.0 ,13.5,64116 ,8  ,      
m,S,Mané            ,LIV ,M,9.8 ,90 ,0.4  ,0.42 ,5.9,6.1 ,6.8 ,26.0,53852 ,3  ,      
 ,S,Agüero          ,MCI ,F,11.8,73 ,0.37 ,0.42 ,6.4,6.9 ,7.5 ,40.3,41350 ,2  ,      
m,D,Brooks          ,BOU ,M,5.0 ,66 ,0.44 ,0.46 ,4.2,4.3 ,0.5 ,3.6 ,39467 ,18 ,      
o,A,Wan-Bissaka     ,CRY ,D,4.5 ,92 ,0.31 ,0.31 ,3.4,3.4 ,1.5 ,26.1,37457 ,2  ,      
 ,J,King            ,BOU ,F,6.5 ,88 ,0.34 ,0.35 ,4.2,4.3 ,2.8 ,6.4 ,30343 ,8  ,      
m,V,van Dijk        ,LIV ,D,6.6 ,102,0.55 ,0.58 ,5.6,5.8 ,10.3,29.9,29702 ,2  ,      
 ,R,Lukaku          ,MUN ,F,10.7,67 ,0.19 ,0.27 ,4.0,4.9 ,7.0 ,4.7 ,27379 ,9  ,      
o,G,Higuaín         ,CHE ,F,9.6 ,17 ,0.35 ,0.35 ,5.4,5.4 ,4.0 ,4.1 ,26620 ,10 ,      
 ,G,Sigurdsson      ,EVE ,M,7.2 ,93 ,0.39 ,0.44 ,4.8,5.2 ,5.5 ,6.3 ,25586 ,7  ,      
 ,H,Kane            ,TOT ,F,12.4,85 ,0.31 ,0.33 ,5.9,6.1 ,4.0 ,14.4,25432 ,3  ,      
 ,M,Batshuayi       ,CRY ,F,6.5 ,11 ,0.34 ,0.51 ,4.2,5.3 ,4.3 ,1.5 ,22299 ,24 ,      
 ,G,Deulofeu        ,WAT ,M,5.6 ,60 ,0.43 ,0.57 ,4.4,5.2 ,8.5 ,4.3 ,20656 ,8  ,      
 ,J,Schlupp         ,CRY ,D,4.5 ,51 ,0.22 ,0.56 ,3.0,4.5 ,4.3 ,3.4 ,19956 ,9  ,      
o,L,Fabianski       ,WHU ,G,4.7 ,104,0.4  ,0.4  ,3.9,3.9 ,3.8 ,17.4,18398 ,2  ,      
 ,E,Hazard          ,CHE ,M,10.8,85 ,0.41 ,0.44 ,6.4,6.7 ,3.0 ,25.7,17914 ,1  ,      
 ,R,Fraser          ,BOU ,M,6.1 ,94 ,0.39 ,0.43 ,4.4,4.6 ,2.3 ,19.9,17846 ,1  ,      
m,R,Sterling        ,MCI ,M,11.4,82 ,0.42 ,0.46 ,6.8,7.3 ,5.8 ,13.8,15960 ,2  ,      
 ,E,Ederson         ,MCI ,G,5.6 ,104,0.41 ,0.41 ,4.3,4.3 ,6.3 ,21.0,14801 ,1  ,      
m,S,Duffy           ,BHA ,D,4.7 ,87 ,0.4  ,0.45 ,3.9,4.1 ,5.7 ,6.3 ,12738 ,3  ,      
