W,I,web_name  ,team,T,px  ,m% ,VA/M,VA/ML,p/g,p/gl,form,%   ,txn   ,gf,030620
 ,S,Agüero    ,MCI ,F,11.8,73 ,0.37,0.42 ,6.4,6.9 ,7.5 ,40.3,41350 ,2 ,      
 ,H,Kane      ,TOT ,F,12.4,85 ,0.31,0.33 ,5.9,6.1 ,4.0 ,14.4,25432 ,3 ,      
 ,A,Lacazette ,ARS ,F,9.5 ,75 ,0.31,0.4  ,4.9,5.8 ,6.3 ,9.8 ,-15662,-3,      
 ,C,Wilson    ,BOU ,F,6.3 ,68 ,0.54,0.57 ,5.4,5.6 ,0.0 ,10.1,-2292 ,0 ,      
 ,P,Aubameyang,ARS ,F,10.9,84 ,0.33,0.31 ,5.6,5.4 ,1.8 ,20.7,-82897,-6,      
o,G,Higuaín   ,CHE ,F,9.6 ,17 ,0.35,0.35 ,5.4,5.4 ,4.0 ,4.1 ,26620 ,10,      
 ,M,Batshuayi ,CRY ,F,6.5 ,11 ,0.34,0.51 ,4.2,5.3 ,4.3 ,1.5 ,22299 ,24,      
o,R,Jiménez   ,WOL ,F,6.9 ,94 ,0.43,0.48 ,5.0,5.3 ,5.8 ,35.8,-16943,-1,      
o,M,Rashford  ,MUN ,F,7.7 ,68 ,0.3 ,0.4  ,4.3,5.1 ,1.3 ,31.1,-56499,-3,      
 ,J,Chicharito,WHU ,F,6.1 ,41 ,0.25,0.49 ,3.5,5.0 ,4.0 ,1.6 ,5684  ,6 ,      
 ,R,Lukaku    ,MUN ,F,10.7,67 ,0.19,0.27 ,4.0,4.9 ,7.0 ,4.7 ,27379 ,9 ,      
~,~,~~~~~~~~  ,~~~~,~,~~  ,~~ ,~~~~,~~~~~,~~~,4.8 ,~~~~,~   ,~~~   ,~~,~~~~~~
 ,R,Firmino   ,LIV ,F,9.2 ,83 ,0.26,0.29 ,4.4,4.7 ,1.8 ,14.5,-8191 ,-1,      
m,S,Rondón    ,NEW ,F,5.9 ,71 ,0.37,0.44 ,4.2,4.6 ,4.5 ,8.0 ,-10637,-2,      
 ,J,King      ,BOU ,F,6.5 ,88 ,0.34,0.35 ,4.2,4.3 ,2.8 ,6.4 ,30343 ,8 ,      
 ,A,Barnes    ,BUR ,F,5.7 ,63 ,0.25,0.4  ,3.4,4.3 ,6.5 ,3.4 ,1464  ,1 ,      
 ,T,Deeney    ,WAT ,F,5.9 ,86 ,0.32,0.39 ,3.9,4.3 ,7.3 ,4.7 ,5473  ,2 ,      
m,J,Vardy     ,LEI ,F,8.9 ,76 ,0.25,0.25 ,4.2,4.2 ,5.0 ,5.7 ,5569  ,2 ,      
 ,W,Zaha      ,CRY ,F,6.9 ,89 ,0.29,0.29 ,4.0,4.0 ,8.0 ,13.5,64116 ,8 ,      
 ,A,Mitrovic  ,FUL ,F,6.5 ,102,0.29,0.31 ,3.9,4.0 ,1.8 ,12.8,-16698,-2,      
m,G,Murray    ,BHA ,F,6.3 ,73 ,0.22,0.3  ,3.4,3.9 ,1.3 ,2.8 ,-11186,-6,      
 ,C,Wood      ,BUR ,F,6.2 ,73 ,0.16,0.27 ,3.0,3.7 ,6.5 ,1.3 ,-6730 ,-8,      
 ,A,Pérez     ,NEW ,F,6.1 ,87 ,0.13,0.11 ,2.8,2.7 ,3.0 ,1.1 ,-619  ,-1,      
