O,I,web_name  ,team,T,VA/M,VA/ML,p/g,p/gl,form,min ,price,%   ,txn ,gf,030318
 ,O,Karnezis  ,WAT ,G,0.51,0.67 ,4.3,5.0 ,4.5 ,571 ,4.5  ,0.1 ,80  ,1 ,      
 ,L,Karius    ,LIV ,G,0.65,0.65 ,5.1,5.1 ,7.0 ,900 ,4.8  ,1.0 ,651 ,1 ,      
x,N,Pope      ,BUR ,G,0.55,0.55 ,4.7,4.7 ,3.5 ,2304,4.9  ,10.0,-213,0 ,      
 ,D,de Gea    ,MUN ,G,0.51,0.51 ,5.0,5.0 ,3.0 ,2520,5.9  ,44.1,-648,0 ,      
 ,E,Ederson   ,MCI ,G,0.45,0.46 ,4.5,4.6 ,4.8 ,2475,5.6  ,7.2 ,1303,0 ,      
 ,M,Dubravka  ,NEW ,G,0.44,0.44 ,4.0,4.0 ,3.0 ,270 ,4.5  ,0.2 ,193 ,2 ,      
 ,L,Fabianski ,SWA ,G,0.4 ,0.4  ,3.9,3.9 ,2.8 ,2610,4.7  ,9.2 ,-85 ,0 ,      
 ,R,Elliot    ,NEW ,G,0.39,0.39 ,3.6,3.6 ,0.0 ,1440,4.1  ,18.1,-963,0 ,      
 ,H,Lloris    ,TOT ,G,0.39,0.39 ,4.1,4.1 ,5.3 ,2430,5.4  ,8.5 ,452 ,0 ,      
 ,M,Ryan      ,BHA ,G,0.38,0.38 ,3.7,3.7 ,3.0 ,2520,4.5  ,2.5 ,64  ,0 ,      
~,~,~~~~~~~~  ,~~~~,~,~~~~,0.38 ,~~~,~~~~,~~~~,~~~ ,~~~~~,~   ,~~~ ,~~,~~~~~~
 ,T,Courtois  ,CHE ,G,0.37,0.37 ,4.0,4.0 ,2.3 ,2430,5.4  ,11.4,-15 ,0 ,      
 ,W,Hennessey ,CRY ,G,0.35,0.35 ,3.5,3.5 ,2.3 ,1530,4.3  ,1.9 ,209 ,0 ,      
 ,J,Lössl     ,HUD ,G,0.35,0.35 ,3.6,3.6 ,4.0 ,2610,4.6  ,7.1 ,861 ,0 ,      
 ,F,Forster   ,SOU ,G,0.34,0.34 ,3.6,3.6 ,0.0 ,1800,4.7  ,4.2 ,-341,0 ,      
 ,J,Pickford  ,EVE ,G,0.33,0.33 ,3.6,3.6 ,2.3 ,2610,4.9  ,7.9 ,-151,0 ,      
 ,K,Schmeichel,LEI ,G,0.32,0.32 ,3.6,3.6 ,1.5 ,2610,5.0  ,4.9 ,-595,0 ,      
 ,J,Butland   ,STK ,G,0.32,0.32 ,3.6,3.6 ,5.5 ,2340,5.0  ,2.3 ,147 ,0 ,      
 ,S,Mignolet  ,LIV ,G,0.31,0.31 ,3.5,3.5 ,0.0 ,1710,4.8  ,1.2 ,-99 ,0 ,      
 ,J,Hart      ,WHU ,G,0.29,0.29 ,3.2,3.2 ,0.0 ,1260,4.2  ,5.4 ,-99 ,0 ,      
 ,B,Foster    ,WBA ,G,0.27,0.27 ,3.2,3.2 ,1.8 ,2520,4.4  ,10.3,-340,0 ,      
x,A,Adrián    ,WHU ,G,0.27,0.27 ,3.2,3.2 ,2.8 ,1350,4.4  ,3.1 ,-441,0 ,      
 ,P,Cech      ,ARS ,G,0.26,0.26 ,3.4,3.4 ,1.8 ,2499,5.3  ,4.3 ,-70 ,0 ,      
 ,A,Begovic   ,BOU ,G,0.22,0.22 ,3.0,3.0 ,1.5 ,2610,4.5  ,4.2 ,51  ,0 ,      
 ,H,Gomes     ,WAT ,G,0.16,0.16 ,2.7,2.7 ,0.0 ,2038,4.5  ,1.4 ,-76 ,0 ,      
