W,I,web_name       ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
m,R,Sterling       ,MCI ,M,11.4,82 ,0.42 ,0.46 ,6.8,7.3 ,5.8 ,13.8,15960 ,2  ,      
o,H,Son            ,TOT ,M,8.8 ,63 ,0.45 ,0.59 ,6.0,7.2 ,3.0 ,21.8,-34317,-3 ,      
o,M,Salah          ,LIV ,M,13.4,98 ,0.36 ,0.37 ,6.8,6.9 ,4.3 ,46.1,-41371,-1 ,      
 ,E,Hazard         ,CHE ,M,10.8,85 ,0.41 ,0.44 ,6.4,6.7 ,3.0 ,25.7,17914 ,1  ,      
m,S,Mané           ,LIV ,M,9.8 ,90 ,0.4  ,0.42 ,5.9,6.1 ,6.8 ,26.0,53852 ,3  ,      
 ,H,Mkhitaryan     ,ARS ,M,6.8 ,46 ,0.4  ,0.59 ,4.7,6.0 ,8.5 ,6.1 ,11887 ,3  ,      
o,P,Pogba          ,MUN ,M,9.0 ,87 ,0.42 ,0.44 ,5.8,6.0 ,5.8 ,46.0,-33193,-1 ,      
m,P,Pedro          ,CHE ,M,6.3 ,53 ,0.35 ,0.62 ,4.2,5.9 ,4.0 ,4.1 ,858   ,0  ,      
 ,G,Sigurdsson     ,EVE ,M,7.2 ,93 ,0.39 ,0.44 ,4.8,5.2 ,5.5 ,6.3 ,25586 ,7  ,      
 ,D,David Silva    ,MCI ,M,8.5 ,72 ,0.29 ,0.38 ,4.5,5.2 ,4.3 ,4.4 ,12353 ,4  ,      
 ,G,Deulofeu       ,WAT ,M,5.6 ,60 ,0.43 ,0.57 ,4.4,5.2 ,8.5 ,4.3 ,20656 ,8  ,      
o,R,Richarlison    ,EVE ,M,6.5 ,82 ,0.37 ,0.45 ,4.4,4.9 ,1.8 ,17.7,-21280,-2 ,      
 ,C,Eriksen        ,TOT ,M,9.3 ,78 ,0.25 ,0.31 ,4.3,4.9 ,4.8 ,5.8 ,-5425 ,-1 ,      
 ,O,Zinchenko      ,MCI ,M,4.7 ,20 ,0.47 ,0.6  ,4.2,4.8 ,4.0 ,0.2 ,2431  ,19 ,      
 ,I,Gündogan       ,MCI ,M,5.4 ,56 ,0.3  ,0.5  ,3.6,4.7 ,4.0 ,2.6 ,5203  ,3  ,      
 ,R,Fraser         ,BOU ,M,6.1 ,94 ,0.39 ,0.43 ,4.4,4.6 ,2.3 ,19.9,17846 ,1  ,      
 ,B,Bernardo Silva ,MCI ,M,7.5 ,87 ,0.28 ,0.33 ,4.1,4.5 ,3.3 ,7.8 ,11169 ,2  ,      
 ,J,Ward-Prowse    ,SOU ,M,5.1 ,48 ,0.33 ,0.49 ,3.7,4.5 ,5.0 ,2.1 ,8924  ,7  ,      
m,F,Felipe Anderson,WHU ,M,7.2 ,98 ,0.33 ,0.33 ,4.4,4.4 ,2.3 ,15.4,4109  ,0  ,      
 ,D,Jota           ,WOL ,M,6.1 ,63 ,0.33 ,0.39 ,4.0,4.4 ,4.0 ,3.7 ,7449  ,3  ,      
m,D,Brooks         ,BOU ,M,5.0 ,66 ,0.44 ,0.46 ,4.2,4.3 ,0.5 ,3.6 ,39467 ,18 ,      
