team,3~7_avg,3,4~8_avg,4,5,6,7,8,season_sum
WHU ,1.87   ,2,1.77   ,1,2,4,2,3,107       
TOT ,2.0    ,1,3.03   ,4,2,2,2,2,102       
BHA ,2.06   ,2,2.16   ,2,2,2,4,3,107       
NEW ,2.06   ,2,2.16   ,2,2,2,4,3,107       
HUD ,2.13   ,2,2.26   ,2,2,3,4,2,108       
SOU ,2.13   ,2,2.26   ,2,2,4,2,2,106       
WBA ,2.13   ,2,2.29   ,2,2,4,2,3,107       
MUN ,2.19   ,2,2.45   ,2,3,3,2,4,103       
SWA ,2.39   ,2,2.74   ,2,5,2,2,1,107       
CRY ,2.45   ,2,3.0    ,3,2,4,4,5,107       
WAT ,2.52   ,2,3.1    ,3,4,2,2,4,107       
MCI ,2.61   ,2,3.23   ,4,2,2,5,2,103       
STK ,2.71   ,2,3.48   ,4,2,5,2,4,107       
CHE ,3.1    ,3,3.16   ,3,4,2,4,2,101       
ARS ,3.42   ,4,2.77   ,2,5,2,2,2,103       
LIV ,3.48   ,4,2.97   ,4,1,3,2,4,103       
BOU ,3.68   ,4,3.39   ,4,2,4,2,5,107       
BUR ,3.81   ,5,2.52   ,2,4,1,4,2,107       
LEI ,3.94   ,4,3.81   ,5,2,4,2,2,106       
EVE ,4.29   ,5,3.48   ,4,4,2,1,2,104       
