O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn    ,gf ,031217
x,R,Firmino         ,LIV ,F,0.36 ,0.43 ,5.4,6.0 ,6.8 ,2199,9.4  ,42.9,57080  ,2  ,      
x,H,Son             ,TOT ,M,0.41 ,0.53 ,5.3,6.3 ,10.7,1859,8.1  ,13.0,42094  ,6  ,      
 ,R,Lukaku          ,MUN ,F,0.27 ,0.28 ,5.0,5.1 ,6.8 ,2519,11.2 ,22.0,29006  ,2  ,      
 ,P,Aubameyang      ,ARS ,F,0.31 ,0.21 ,5.2,4.2 ,6.0 ,450 ,10.4 ,5.1 ,25950  ,9  ,      
 ,W,Willian         ,CHE ,M,0.29 ,0.53 ,4.0,5.7 ,5.5 ,1488,7.0  ,11.3,23681  ,4  ,      
 ,S,Mané            ,LIV ,M,0.33 ,0.38 ,5.1,5.6 ,6.3 ,1659,9.4  ,9.9 ,19430  ,3  ,      
x,R,Mahrez          ,LEI ,M,0.43 ,0.44 ,5.8,5.9 ,7.7 ,2234,8.8  ,9.7 ,19014  ,3  ,      
x,X,Shaqiri         ,STK ,M,0.38 ,0.43 ,4.4,4.7 ,4.3 ,2290,6.3  ,13.5,18096  ,2  ,      
 ,A,Barnes          ,BUR ,F,0.06 ,0.17 ,2.3,2.9 ,6.7 ,1612,5.3  ,1.5 ,18039  ,21 ,      
x,C,Wilson          ,BOU ,F,0.34 ,0.47 ,4.0,4.8 ,2.0 ,1474,5.9  ,8.1 ,17799  ,4  ,      
 ,M,Rashford        ,MUN ,F,0.16 ,0.23 ,3.2,3.7 ,3.3 ,1435,7.3  ,5.5 ,17506  ,5  ,      
 ,S,Mounie          ,HUD ,F,0.28 ,0.48 ,3.6,4.8 ,6.8 ,1365,5.8  ,2.8 ,16990  ,10 ,      
 ,C,Tosun           ,EVE ,F,0.27 ,0.34 ,3.8,4.3 ,6.0 ,331 ,6.7  ,1.0 ,16964  ,29 ,      
 ,N,Aké             ,BOU ,D,0.16 ,0.2  ,2.8,3.0 ,1.5 ,2632,5.1  ,7.3 ,13915  ,3  ,      
 ,G,Murray          ,BHA ,F,0.25 ,0.46 ,3.5,4.7 ,7.0 ,1719,5.9  ,5.5 ,12670  ,4  ,      
 ,J,Vardy           ,LEI ,F,0.31 ,0.3  ,4.7,4.6 ,3.0 ,2528,8.7  ,18.3,12298  ,1  ,      
 ,W,Zaha            ,CRY ,M,0.24 ,0.24 ,3.6,3.6 ,1.3 ,1831,6.8  ,4.0 ,10528  ,5  ,      
 ,C,Schindler       ,HUD ,D,0.17 ,0.13 ,2.8,2.6 ,3.0 ,2544,4.6  ,4.2 ,10107  ,4  ,      
x,M,Salah           ,LIV ,M,0.58 ,0.64 ,8.2,8.8 ,8.3 ,2289,10.6 ,61.1,9714   ,0  ,      
 ,R,Kenedy          ,NEW ,M,0.74 ,0.3  ,5.5,3.4 ,6.0 ,440 ,4.7  ,0.9 ,9301   ,18 ,      
 ,J,Lössl           ,HUD ,G,0.37 ,0.35 ,3.7,3.6 ,3.0 ,2700,4.6  ,7.8 ,8750   ,2  ,      
 ,A,Robertson       ,LIV ,D,0.39 ,0.43 ,3.9,4.1 ,4.8 ,1507,4.9  ,6.7 ,8750   ,2  ,      
 ,J,Stanislas       ,BOU ,M,0.31 ,0.29 ,3.8,3.7 ,4.5 ,1150,5.9  ,0.9 ,8480   ,16 ,      
 ,L,Baines          ,EVE ,D,0.25 ,0.16 ,3.4,2.9 ,4.0 ,1189,5.6  ,3.7 ,8230   ,4  ,      
 ,M,Zanka           ,HUD ,D,0.16 ,0.11 ,2.7,2.5 ,3.0 ,2700,4.5  ,7.0 ,8144   ,2  ,      
 ,P,van Aanholt     ,CRY ,D,0.0  ,0.02 ,2.0,2.1 ,5.0 ,1471,5.1  ,1.5 ,7750   ,9  ,      
 ,A,Mooy            ,HUD ,M,0.28 ,0.3  ,3.5,3.6 ,2.5 ,2346,5.3  ,5.2 ,7212   ,2  ,      
 ,C,Wood            ,BUR ,F,0.34 ,0.26 ,4.1,3.6 ,6.7 ,1095,6.2  ,0.8 ,7184   ,15 ,      
 ,L,Depoitre        ,HUD ,F,0.2  ,0.39 ,3.0,4.0 ,0.8 ,1533,5.1  ,2.9 ,6897   ,4  ,      
 ,V,van Dijk        ,LIV ,D,0.07 ,0.11 ,2.4,2.6 ,4.0 ,1533,5.6  ,7.5 ,6246   ,1  ,      
 ,C,Benteke         ,CRY ,F,0.13 ,0.17 ,3.0,3.3 ,2.7 ,1973,7.6  ,2.9 ,5531   ,3  ,      
x,J,Lascelles       ,NEW ,D,0.38 ,0.36 ,3.8,3.7 ,3.8 ,2207,4.7  ,8.2 ,5496   ,1  ,      
 ,H,Mkhitaryan      ,ARS ,M,0.3  ,0.38 ,4.3,4.9 ,5.7 ,1353,7.7  ,11.2,5241   ,1  ,      
 ,A,Begovic         ,BOU ,G,0.2  ,0.22 ,2.9,3.0 ,1.3 ,2700,4.5  ,4.5 ,5157   ,2  ,      
