O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,031217
,O,Karnezis,WAT,G,0.44,0.67,4.0,5.0,5.7,661,4.5,0.1,189,3,
,L,Karius,LIV,G,0.56,0.65,4.7,5.1,5.0,990,4.8,1.2,2362,3,
x,N,Pope,BUR,G,0.59,0.55,4.9,4.7,5.0,2394,4.9,9.8,2186,0,
,D,de Gea,MUN,G,0.47,0.49,4.8,4.9,2.3,2700,5.9,43.1,-3680,0,
,E,Ederson,MCI,G,0.43,0.46,4.4,4.6,7.3,2611,5.6,7.8,526,0,
,M,Dubravka,NEW,G,0.56,0.44,4.5,4.0,4.5,360,4.5,0.3,402,2,
,R,Elliot,NEW,G,0.4,0.4,3.6,3.6,0.0,1440,4.0,17.3,-10573,-1,
,L,Fabianski,SWA,G,0.45,0.4,4.1,3.9,3.7,2700,4.7,9.0,-1346,0,
,H,Lloris,TOT,G,0.37,0.39,4.0,4.1,5.3,2520,5.4,8.5,-1385,0,
,M,Ryan,BHA,G,0.4,0.38,3.8,3.7,4.3,2700,4.5,2.5,662,0,
,T,Courtois,CHE,G,0.35,0.37,3.9,4.0,3.0,2610,5.4,11.4,-2435,0,
~,~,~~~~~~~~,~~~~,~,~~~~,0.37,~~~,~~~~,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,J,Lössl,HUD,G,0.37,0.35,3.7,3.6,3.0,2700,4.6,7.8,8750,2,
,F,Forster,SOU,G,0.34,0.34,3.6,3.6,0.0,1800,4.7,4.1,-900,0,
,W,Hennessey,CRY,G,0.33,0.33,3.4,3.4,2.7,1710,4.3,2.1,3615,3,
,J,Pickford,EVE,G,0.35,0.33,3.7,3.6,4.3,2700,4.9,8.3,4829,1,
,K,Schmeichel,LEI,G,0.3,0.32,3.5,3.6,1.7,2700,5.0,4.7,-2024,-1,
,S,Mignolet,LIV,G,0.32,0.32,3.5,3.5,0.0,1710,4.7,1.1,-82,0,
,J,Butland,STK,G,0.3,0.32,3.5,3.6,6.0,2386,5.0,2.7,2376,2,
,J,Hart,WHU,G,0.26,0.29,3.1,3.2,0.3,1350,4.2,5.4,80,0,
,B,Foster,WBA,G,0.25,0.27,3.1,3.2,1.8,2610,4.4,10.2,-548,0,
x,A,Adrián,WHU,G,0.27,0.27,3.2,3.2,1.0,1350,4.4,2.8,-4657,-3,
,P,Cech,ARS,G,0.32,0.25,3.7,3.3,6.0,2679,5.3,4.3,284,0,
,A,Begovic,BOU,G,0.2,0.22,2.9,3.0,1.3,2700,4.5,4.5,5157,2,
,H,Gomes,WAT,G,0.16,0.16,2.7,2.7,0.0,2038,4.5,1.4,-159,0,
