O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
,R,Lukaku,MUN,F,0.26,0.27,5.0,5.1,6.5,2519,11.4,27.3,229752,14,
,P,Aubameyang,ARS,F,0.3,0.3,5.2,5.2,6.0,450,10.6,9.4,190420,35,
,J,Vardy,LEI,F,0.31,0.31,4.7,4.7,3.5,2528,8.8,20.6,107993,9,
x,H,Son,TOT,M,0.4,0.57,5.3,6.7,15.5,1859,8.3,15.5,96466,11,
x,R,Mahrez,LEI,M,0.43,0.46,5.8,6.1,10.5,2234,8.9,11.4,90467,14,
,W,Willian,CHE,M,0.28,0.56,4.0,6.0,6.0,1488,7.1,12.8,69402,9,
x,R,Firmino,LIV,F,0.35,0.4,5.4,5.9,4.7,2277,9.7,48.6,64396,2,
,D,David Silva,MCI,M,0.48,0.54,5.9,6.4,11.0,2000,8.1,10.5,57507,9,
,G,Murray,BHA,F,0.25,0.43,3.5,4.6,4.5,1719,6.0,6.6,44436,11,
,C,Smalling,MUN,D,0.33,0.37,3.8,4.0,5.0,1905,5.4,5.2,37959,12,
,H,Mkhitaryan,ARS,M,0.3,0.44,4.3,5.4,5.7,1353,7.7,11.9,37511,5,
x,M,Salah,LIV,M,0.64,0.68,8.9,9.3,13.0,2379,10.7,62.5,35054,1,
,C,Tosun,EVE,F,0.46,0.71,5.1,6.8,10.0,421,6.8,2.7,33969,21,
,M,Lowton,BUR,D,0.48,0.48,4.1,4.1,6.5,1575,4.4,3.8,33940,15,
,A,Barnes,BUR,F,0.06,0.21,2.3,3.1,7.0,1612,5.3,2.3,33806,25,
,N,Monreal,ARS,D,0.53,0.49,4.9,4.7,0.0,1923,5.5,6.0,33132,9,
,M,Rashford,MUN,F,0.16,0.31,3.2,4.3,6.5,1435,7.4,6.6,32799,8,
,D,de Gea,MUN,G,0.47,0.47,4.8,4.8,1.5,2700,5.9,43.7,32609,1,
,A,Robertson,LIV,D,0.46,0.46,4.3,4.3,6.0,1597,5.0,7.6,30028,7,
,R,Kenedy,NEW,M,0.73,0.73,5.5,5.5,9.0,440,4.8,1.5,26435,30,
,R,Sterling,MCI,M,0.57,0.64,6.9,7.5,2.0,2001,8.6,18.3,25512,2,
,M,Ryan,BHA,G,0.4,0.4,3.8,3.8,5.5,2700,4.5,2.9,23497,14,
,S,Mustafi,ARS,D,0.41,0.48,4.2,4.6,4.7,1751,5.4,3.4,19934,10,
,J,Tarkowski,BUR,D,0.36,0.36,3.6,3.6,4.5,2070,4.5,3.2,18920,10,
