O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
,B,Davies,TOT,D,0.54,0.64,5.2,5.8,3.0,1873,5.9,23.0,-16338,-1,
,K,Trippier,TOT,D,0.52,0.63,4.7,5.3,2.0,1470,5.2,4.5,-2050,-1,
,P,Jones,MUN,D,0.51,0.55,4.8,5.0,0.0,1793,5.5,5.7,-21788,-7,
,S,Aurier,TOT,D,0.49,0.54,4.9,5.2,10.0,1247,5.9,0.9,6471,12,
,S,Ward,BUR,D,0.49,0.53,4.3,4.5,4.0,1740,4.7,7.2,7239,2,
,T,Alexander-Arnold,LIV,D,0.51,0.51,4.2,4.2,3.3,1148,4.3,3.8,-6171,-3,
,M,van der Hoorn,SWA,D,0.41,0.5,3.8,4.2,8.0,1468,4.4,1.2,8170,12,
,N,Monreal,ARS,D,0.53,0.49,4.9,4.7,0.0,1923,5.5,6.0,33132,9,
,S,Mustafi,ARS,D,0.41,0.48,4.2,4.6,4.7,1751,5.4,3.4,19934,10,
,M,Lowton,BUR,D,0.48,0.48,4.1,4.1,6.5,1575,4.4,3.8,33940,15,
,V,Moses,CHE,D,0.38,0.48,4.5,5.1,1.0,1589,6.5,1.9,-1638,-1,
,A,Rüdiger,CHE,D,0.45,0.48,4.6,4.8,0.5,1796,5.8,3.2,-1559,-1,
,A,Robertson,LIV,D,0.46,0.46,4.3,4.3,6.0,1597,5.0,7.6,30028,7,
,N,Otamendi,MCI,D,0.45,0.45,4.9,4.9,6.3,2580,6.4,28.6,8891,1,
x,M,Alonso,CHE,D,0.43,0.43,5.1,5.1,2.0,2413,7.2,19.5,7172,1,
,C,Azpilicueta,CHE,D,0.42,0.42,4.9,4.9,2.5,2610,6.9,20.2,-4050,0,
,J,Gomez,LIV,D,0.36,0.42,3.6,3.9,1.7,1721,4.5,3.2,-7949,-4,
,A,Valencia,MUN,D,0.42,0.42,4.9,4.9,2.5,2291,6.9,11.5,12148,2,
,S,Kolasinac,ARS,D,0.33,0.41,3.9,4.4,2.0,1746,5.8,6.3,-887,0,
,K,Walker,MCI,D,0.36,0.41,4.4,4.7,7.3,2454,6.6,13.0,10785,1,
,M,Yoshida,SOU,D,0.37,0.39,3.7,3.8,0.0,1534,4.6,1.6,-1644,-2,
x,J,Lascelles,NEW,D,0.38,0.38,3.8,3.8,4.0,2207,4.8,8.5,15321,3,
,C,Smalling,MUN,D,0.33,0.37,3.8,4.0,5.0,1905,5.4,5.2,37959,12,
,B,Bruno,BHA,D,0.24,0.36,3.1,3.6,0.5,1656,4.5,0.9,-879,-2,
,J,Tarkowski,BUR,D,0.36,0.36,3.6,3.6,4.5,2070,4.5,3.2,18920,10,
,J,Tomkins,CRY,D,0.3,0.36,3.3,3.6,5.3,1846,4.4,2.9,9012,5,
,D,Lovren,LIV,D,0.26,0.36,3.4,3.9,2.7,1746,5.3,1.2,-5063,-7,
,L,Koscielny,ARS,D,0.35,0.35,4.1,4.1,0.7,2135,6.0,1.8,-4513,-4,
,J,Matip,LIV,D,0.24,0.31,3.3,3.7,2.3,1905,5.4,1.9,98,0,
,A,Christensen,CHE,D,0.23,0.3,3.2,3.6,2.0,1707,5.3,2.2,3473,3,
,C,Clark,NEW,D,0.27,0.3,3.2,3.3,0.0,1745,4.4,1.8,-1244,-1,
,K,Naughton,SWA,D,0.3,0.3,3.4,3.4,4.5,2506,4.6,5.6,-288,0,
,J,Vertonghen,TOT,D,0.3,0.3,3.8,3.8,5.0,2579,6.0,8.5,1527,0,
,V,Kompany,MCI,D,0.21,0.28,3.2,3.6,4.0,944,5.8,2.1,745,1,
,F,Kiko Femenía,WAT,D,0.21,0.28,2.9,3.2,0.3,1399,4.3,1.3,794,1,
,H,Bellerín,ARS,D,0.25,0.27,3.5,3.6,0.7,2527,5.9,9.8,2656,0,
,L,Baines,EVE,D,0.23,0.27,3.3,3.5,4.7,1279,5.6,4.0,-11290,-5,
,F,Fernández,SWA,D,0.27,0.27,3.2,3.2,4.0,2160,4.5,4.0,-4680,-2,
