O,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,032920
,S,Agüero,MCI,F,0.43,0.45,7.0,7.3,2.3,1946,11.7,19.6,-146482,-13,
,C,Tosun,EVE,F,0.46,0.71,5.1,6.8,10.0,421,6.8,2.7,33969,21,
,H,Kane,TOT,F,0.33,0.36,6.2,6.6,3.0,2434,12.7,27.9,-382617,-23,
x,R,Firmino,LIV,F,0.35,0.4,5.4,5.9,4.7,2277,9.7,48.6,64396,2,
,P,Aubameyang,ARS,F,0.3,0.3,5.2,5.2,6.0,450,10.6,9.4,190420,35,
,R,Lukaku,MUN,F,0.26,0.27,5.0,5.1,6.5,2519,11.4,27.3,229752,14,
,Á,Morata,CHE,F,0.22,0.27,4.3,4.8,0.5,1652,10.4,7.5,1650,0,
,J,Vardy,LEI,F,0.31,0.31,4.7,4.7,3.5,2528,8.8,20.6,107993,9,
,G,Murray,BHA,F,0.25,0.43,3.5,4.6,4.5,1719,6.0,6.6,44436,11,
,W,Rooney,EVE,F,0.28,0.36,4.0,4.6,1.3,1915,7.2,10.6,-17379,-3,
,C,Wilson,BOU,F,0.33,0.4,4.0,4.4,2.0,1546,6.0,9.4,-62239,-11,
x,S,Mounie,HUD,F,0.25,0.41,3.5,4.4,2.0,1455,5.9,3.6,-35307,-17,
,M,Rashford,MUN,F,0.16,0.31,3.2,4.3,6.5,1435,7.4,6.6,32799,8,
,D,Gayle,NEW,F,0.13,0.36,2.8,4.2,3.5,1438,6.1,1.2,5003,7,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,4.17,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,A,Lacazette,ARS,F,0.18,0.21,3.8,4.1,0.0,1808,10.2,6.0,-2117,-1,
,J,Chicharito,WHU,F,0.22,0.31,3.5,4.1,1.5,1449,6.7,7.8,-3065,-1,
,L,Depoitre,HUD,F,0.2,0.39,3.0,4.0,0.7,1533,5.1,3.0,-9153,-5,
,C,Wood,BUR,F,0.34,0.26,4.1,3.6,10.0,1095,6.2,1.2,11841,17,
,J,King,BOU,F,0.14,0.2,3.0,3.4,4.7,1891,7.0,1.6,-7171,-8,
,D,Calvert-Lewin,EVE,F,0.16,0.28,2.8,3.4,2.0,1737,5.0,4.5,-1036,0,
,M,Diouf,STK,F,0.15,0.25,2.8,3.3,0.3,2012,5.2,1.9,-4044,-4,
,J,Jordan Ayew,SWA,F,0.19,0.25,3.0,3.3,2.5,2310,5.3,8.5,-82343,-17,
,T,Abraham,SWA,F,0.19,0.24,3.0,3.3,1.0,1448,5.4,3.5,-1054,-1,
,C,Benteke,CRY,F,0.13,0.16,3.0,3.2,2.7,2063,7.7,3.2,-16118,-9,
,A,Pérez,NEW,F,0.1,0.23,2.5,3.2,1.5,1791,5.2,1.1,1312,2,
,A,Barnes,BUR,F,0.06,0.21,2.3,3.1,7.0,1612,5.3,2.3,33806,25,
,T,Deeney,WAT,F,0.14,0.17,2.9,3.1,3.7,1372,6.3,1.2,-404,-1,
,J,Rodriguez,WBA,F,0.13,0.21,2.7,3.1,3.3,2248,5.3,1.8,8889,8,
,J,Joselu,NEW,F,0.11,0.15,2.6,2.8,1.0,1604,5.5,0.5,-116,0,
,S,Rondón,WBA,F,0.08,0.13,2.5,2.8,4.3,2177,6.0,0.9,-1148,-2,
,K,Iheanacho,LEI,F,0.03,0.11,2.2,2.7,7.5,453,6.5,0.8,517,1,
