I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
R,Firmino,LIV,F,0.78,26,3,8.7,248,82.0,8.6,28.7
Á,Morata,CHE,F,0.59,24,3,8.0,186,62.0,10.1,13.2
S,Okaka,WAT,F,0.91,7,1,7.0,62,62.0,5.5,0.9
R,Lukaku,MUN,F,0.37,19,3,6.3,270,90.0,11.7,58.1
W,Rooney,EVE,F,0.53,18,3,6.0,269,89.0,7.6,20.3
J,Vardy,LEI,F,0.43,17,3,5.7,255,85.0,8.6,10.8
S,Vokes,BUR,F,0.55,16,3,5.3,236,78.0,6.0,6.3
J,Chicharito,WHU,F,0.46,16,3,5.3,270,90.0,7.1,28.5
S,Mounie,HUD,F,0.49,15,3,5.0,265,88.0,6.1,4.8
S,Okazaki,LEI,F,0.49,14,3,4.7,205,68.0,5.5,4.5
M,Rashford,MUN,F,0.31,13,3,4.3,176,58.0,7.5,5.4
S,Agüero,MCI,F,0.17,12,3,4.0,196,65.0,11.5,10.8
T,Abraham,SWA,F,0.36,12,3,4.0,239,79.0,5.5,3.2
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.91,~~~,~~~~~,~~~~~,~
D,Calvert-Lewin,EVE,F,0.34,11,3,3.7,208,69.0,5.0,2.0
G,Jesus,MCI,F,0.16,11,3,3.7,203,67.0,10.4,8.1
M,Gabbiadini,SOU,F,0.24,11,3,3.7,217,72.0,7.0,5.5
S,Berahino,STK,F,0.25,7,2,3.5,136,68.0,6.0,0.6
J,Joselu,NEW,F,0.27,7,2,3.5,109,54.0,5.5,0.3
J,Ayew,SWA,F,0.26,10,3,3.3,270,90.0,5.0,2.3
D,Welbeck,ARS,F,0.13,9,3,3.0,254,84.0,7.5,1.2
A,Lacazette,ARS,F,0.1,9,3,3.0,196,65.0,10.4,13.9
A,Pérez,NEW,F,0.18,9,3,3.0,259,86.0,5.5,1.2
J,Rodriguez,WBA,F,0.12,8,3,2.7,264,88.0,5.9,1.9
A,Gray,WAT,F,0.05,7,3,2.3,199,66.0,6.5,1.8
J,King,BOU,F,0.0,6,3,2.0,270,90.0,7.4,3.1
S,Sandro,EVE,F,0.0,4,2,2.0,138,69.0,7.4,0.7
M,Diouf,STK,F,0.0,4,2,2.0,180,90.0,5.4,0.3
D,Gayle,NEW,F,-0.08,3,2,1.5,126,63.0,6.4,1.3
T,Hemed,BHA,F,-0.14,4,3,1.3,173,57.0,4.9,0.2
C,Benteke,CRY,F,-0.09,4,3,1.3,270,90.0,7.9,5.5
H,Kane,TOT,F,-0.06,4,3,1.3,270,90.0,12.4,26.8
