I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
P,Pogba,MUN,M,0.82,26,3,8.7,270,90.0,8.2,36.6
H,Mkhitaryan,MUN,M,0.81,26,3,8.7,244,81.0,8.3,21.6
A,Mooy,HUD,M,0.75,19,3,6.3,270,90.0,5.7,11.6
M,Elneny,ARS,M,0.67,5,1,5.0,66,66.0,4.5,3.7
R,Richarlison,WAT,M,0.67,18,3,6.0,210,70.0,6.0,4.9
J,Jesé,STK,M,0.67,12,2,6.0,131,65.0,6.0,9.3
M,Salah,LIV,M,0.63,23,3,7.7,204,68.0,9.0,27.9
A,Doucouré,WAT,M,0.59,15,3,5.0,270,90.0,5.1,4.8
S,Mané,LIV,M,0.55,22,3,7.3,253,84.0,9.6,29.8
C,Eriksen,TOT,M,0.55,22,3,7.3,267,89.0,9.6,21.8
C,Brunt,WBA,M,0.49,14,3,4.7,270,90.0,5.5,2.2
R,Mahrez,LEI,M,0.47,18,3,6.0,270,90.0,8.5,5.0
B,Alli,TOT,M,0.45,19,3,6.3,261,87.0,9.5,34.9
C,Fàbregas,CHE,M,0.43,10,2,5.0,170,85.0,6.9,5.0
G,Xhaka,ARS,M,0.41,13,3,4.3,258,86.0,5.6,15.4
D,David Silva,MCI,M,0.41,16,3,5.3,270,90.0,8.1,9.5
E,Can,LIV,M,0.4,8,2,4.0,173,86.0,5.0,7.3
S,Davis,SOU,M,0.34,11,3,3.7,259,86.0,5.0,1.0
E,Kachunga,HUD,M,0.33,12,3,4.0,248,82.0,6.0,0.4
M,Phillips,WBA,M,0.33,12,3,4.0,234,78.0,6.0,2.7
R,Brady,BUR,M,0.31,11,3,3.7,257,85.0,5.5,1.0
D,Tadic,SOU,M,0.31,12,3,4.0,253,84.0,6.5,4.7
W,Willian,CHE,M,0.28,12,3,4.0,257,85.0,7.1,18.6
F,Fernandinho,MCI,M,0.26,10,3,3.3,270,90.0,5.0,3.6
C,Atsu,NEW,M,0.26,10,3,3.3,270,90.0,5.0,3.3
J,Cork,BUR,M,0.22,9,3,3.0,270,90.0,4.5,3.3
L,Britton,SWA,M,0.22,3,1,3.0,73,73.0,4.5,0.2
S,Field,WBA,M,0.22,6,2,3.0,154,77.0,4.5,0.3
N,Matic,MUN,M,0.2,9,3,3.0,270,90.0,5.0,16.3
N,Redmond,SOU,M,0.2,10,3,3.3,270,90.0,6.5,6.7
M,Antonio,WHU,M,0.2,7,2,3.5,157,78.0,7.5,0.5
S,Clucas,SWA,M,0.2,3,1,3.0,90,90.0,5.0,0.0
S,Defour,BUR,M,0.18,9,3,3.0,244,81.0,5.5,0.5
M,Albrighton,LEI,M,0.18,9,3,3.0,236,78.0,5.5,3.0
L,Fer,SWA,M,0.18,9,3,3.0,270,90.0,5.5,0.6
J,Morrison,WBA,M,0.18,3,1,3.0,69,69.0,5.5,0.0
T,Ince,HUD,M,0.17,9,3,3.0,270,90.0,6.0,1.4
P,Billing,HUD,M,0.16,8,3,2.7,240,80.0,4.5,0.6
T,Carroll,SWA,M,0.16,8,3,2.7,270,90.0,4.5,6.2
~,~~~~~~~~,~~~~,~,0.15,~~,~,~~~,~~~,~~~~~,~~~~~,~
A,Ramsey,ARS,M,0.14,9,3,3.0,158,52.0,7.0,3.0
J,Mata,MUN,M,0.14,9,3,3.0,215,71.0,7.0,3.1
T,Cleverley,WAT,M,0.14,8,3,2.7,270,90.0,5.0,0.3
J,Livermore,WBA,M,0.14,8,3,2.7,270,90.0,5.0,0.3
M,Ritchie,NEW,M,0.12,8,3,2.7,267,89.0,5.9,2.5
G,Barry,WBA,M,0.11,5,2,2.5,180,90.0,4.5,1.7
G,Wijnaldum,LIV,M,0.1,8,3,2.7,250,83.0,7.0,5.0
M,Lemina,SOU,M,0.1,5,2,2.5,127,63.0,5.0,0.2
D,Stephens,BHA,M,0.07,7,3,2.3,270,90.0,4.5,0.6
N,Chalobah,WAT,M,0.07,7,3,2.3,270,90.0,4.5,2.6
K,De Bruyne,MCI,M,0.07,8,3,2.7,270,90.0,9.9,18.6
S,March,BHA,M,0.06,7,3,2.3,256,85.0,5.0,0.1
P,Groß,BHA,M,0.06,7,3,2.3,241,80.0,5.4,0.5
N,Kanté,CHE,M,0.06,7,3,2.3,270,90.0,5.0,16.0
W,Ndidi,LEI,M,0.06,7,3,2.3,270,90.0,5.0,0.5
D,Fletcher,STK,M,0.06,7,3,2.3,270,90.0,5.0,0.8
M,Dembélé,TOT,M,0.06,7,3,2.3,269,89.0,5.0,3.5
