W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,082720
,R,Richarlison,EVE,M,0.75,1.42,7.0,11.5,7.0,210,6.7,27.8,-539543,-36,
m,S,Mané,LIV,M,0.79,0.79,9.7,9.7,9.7,250,9.8,36.9,39850,2,
,P,Pogba,MUN,M,0.57,0.85,6.7,9.0,6.7,263,8.2,18.5,4656,0,
,R,Pereyra,WAT,M,1.08,1.08,8.7,8.7,8.7,266,6.2,9.6,111655,22,
o,M,Salah,LIV,M,0.48,0.48,8.3,8.3,8.3,266,13.0,54.8,20786,1,
m,E,Hazard,CHE,M,0.31,0.57,5.3,8.0,5.3,133,10.5,13.9,48925,7,
o,T,Walcott,EVE,M,0.8,0.8,7.3,7.3,7.3,264,6.6,11.0,375106,63,
,A,Iwobi,ARS,M,0.64,0.91,5.5,7.0,3.7,119,5.5,1.7,9835,11,
,B,Alli,TOT,M,0.41,0.55,5.7,7.0,5.7,259,9.1,7.5,3293,1,
m,P,Pedro,CHE,M,0.71,0.71,6.7,6.7,6.7,238,6.6,10.0,67173,12,
,J,Milner,LIV,M,0.85,0.85,6.7,6.7,6.7,246,5.5,3.8,29097,14,
o,R,Fraser,BOU,M,0.77,0.77,6.3,6.3,6.3,270,5.6,5.3,8939,3,
,P,Groß,BHA,M,0.29,0.51,4.0,5.5,4.0,158,6.9,5.2,-1951,-1,
o,H,Mkhitaryan,ARS,M,0.46,0.46,5.3,5.3,5.3,270,7.1,20.1,44083,4,
,R,Neves,WOL,M,0.65,0.65,5.3,5.3,5.3,270,5.1,23.2,38737,3,
,D,David Silva,MCI,M,0.35,0.35,5.0,5.0,3.3,153,8.5,6.6,14171,4,
,A,Sánchez,MUN,M,0.1,0.29,3.0,5.0,2.0,125,10.3,3.1,-17292,-10,
,J,Mata,MUN,M,0.16,0.47,3.0,5.0,2.0,135,6.4,1.8,-6073,-6,
,D,Gray,LEI,M,0.49,0.49,4.7,4.7,4.7,258,5.5,1.5,13909,17,
m,R,Sterling,MCI,M,0.23,0.23,4.5,4.5,3.0,170,11.0,2.8,-8466,-6,
,L,Lucas Moura,TOT,M,0.86,0.36,8.0,4.5,8.0,247,7.0,4.7,124446,49,
,J,Jorginho,CHE,M,0.45,0.45,4.3,4.3,4.3,270,5.1,14.5,7008,1,
,J,Seri,FUL,M,0.43,0.43,4.3,4.3,4.3,261,5.4,1.6,8470,10,
m,J,Maddison,LEI,M,0.35,0.35,4.3,4.3,4.3,220,6.5,2.4,746,1,
,I,Gündogan,MCI,M,0.42,0.42,4.3,4.3,4.3,247,5.5,2.6,31170,22,
,W,Hughes,WAT,M,0.46,0.46,4.3,4.3,4.3,252,5.0,1.3,3638,5,
,J,Gudmundsson,BUR,M,0.17,0.33,3.0,4.0,3.0,194,6.0,1.6,-7345,-9,
,J,Hendrick,BUR,M,0.36,0.36,4.0,4.0,4.0,234,5.5,0.2,414,4,
,W,Willian,CHE,M,0.13,0.27,3.0,4.0,3.0,156,7.5,7.5,-28028,-7,
m,N,Kanté,CHE,M,0.4,0.4,4.0,4.0,4.0,270,5.0,23.1,-4449,0,
,A,Schürrle,FUL,M,0.17,0.34,3.0,4.0,3.0,150,5.9,3.7,-815,0,
o,B,Bernardo Silva,MCI,M,0.26,0.26,4.0,4.0,4.0,241,7.6,10.8,-23286,-4,
,A,Doucouré,WAT,M,0.28,0.28,3.7,3.7,3.7,270,6.0,1.9,-2714,-3,
,R,Sessegnon,FUL,M,0.11,0.23,2.7,3.5,2.7,181,6.4,6.8,-24238,-7,
,D,Jota,WOL,M,0.11,0.24,2.7,3.5,2.7,225,6.3,3.0,-10096,-6,
,E,Capoue,WAT,M,0.26,0.26,3.3,3.3,3.3,270,5.0,0.3,1730,11,
,J,Moutinho,WOL,M,0.24,0.24,3.3,3.3,3.3,264,5.4,1.4,4614,6,
,A,Knockaert,BHA,M,0.18,0.18,3.0,3.0,3.0,255,5.5,0.5,1200,4,
,S,March,BHA,M,0.2,0.2,3.0,3.0,3.0,234,5.0,0.1,703,13,
,J,Murphy,CAR,M,0.06,0.2,2.3,3.0,2.3,194,5.0,0.2,-362,-3,
,G,Sigurdsson,EVE,M,0.04,0.14,2.3,3.0,2.3,223,7.4,1.5,384,0,
,T,Cairney,FUL,M,0.2,0.2,3.0,3.0,3.0,239,4.9,2.3,-1192,-1,
,R,van La Parra,HUD,M,0.2,0.2,3.0,3.0,1.0,90,4.9,0.1,-32,-1,
,A,Diakhaby,HUD,M,-0.06,0.2,1.7,3.0,1.7,115,4.9,0.0,-31,0.0,
,G,Wijnaldum,LIV,M,0.18,0.18,3.0,3.0,3.0,270,5.5,0.7,-400,-1,
,N,Keita,LIV,M,0.13,0.13,3.0,3.0,3.0,242,7.5,4.8,-11591,-4,
,J,Murphy,NEW,M,0.0,0.2,2.0,3.0,1.3,92,4.9,0.1,35,1,
,M,Lemina,SOU,M,0.2,0.2,3.0,3.0,3.0,270,5.0,0.3,82,1,
,J,Ralls,CAR,M,0.14,0.14,2.7,2.7,2.7,270,4.9,0.3,340,2,
,M,Ritchie,NEW,M,0.12,0.12,2.7,2.7,2.7,227,6.0,1.0,-2205,-4,
,F,Felipe Anderson,WHU,M,0.1,0.1,2.7,2.7,2.7,241,6.9,2.6,2958,2,
,D,Hoilett,CAR,M,0.09,0.09,2.5,2.5,1.7,172,5.4,0.2,-1290,-12,
,C,Paterson,CAR,M,0.0,0.09,2.0,2.5,2.0,149,5.4,0.1,-289,-5,
,V,Camarasa,CAR,M,0.11,0.11,2.5,2.5,1.7,149,4.5,0.1,589,11,
,A,Mooy,HUD,M,0.09,0.09,2.5,2.5,1.7,180,5.4,2.7,-5218,-4,
,N,Mendy,LEI,M,0.11,0.11,2.5,2.5,2.5,180,4.5,0.8,4841,11,
,J,Shelvey,NEW,M,0.09,0.09,2.5,2.5,1.7,180,5.5,1.0,-3900,-7,
,A,Surman,BOU,M,0.06,0.06,2.3,2.3,2.3,255,5.0,0.3,-711,-4,
,D,Brooks,BOU,M,0.06,0.06,2.3,2.3,2.3,207,5.0,0.2,-12,0,
,A,Westwood,BUR,M,0.07,0.07,2.3,2.3,2.3,270,4.5,1.6,7821,9,
,A,Lennon,BUR,M,0.06,0.06,2.3,2.3,2.3,270,5.0,0.4,-546,-3,
,J,McArthur,CRY,M,0.06,0.06,2.3,2.3,2.3,270,5.0,1.3,-1917,-3,
,A,Townsend,CRY,M,0.05,0.05,2.3,2.3,2.3,255,6.0,1.8,-1659,-2,
,L,Milivojevic,CRY,M,0.05,0.05,2.3,2.3,2.3,270,6.4,6.2,-17286,-5,
,W,Ndidi,LEI,M,0.06,0.06,2.3,2.3,2.3,270,5.0,0.7,-967,-3,
,F,Fernandinho,MCI,M,0.05,0.05,2.3,2.3,2.3,270,5.5,5.4,-9920,-3,
,N,Redmond,SOU,M,0.05,0.05,2.3,2.3,2.3,270,5.5,0.4,-813,-4,
,M,Özil,ARS,M,0.0,0.0,2.0,2.0,1.3,157,8.4,3.4,-20744,-11,
,D,Gosling,BOU,M,0.0,0.0,2.0,2.0,2.0,270,5.0,0.1,-118,-2,
,D,Pröpper,BHA,M,0.0,0.0,2.0,2.0,2.0,270,5.0,0.1,-67,-1,
