team,4~8_avg,4,5~9_avg,5,6,7,8,9
CRY ,2.19   ,2,2.42   ,2,3,3,2,3
ARS ,2.26   ,2,2.55   ,3,2,2,2,3
EVE ,2.29   ,2,2.58   ,2,4,2,3,2
BHA ,2.45   ,2,2.94   ,2,4,5,2,3
MCI ,2.61   ,3,2.23   ,2,2,2,5,3
WHU ,2.68   ,2,3.42   ,3,4,4,3,4
CHE ,2.77   ,3,2.58   ,2,3,4,2,4
HUD ,2.81   ,3,2.65   ,2,3,4,3,4
MUN ,2.87   ,3,2.77   ,3,2,3,3,4
SOU ,2.97   ,3,2.94   ,2,5,2,4,3
WOL ,3.06   ,3,3.1    ,3,4,2,3,2
TOT ,3.16   ,3,3.32   ,4,3,2,2,3
BUR ,3.16   ,4,2.35   ,2,3,2,2,5
LIV ,3.26   ,3,3.48   ,4,2,4,5,2
LEI ,3.35   ,4,2.71   ,3,2,3,2,4
FUL ,3.42   ,3,3.81   ,5,2,3,4,2
BOU ,3.45   ,4,2.84   ,3,3,2,3,2
WAT ,3.71   ,4,3.35   ,4,2,4,3,2
CAR ,4.06   ,4,4.06   ,4,5,3,4,2
NEW ,4.32   ,5,3.55   ,4,3,3,4,2
