I,web_name     ,team,T,VA/M ,pt,g,p/g,min,min/g,price,%   
S,Okaka        ,WAT ,F,0.91 ,7 ,1,7.0,62 ,62.0 ,5.5  ,0.7 
C,Wood         ,BUR ,F,0.85 ,15,2,7.5,123,61.0 ,6.5  ,0.9 
R,Firmino      ,LIV ,F,0.58 ,28,4,7.0,314,78.0 ,8.6  ,30.6
D,Welbeck      ,ARS ,F,0.57 ,25,4,6.3,328,82.0 ,7.5  ,1.9 
Á,Morata       ,CHE ,F,0.54 ,30,4,7.5,276,69.0 ,10.1 ,16.6
S,Mounie       ,HUD ,F,0.49 ,15,3,5.0,265,88.0 ,6.1  ,4.5 
S,Okazaki      ,LEI ,F,0.49 ,14,3,4.7,205,68.0 ,5.5  ,4.4 
J,Vardy        ,LEI ,F,0.47 ,24,4,6.0,345,86.0 ,8.5  ,10.7
J,Chicharito   ,WHU ,F,0.46 ,16,3,5.3,270,90.0 ,7.1  ,27.7
S,Vokes        ,BUR ,F,0.41 ,18,4,4.5,299,74.0 ,6.1  ,6.3 
M,Rashford     ,MUN ,F,0.4  ,20,4,5.0,247,61.0 ,7.5  ,5.9 
T,Hemed        ,BHA ,F,0.37 ,15,4,3.8,255,63.0 ,4.9  ,0.6 
W,Rooney       ,EVE ,F,0.37 ,19,4,4.8,359,89.0 ,7.6  ,18.6
G,Jesus        ,MCI ,F,0.37 ,23,4,5.8,259,64.0 ,10.4 ,8.8 
R,Lukaku       ,MUN ,F,0.37 ,25,4,6.3,360,90.0 ,11.7 ,57.5
~,~~~~~~~~     ,~~~~,~,0.32 ,~~,~,~~~,~~~,~~~~~,~~~~~,~   
S,Agüero       ,MCI ,F,0.29 ,21,4,5.3,286,71.0 ,11.4 ,9.9 
T,Abraham      ,SWA ,F,0.27 ,14,4,3.5,329,82.0 ,5.5  ,3.9 
D,Calvert-Lewin,EVE ,F,0.2  ,12,4,3.0,253,63.0 ,5.0  ,2.0 
J,Ayew         ,SWA ,F,0.2  ,12,4,3.0,360,90.0 ,5.0  ,2.5 
M,Gabbiadini   ,SOU ,F,0.19 ,13,4,3.3,285,71.0 ,7.0  ,5.0 
M,Diouf        ,STK ,F,0.19 ,9 ,3,3.0,270,90.0 ,5.4  ,0.3 
H,Kane         ,TOT ,F,0.19 ,17,4,4.3,354,88.0 ,12.4 ,26.9
J,Joselu       ,NEW ,F,0.18 ,9 ,3,3.0,187,62.0 ,5.5  ,0.4 
A,Lacazette    ,ARS ,F,0.17 ,15,4,3.8,270,67.0 ,10.4 ,13.4
A,Pérez        ,NEW ,F,0.15 ,11,4,2.8,349,87.0 ,5.5  ,1.2 
S,Berahino     ,STK ,F,0.12 ,8 ,3,2.7,151,50.0 ,5.9  ,0.5 
J,Rodriguez    ,WBA ,F,0.08 ,10,4,2.5,354,88.0 ,5.9  ,1.8 
A,Gray         ,WAT ,F,0.05 ,9 ,4,2.3,282,70.0 ,6.4  ,1.6 
J,King         ,BOU ,F,0.0  ,8 ,4,2.0,360,90.0 ,7.3  ,2.7 
S,Sandro       ,EVE ,F,-0.04,5 ,3,1.7,183,61.0 ,7.4  ,0.7 
C,Benteke      ,CRY ,F,-0.09,5 ,4,1.3,360,90.0 ,7.8  ,4.7 
