W,I,web_name,team,T,VA/M,VA/ML,p/g,p/gl,form,min,price,%,txn,gf,091419
,L,Vietto,FUL,F,0.36,1.27,4.0,9.0,3.7,182,5.5,0.7,-1737,-4,
m,A,Mitrovic,FUL,F,0.79,0.9,7.3,8.0,9.0,360,6.7,20.6,328131,29,
o,S,Agüero,MCI,F,0.49,0.53,7.5,8.0,9.3,333,11.3,52.3,133998,5,
o,C,Wilson,BOU,F,0.65,0.85,6.0,7.3,5.3,360,6.2,17.8,172757,17,
,G,Jesus,MCI,F,0.05,0.48,2.5,7.0,3.0,186,10.4,2.0,-13554,-12,
,H,Kane,TOT,F,0.24,0.32,5.0,6.0,6.3,356,12.5,27.2,-71429,-5,
,T,Deeney,WAT,F,0.62,0.54,5.8,5.3,7.0,358,6.1,5.7,90913,29,
,R,Lukaku,MUN,F,0.35,0.27,5.8,5.0,7.3,293,11.0,8.2,57360,13,
,M,Arnautovic,WHU,F,0.33,0.43,4.3,5.0,5.0,304,7.0,16.8,-54604,-6,
,J,Chicharito,WHU,F,0.0,0.47,2.0,5.0,2.3,140,6.4,1.7,-14186,-15,
,R,Firmino,LIV,F,0.3,0.27,4.8,4.5,4.7,338,9.4,26.0,-86328,-6,
m,D,Ings,SOU,F,0.45,0.45,4.5,4.5,5.7,269,5.6,7.6,139701,33,
,J,King,BOU,F,0.23,0.31,3.5,4.0,4.0,348,6.4,3.7,-23392,-11,
m,W,Zaha,CRY,F,0.29,0.29,4.0,4.0,2.3,270,7.0,24.4,-435233,-32,
o,C,Tosun,EVE,F,0.19,0.24,3.3,3.7,2.7,327,7.0,4.9,-29891,-11,
,K,Iheanacho,LEI,F,0.05,0.25,2.3,3.5,2.3,193,6.0,1.0,-6341,-11,
,J,Joselu,NEW,F,0.36,0.3,3.8,3.5,3.3,193,5.0,5.3,15250,5,
,Á,Morata,CHE,F,0.11,0.14,3.0,3.3,3.3,288,9.0,3.9,-32258,-15,
,A,Gray,WAT,F,0.17,0.22,3.0,3.3,3.3,281,6.0,0.7,-993,-3,
m,R,Jiménez,WOL,F,0.18,0.24,3.0,3.3,2.0,356,5.5,4.7,-16089,-6,
m,G,Murray,BHA,F,0.51,0.15,5.3,3.0,6.3,360,6.5,2.1,55349,47,
,S,Mounie,HUD,F,0.13,0.17,2.8,3.0,3.0,342,6.0,0.3,-566,-3,
,P,Aubameyang,ARS,F,0.14,0.0,3.5,2.0,4.0,342,10.9,12.7,-48473,-7,
,C,Wood,BUR,F,0.0,0.0,2.0,2.0,2.0,284,6.4,0.4,-2005,-9,
,B,Reid,CAR,F,-0.09,0.0,1.5,2.0,1.3,206,5.4,0.4,-3058,-14,
,C,Benteke,CRY,F,0.0,0.0,2.0,2.0,2.0,325,6.5,0.9,-10135,-20,
,A,Kamara,FUL,F,-0.11,0.0,1.5,2.0,0.7,116,4.5,10.2,-40638,-7,
,M,Rashford,MUN,F,-0.25,0.0,0.3,2.0,-0.3,121,6.8,5.1,-92742,-33,
,A,Pérez,NEW,F,-0.03,0.0,1.8,2.0,1.7,251,6.3,1.5,-11408,-14,
,S,Rondón,NEW,F,0.12,0.0,2.7,2.0,2.3,164,5.9,0.9,-476,-1,
,S,Long,SOU,F,-0.06,0.0,1.7,2.0,1.7,178,4.9,1.3,-10931,-15,
~,~,~~~~~~~~,~~~~,~,~~~~,~~~~~,~~~,1.72,~~~~,~~~,~~~~~,~,~~~,~~,~~~~~~
,K,Zohore,CAR,F,-0.14,-0.1,1.3,1.5,1.3,154,4.9,0.5,-2912,-10,
,C,Austin,SOU,F,-0.21,-0.09,0.8,1.5,0.3,177,5.8,0.7,-11280,-29,
,D,Welbeck,ARS,F,0.38,-0.31,4.5,0.0,3.0,21,6.5,0.7,127,0,
,A,Lacazette,ARS,F,0.27,-0.21,4.5,0.0,5.7,186,9.4,3.7,57421,28,
,L,Mousset,BOU,F,-0.2,-0.4,1.0,0.0,0.7,12,5.0,0.2,-494,-4,
,J,Defoe,BOU,F,-0.17,-0.34,1.0,0.0,0.0,1,5.8,0.6,-3049,-9,
,T,Hemed,BHA,F,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.1,-1387,-25,
,S,Baldock,BHA,F,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.4,-1296,-6,
,J,Locadia,BHA,F,-0.19,-0.37,1.0,0.0,1.0,32,5.4,0.1,-367,-7,
,F,Andone,BHA,F,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.1,-267,-5,
,S,Vokes,BUR,F,-0.19,-0.37,1.0,0.0,1.0,93,5.4,0.7,-4142,-11,
,A,Barnes,BUR,F,-0.17,-0.34,1.0,0.0,1.0,73,5.8,0.5,-3918,-14,
,N,Wells,BUR,F,-0.44,-0.44,0.0,0.0,0.0,0,4.5,1.5,-12918,-15,
,M,Vydra,BUR,F,-0.17,-0.34,1.0,0.0,0.3,6,5.9,0.1,-325,-6,
,O,Bogle,CAR,F,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.2,-806,-7,
,G,Madine,CAR,F,-0.22,-0.44,1.0,0.0,0.3,3,4.5,1.3,-175,0,
,O,Giroud,CHE,F,0.0,-0.26,2.0,0.0,2.0,69,7.8,2.3,-3637,-3,
,T,Abraham,CHE,F,-0.37,-0.37,0.0,0.0,0.0,0,5.4,0.1,-1306,-23,
,A,Sørloth,CRY,F,-0.2,-0.4,1.0,0.0,1.0,46,5.0,0.3,-277,-2,
,C,Wickham,CRY,F,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.1,-539,-10,
,J,Ayew,CRY,F,0.0,-0.34,2.0,0.0,0.7,75,5.9,0.2,-557,-5,
,D,Calvert-Lewin,EVE,F,0.19,-0.37,3.0,0.0,3.0,111,5.4,0.9,5700,11,
,O,Niasse,EVE,F,-0.19,-0.38,1.0,0.0,0.7,27,5.3,0.5,-3076,-11,
,S,Sandro,EVE,F,-0.37,-0.37,0.0,0.0,0.0,0,5.4,0.2,-2371,-21,
,C,Quaner,HUD,F,-0.45,-0.45,0.0,0.0,0.0,0,4.4,4.0,-4994,-2,
,L,Depoitre,HUD,F,-0.19,-0.38,1.0,0.0,1.0,101,5.3,0.7,-5251,-13,
,E,Kachunga,HUD,F,-0.2,-0.41,1.0,0.0,0.3,30,4.9,0.1,-96,-2,
,S,Okazaki,LEI,F,-0.19,-0.37,1.0,0.0,0.7,16,5.4,0.7,-2224,-6,
,D,Solanke,LIV,F,-0.41,-0.41,0.0,0.0,0.0,0,4.9,0.3,-1063,-6,
,D,Sturridge,LIV,F,0.05,-0.34,2.3,0.0,0.7,14,5.9,1.0,-8592,-15,
,D,Gayle,NEW,F,-0.33,-0.33,0.0,0.0,0.0,0,6.0,0.1,-438,-8,
,Y,Muto,NEW,F,-0.17,-0.34,1.0,0.0,0.7,45,5.8,0.1,-576,-10,
,M,Gabbiadini,SOU,F,-0.17,-0.34,1.0,0.0,0.3,36,5.8,0.2,-1447,-13,
,G,Carrillo,SOU,F,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-12,0.0,
,F,Llorente,TOT,F,-0.17,-0.34,1.0,0.0,0.3,9,5.8,0.2,-611,-5,
,S,Okaka,WAT,F,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.1,573,10,
,J,Sinclair,WAT,F,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-414,-7,
,I,Success,WAT,F,-0.27,-0.44,0.8,0.0,0.7,38,4.5,1.4,8578,11,
,A,Carroll,WHU,F,-0.36,-0.36,0.0,0.0,0.0,0,5.5,0.0,-103,0.0,
,J,Hugill,WHU,F,-0.4,-0.4,0.0,0.0,0.0,0,5.0,0.0,-78,0.0,
,L,Lucas,WHU,F,-0.16,-0.31,1.0,0.0,0.7,40,6.4,0.1,-1021,-18,
,B,Bonatini,WOL,F,0.0,-0.41,2.0,0.0,1.7,82,4.9,0.7,4688,12,
,R,Mir,WOL,F,-0.44,-0.44,0.0,0.0,0.0,0,4.5,0.1,-246,-4,
,J,Vardy,LEI,F,0.06,-0.34,2.5,-1.0,-0.3,92,8.9,3.4,18186,10,
