I,web_name,team,T,VA/M,pt,g,p/g,min,min/g,price,%
J,Lössl,HUD,G,1.24,23,3,7.7,270,90.0,4.6,8.4
L,Karius,LIV,G,0.82,6,1,6.0,90,90.0,4.9,0.2
D,de Gea,MUN,G,0.6,21,4,5.3,360,90.0,5.5,34.7
F,Forster,SOU,G,0.66,21,4,5.3,360,90.0,5.0,8.0
H,Gomes,WAT,G,0.73,21,4,5.3,360,90.0,4.5,2.1
K,Schmeichel,LEI,G,0.56,19,4,4.8,360,90.0,5.0,4.1
R,Elliot,NEW,G,0.7,19,4,4.8,360,90.0,4.0,20.8
J,Butland,STK,G,0.56,19,4,4.8,360,90.0,5.0,3.9
L,Fabianski,SWA,G,0.56,18,4,4.5,360,90.0,4.5,4.2
B,Foster,WBA,G,0.51,17,4,4.3,360,90.0,4.5,17.9
H,Lloris,TOT,G,0.36,16,4,4.0,360,90.0,5.5,13.2
~,~~~~~~~~,~~~~,~,~~~~,~~,~,3.95,~~~,~~~~~,~~~~~,~
T,Courtois,CHE,G,0.33,15,4,3.8,360,90.0,5.5,14.6
W,Hennessey,CRY,G,0.33,14,4,3.5,360,90.0,4.5,1.6
J,Pickford,EVE,G,0.3,14,4,3.5,360,90.0,5.0,9.7
P,Cech,ARS,G,0.18,12,4,3.0,360,90.0,5.5,5.4
E,Ederson,MCI,G,0.18,12,4,3.0,315,78.0,5.5,4.1
A,Begovic,BOU,G,0.18,11,4,2.8,360,90.0,4.5,4.9
M,Ryan,BHA,G,0.18,11,4,2.8,360,90.0,4.5,0.7
S,Mignolet,LIV,G,0.14,8,3,2.7,270,90.0,5.0,1.6
T,Heaton,BUR,G,0.0,8,4,2.0,305,76.0,5.0,7.0
N,Pope,BUR,G,0.0,2,1,2.0,54,54.0,4.5,0.1
J,Hart,WHU,G,-0.22,3,3,1.0,270,90.0,4.5,10.0
